,date,quarter,price,shares_est,market_cap
0,2007-09-28,2007Q3,88.0,9000077.112893276,792006785935
1,2007-12-28,2007Q4,84.5,9000139.879703455,760511819835
2,2008-03-31,2008Q1,35.2,8999765.22147441,316791735796
3,2008-06-30,2008Q2,25.6,9000065.040650407,230401665041
4,2008-09-30,2008Q3,40.5,9000122.669283612,364504968106
5,2008-12-31,2008Q4,20.4,9000270.27027027,183605513514
6,2009-03-31,2009Q1,19.5,9000130.471655034,175502544197
7,2009-06-30,2009Q2,25.2,8999879.619597929,226796966414
8,2009-09-30,2009Q3,36.8,9000111.638291935,331204108289
9,2009-12-31,2009Q4,27.7,9000052.748180188,249301461125
10,2010-03-31,2010Q1,30.2,9000046.474880327,271801403541
11,2010-06-30,2010Q2,36.8,10999770.315586384,404791547614
12,2010-09-30,2010Q3,31.4,10999864.553704455,345395746986
13,2010-12-31,2010Q4,26.9,10999759.105800731,295893519946
14,2011-03-31,2011Q1,24.5,11000138.921046538,269503403566
15,2011-06-30,2011Q2,23.9,11000038.1083038,262900910788
16,2011-09-30,2011Q3,30.1,11000069.244884534,331102084271
17,2011-12-30,2011Q4,17.2,18399913.021868788,316478503976
18,2012-03-30,2012Q1,17.1,18400154.63555212,314642644268
19,2012-06-29,2012Q2,16.1,18399574.07160921,296233142553
20,2012-09-28,2012Q3,14.5,18399446.1295002,266791968878
21,2012-12-28,2012Q4,12.6,18399973.27275157,231839663237
22,2013-03-29,2013Q1,11.5,18399092.658784717,211589565576
23,2013-06-28,2013Q2,11.0,18400056.5650852,202400622216
24,2013-09-30,2013Q3,8.7,18399803.605246544,160078291366
25,2013-12-31,2013Q4,9.5,18400108.027817164,174801026264
26,2014-03-31,2014Q1,10.5,18399578.74711238,193195576845
27,2014-06-30,2014Q2,9.3,18399960.16994158,171119629580
28,2014-09-30,2014Q3,12.5,18399231.620759264,229990395259
29,2014-12-31,2014Q4,11.4,18399396.4442695,209753119465
30,2015-03-31,2015Q1,9.8,18399338.374291115,180313516068
31,2015-06-30,2015Q2,8.3,18399379.203310914,152714847387
32,2015-09-30,2015Q3,9.9,18400037.206994917,182160368349
33,2015-12-31,2015Q4,9.6,18399829.18496828,176638360176
34,2016-03-31,2016Q1,9.4,18399556.259904917,172955828843
35,2016-06-30,2016Q2,9.4,22800242.04935117,214322275264
36,2016-09-30,2016Q3,9.0,22800184.40463646,205201659642
37,2016-12-30,2016Q4,8.5,22800387.72213247,193803295638
38,2017-03-31,2017Q1,8.0,22800295.76287533,182402366103
39,2017-06-30,2017Q2,8.48,22799975.136747885,193343789160
40,2017-09-29,2017Q3,8.4,22799170.07383902,191513028620
41,2017-12-29,2017Q4,8.1,22800304.043782305,184682462755
42,2018-03-30,2018Q1,8.4,22799951.983674448,191519596663
43,2018-06-29,2018Q2,10.0,22799946.70929923,227999467093
44,2018-09-28,2018Q3,17.8,22799440.216915943,405830035861
45,2018-12-28,2018Q4,30.0,22800080.775444265,684002423263
46,2019-03-29,2019Q1,36.3,22799739.776951674,827630553903
47,2019-06-28,2019Q2,38.15,22799762.51060221,869810939779
48,2019-09-30,2019Q3,33.4,22799821.74099627,761514046149
49,2019-12-31,2019Q4,23.2,22799604.594880182,528950826601
50,2020-03-31,2020Q1,17.5,22799890.669308823,398998086713
51,2020-06-30,2020Q2,21.7,22799870.95021395,494757199620
52,2020-09-30,2020Q3,14.15,50160622.14359428,709772803332
53,2020-12-31,2020Q4,14.65,50157332.5635104,734804922055
54,2021-03-31,2021Q1,13.2,50159923.202730566,662110986276
55,2021-06-30,2021Q2,13.0,50158156.47545002,652056034181
56,2021-09-30,2021Q3,12.65,50158408.25144609,634503864381
57,2021-12-31,2021Q4,18.05,50160357.26554449,905394448643
58,2022-03-31,2022Q1,25.8,50159133.89421509,1294105654471
59,2022-06-30,2022Q2,24.3,50159532.587639816,1218876641880
