,quarter,price,price_diff,price_diff_perc
1,2020Q1,92.0,1.0999999999999943,1.2101210121012038
2,2020Q2,106.0,14.0,15.217391304347826
3,2020Q3,50.7,-55.3,-52.16981132075472
4,2020Q4,67.7,17.0,33.53057199211045
5,2021Q1,56.3,-11.400000000000006,-16.838995568685384
6,2021Q2,48.2,-8.099999999999994,-14.38721136767317
7,2021Q3,42.0,-6.200000000000003,-12.863070539419091
8,2021Q4,52.7,10.700000000000003,25.47619047619048
9,2022Q1,50.9,-1.8000000000000043,-3.415559772296023
10,2022Q2,37.7,-13.199999999999996,-25.933202357563843
