,quarter,roa
0,2008Q1,0.0
1,2011Q1,0.0
2,2011Q2,0.0
3,2011Q3,0.0
4,2011Q4,2.46
5,2012Q1,0.44
6,2012Q2,1.85
7,2012Q3,1.88
8,2012Q4,0.89
9,2013Q1,0.16
10,2013Q2,0.85
11,2013Q3,0.36
12,2013Q4,1.9
13,2014Q1,0.03
14,2014Q2,0.56
15,2014Q3,0.1
16,2014Q4,-0.29
17,2015Q1,0.46
18,2015Q2,0.19
19,2015Q3,0.0
20,2015Q4,4.84
21,2016Q1,0.55
22,2016Q2,-0.41
23,2016Q3,0.09
24,2016Q4,0.52
25,2017Q1,0.43
26,2017Q2,0.32
27,2017Q3,0.45
28,2017Q4,0.4
29,2018Q1,0.43
30,2018Q2,1.03
31,2018Q3,1.19
32,2018Q4,1.45
33,2019Q1,1.35
34,2019Q2,1.52
35,2019Q3,1.3
36,2019Q4,1.2
37,2020Q1,0.35
38,2020Q2,0.92
39,2020Q3,0.95
40,2020Q4,0.58
41,2021Q1,0.32
42,2021Q2,1.18
43,2021Q3,0.3
44,2021Q4,1.54
45,2022Q1,0.33
46,2022Q2,-0.46
