,quarter,owner_equity,bvps,shares_est,shares_est_diff,shares_est_diff_perc,lev
0,2009Q2,,0.0,,,,
1,2009Q3,,0.0,,,,
2,2009Q4,127096.0,10591.0,12000377.679161552,,,0.6801803693663822
3,2010Q1,,0.0,,,,
4,2010Q2,122673.0,10223.0,11999706.544067299,,,0.6772202344074848
5,2010Q3,120432.0,10036.0,12000000.0,293.45593270100653,0.002445466105841721,0.7258318539200764
6,2010Q4,121023.0,10085.0,12000297.471492315,297.4714923147112,0.0024788676532509217,0.6681793366458874
7,2011Q1,121023.0,10085.0,12000297.471492315,297.4714923147112,0.0024788676532509217,0.6681793366458874
8,2011Q2,125851.0,10488.0,11999523.264683448,,,0.6947872323627001
9,2011Q3,124215.0,10351.0,12000289.827069849,766.5623864009976,0.0063878656053107325,0.622335457420896
10,2011Q4,117384.0,9782.0,12000000.0,-289.82706984877586,-0.0024152255820731323,0.6112116249522533
11,2012Q1,108831.0,9069.0,12000330.797221303,330.79722130298615,0.002756567522118497,0.6361652340462561
12,2012Q2,104117.0,8676.0,12000576.302443523,245.5052222199738,0.0020457786028991354,0.6763538181671978
13,2012Q3,98928.0,8244.0,12000000.0,-576.30244352296,-0.004802520362691333,0.6971484317998462
14,2012Q4,111442.0,9287.0,11999784.645202972,-215.35479702800512,-0.0017946555158729056,0.6483356431164761
15,2013Q1,100333.0,8361.0,12000119.602918312,334.95771533995867,0.0027912864739989777,0.6273713716872141
16,2013Q2,131424.0,10952.0,12000000.0,-119.60291831195354,-0.0009966909859329461,0.526977110006734
17,2013Q3,131555.0,10963.0,11999908.784091946,-91.2159080542624,-0.0007601383451779702,0.5734268890168452
18,2013Q4,131871.0,10989.0,12000273.000273,364.21618105471134,0.0030350657943067263,0.5254458676086213
19,2014Q1,131249.0,10937.0,12000457.163756058,184.1634830571711,0.0015346372270998486,0.5700447465782025
20,2014Q2,132140.0,11012.0,11999636.759898292,-820.4038577657193,-0.006836905767909869,0.6252718845436085
21,2014Q3,132423.0,11035.0,12000271.862256456,635.1023581642658,0.005292399751057349,0.618390299334051
22,2014Q4,132712.0,11059.0,12000361.69635591,89.83409945294261,0.0007485949317696157,0.6360495042108323
23,2015Q1,132859.0,11072.0,11999548.410404624,-813.2859512846917,-0.006777637986605429,0.6114995347331282
24,2015Q2,133132.0,11094.0,12000360.555255093,812.144850468263,0.006767670410641251,0.6137821378336322
25,2015Q3,133555.0,11130.0,11999550.763701707,-809.7915533855557,-0.006748515584726319,0.6178301099743033
26,2015Q4,133995.0,11166.0,12000268.672756582,717.9090548753738,0.0059824415140403925,0.6486805347368794
27,2016Q1,134237.0,11186.0,12000446.987305561,178.31454897858202,0.0014858992266472124,0.6213940798593337
28,2016Q2,134600.0,11217.0,11999643.398413124,-803.5888924375176,-0.0066967731103058205,0.7102927835562254
29,2016Q3,135208.0,11267.0,12000355.019082276,711.6206691525877,0.00592999680443628,0.7353527786600624
30,2016Q4,136194.0,11349.0,12000528.680941053,173.66185877658427,0.0014471184011450246,0.7020535568058088
31,2017Q1,136874.0,11406.0,12000175.34630896,-353.33463209308684,-0.0029444122431241497,0.7291172294267251
32,2017Q2,137670.0,11472.0,12000523.0125523,347.6662433408201,0.00289709242653148,0.747577905324612
33,2017Q3,138006.0,11500.0,12000521.739130436,-1.2734218649566174,-1.061138750996413e-05,0.7418266770521665
34,2017Q4,148295.0,12358.0,11999919.080757404,-602.6583730317652,-0.00502218697456189,0.7276947273684384
35,2018Q1,148464.0,12372.0,12000000.0,80.91924259625375,0.000674327021635448,0.7033283229223385
36,2018Q2,149208.0,12434.0,12000000.0,0.0,0.0,0.6926113231371508
37,2018Q3,149487.0,12457.0,12000240.828449868,240.82844986766577,0.0020068634730789382,0.7380954453761583
38,2018Q4,166970.0,13914.0,12000143.740117867,-97.08833200111985,-0.0008090597421474406,0.7532252737500901
39,2019Q1,287172.0,11396.0,25199368.1993682,13199224.459250335,52.37918806068029,0.625361203463698
40,2019Q2,287679.0,11416.0,25199632.095304836,263.89593663439155,0.0010472213865517516,0.6570853336276566
41,2019Q3,288466.0,11447.0,25200139.774613436,507.67930860072374,0.0020145892568110228,0.7025709756485995
42,2019Q4,304347.0,12077.0,25200546.49333444,406.7187210023403,0.001613928178541357,0.7229569746412725
43,2020Q1,304691.0,12091.0,25199818.046480853,-728.4468535855412,-0.0028906829892260616,0.7131672088630211
44,2020Q2,305529.0,12124.0,25200346.420323327,528.3738424740732,0.0020966927742229586,0.727053935698891
45,2020Q3,307187.0,12190.0,25199917.965545528,-428.4547777995467,-0.001700222907016402,0.7537808101581089
46,2020Q4,326215.0,12945.0,25200077.249903437,159.28435790911317,0.0006320788477333875,0.84291536029191
47,2021Q1,326573.0,12959.0,25200478.431977775,401.1820743381977,0.001591962134453462,0.844830936386908
48,2021Q2,327492.0,12996.0,25199445.9833795,-1032.4485982730985,-0.004097108321167292,0.8364910058687478
49,2021Q3,336796.0,13365.0,25199850.35540591,404.37202640995383,0.001604660427371178,0.7943515611610779
50,2021Q4,345426.0,13707.0,25200700.372072663,850.0166667513549,0.00337298826699809,0.869567433405832
51,2022Q1,349482.0,13868.0,25200605.710989326,-94.66108333691955,-0.00037563019088719885,0.9028833323089799
52,2022Q2,757757.0,11622.0,65200223.71364653,39999618.002657205,61.348896866262145,0.7892213624535098
