,date,quarter,price,shares_est,market_cap
0,2009-06-30,2009Q2,11.3,25999512.49238269,293794491164
1,2009-09-30,2009Q3,12.1,25998599.603220917,314583055199
2,2010-03-31,2010Q1,14.5,6000051.775913845,87000750751
3,2010-06-30,2010Q2,18.2,25998830.409356724,473178713450
4,2010-09-30,2010Q3,14.1,39000373.3084461,549905263649
5,2010-12-31,2010Q4,12.3,39000485.90864918,479705976676
6,2011-03-31,2011Q1,7.6,39001165.954139136,296408861251
7,2011-06-30,2011Q2,4.8,39001324.23347255,187206356321
8,2011-09-30,2011Q3,4.9,39001105.74989948,191105418175
9,2011-12-30,2011Q4,2.0,38999177.438307874,77998354877
10,2012-03-30,2012Q1,4.9,38998021.026592456,191090303030
11,2012-06-29,2012Q2,3.7,39002304.426925406,144308526380
12,2012-09-28,2012Q3,3.2,39001450.32632342,124804641044
13,2012-12-28,2012Q4,3.5,38999027.47386336,136496596159
14,2013-03-29,2013Q1,3.5,39001794.68772434,136506281407
15,2013-06-28,2013Q2,3.3,38998216.40903686,128694114150
16,2013-09-30,2013Q3,3.1,39000000.0,120900000000
17,2013-12-31,2013Q4,4.0,38997793.00731792,155991172029
18,2014-03-31,2014Q1,8.4,38999318.80108992,327594277929
19,2014-06-30,2014Q2,5.7,39002029.54109821,222311568384
20,2014-09-30,2014Q3,6.3,38998334.25874514,245689505830
21,2014-12-31,2014Q4,5.0,39001861.78950827,195009308948
22,2015-03-31,2015Q1,4.3,38998464.23870119,167693396226
23,2015-06-30,2015Q2,4.3,38998148.75313079,167692039638
24,2015-09-30,2015Q3,3.1,38999020.35484924,120896963100
25,2015-12-31,2015Q4,3.0,38998919.15261565,116996757458
26,2016-03-31,2016Q1,2.9,38997926.66957661,113093987342
27,2016-06-30,2016Q2,2.8,39000646.90026954,109201811321
28,2016-09-30,2016Q3,2.6,39598555.32450476,102956243844
29,2016-12-30,2016Q4,2.3,38998389.175257735,89696295103
30,2017-03-31,2017Q1,2.6,39000640.20486556,101401664533
31,2017-06-30,2017Q2,3.6,39000306.5603924,140401103617
32,2017-09-29,2017Q3,3.7,39000306.5603924,144301134273
33,2017-12-29,2017Q4,3.3,38998343.85674361,128694534727
34,2018-03-30,2018Q1,3.1,39001439.44067448,120904462266
35,2018-06-29,2018Q2,3.2,39002020.202020206,124806464646
36,2018-09-28,2018Q3,3.1,38998313.30381615,120894771242
37,2018-12-28,2018Q4,3.1,39001536.25563294,120904762392
38,2019-03-29,2019Q1,3.1,39001442.70403957,120904472383
39,2019-06-28,2019Q2,2.7,39000000.0,105300000000
40,2019-09-30,2019Q3,2.2,39000564.27039838,85801241395
41,2019-12-31,2019Q4,1.8,39001596.16919393,70202873105
42,2020-03-31,2020Q1,1.9,38999210.55599414,74098500056
43,2020-06-30,2020Q2,2.5,39000557.04099822,97501392602
44,2020-09-30,2020Q3,2.6,39001611.34386078,101404189494
45,2020-12-31,2020Q4,4.6,38999317.80528214,179396861904
46,2021-03-31,2021Q1,9.7,39000269.63868416,378302615495
47,2021-06-30,2021Q2,15.2,38999376.50307295,592790522847
48,2021-09-30,2021Q3,21.0,38999662.546927065,818992913485
49,2021-12-31,2021Q4,39.3,82998705.19686893,3261849114237
50,2022-03-31,2022Q1,30.3,82999145.25044163,2514874101088
51,2022-06-30,2022Q2,12.7,82998785.94734046,1054084581531
