,date,quarter,price,shares_est,market_cap
0,2017-09-29,2017Q3,19.5,13499623.5197481,263242658635
1,2017-12-29,2017Q4,13.0,31051018.82096749,403663244673
2,2018-03-30,2018Q1,8.9,31050911.91307722,276353116026
3,2018-06-29,2018Q2,8.0,31049963.26230713,248399706098
4,2018-09-28,2018Q3,10.5,96918400.15128592,1017643201589
5,2018-12-28,2018Q4,2.5,96925351.07169254,242313377679
6,2019-03-29,2019Q1,2.6,96923806.0182203,252001895647
7,2019-06-28,2019Q2,2.4,96919751.9606055,232607404705
8,2019-09-30,2019Q3,1.9,96921007.64732344,184149914530
9,2019-12-31,2019Q4,2.4,96921194.95235644,232610867886
10,2020-03-31,2020Q1,1.9,96920466.6904168,184148886712
11,2020-06-30,2020Q2,2.6,96921570.31924072,251996082830
12,2020-09-30,2020Q3,2.4,96919820.67419603,232607569618
13,2020-12-31,2020Q4,3.3,96921889.81808776,319842236400
14,2021-03-31,2021Q1,9.9,96921284.57980628,959520717340
15,2021-06-30,2021Q2,10.2,96926050.27548207,988645712810
16,2021-09-30,2021Q3,9.6,96918777.8158165,930420267032
17,2021-12-31,2021Q4,16.3,96918529.6826593,1579772033827
