,date,quarter,price,shares_est,market_cap
0,2005-03-31,2005Q1,16.5,8430974.71451876,139111082790
1,2005-06-30,2005Q2,15.8,8431398.15186822,133216090800
2,2005-09-30,2005Q3,21.8,8338026.889534884,181768986192
3,2005-12-30,2005Q4,21.9,5599930.40250551,122638475815
4,2006-03-31,2006Q1,37.0,5599882.075471698,207195636792
5,2006-06-30,2006Q2,37.2,5600104.517477645,208323888050
6,2006-09-29,2006Q3,37.0,7299883.204858677,270095678580
7,2006-12-29,2006Q4,42.0,8990208.911461333,377588774281
8,2007-03-30,2007Q1,65.0,8990067.720090294,584354401806
9,2007-06-29,2007Q2,53.0,10161854.85983757,538578307571
10,2007-09-28,2007Q3,101.0,10161737.804878049,1026335518293
11,2007-12-28,2007Q4,100.0,10770545.073375262,1077054507338
12,2008-03-31,2008Q1,68.5,15420605.63649087,1056311486100
13,2008-06-30,2008Q2,27.0,15420596.026490066,416356092715
14,2008-09-30,2008Q3,22.7,15421022.197950464,350057203893
15,2008-12-31,2008Q4,14.2,15420706.707145317,218974035241
16,2009-03-31,2009Q1,13.7,15420664.909662465,211263109262
17,2009-06-30,2009Q2,30.4,15420644.799900416,468787601917
18,2009-09-30,2009Q3,38.1,15420867.634816391,587535056887
19,2009-12-31,2009Q4,28.5,15420790.620949687,439492532697
20,2010-03-31,2010Q1,31.1,15420554.744525548,479579252555
21,2010-06-30,2010Q2,28.5,15420622.17914155,439487732106
22,2010-09-30,2010Q3,24.0,15420974.582554797,370103389981
23,2010-12-31,2010Q4,21.7,15420966.281964246,334634968319
24,2011-03-31,2011Q1,15.7,15420652.872022564,242104250091
25,2011-06-30,2011Q2,12.6,15420631.975565895,194299962892
26,2011-09-30,2011Q3,12.1,15420999.636394149,186594095600
27,2011-12-30,2011Q4,11.1,15420618.501303095,171168865364
28,2012-03-30,2012Q1,18.4,15420953.174934,283745538419
29,2012-06-29,2012Q2,19.8,15420954.637779282,305334901828
30,2012-09-28,2012Q3,14.8,15420925.442812027,228229696554
31,2012-12-28,2012Q4,16.9,15420964.349423574,260614297505
32,2013-03-29,2013Q1,21.8,15420921.873348134,336176096839
33,2013-06-28,2013Q2,21.5,15420646.457171552,331543898829
34,2013-09-30,2013Q3,33.8,15420647.069506785,521217870949
35,2013-12-31,2013Q4,29.4,15420778.210116733,453370879377
36,2014-03-31,2014Q1,39.9,15420761.827163007,615288396904
37,2014-06-30,2014Q2,61.0,15420952.189634392,940678083568
38,2014-09-30,2014Q3,56.5,15420856.425677858,871278388051
39,2014-12-31,2014Q4,56.0,15420788.858636726,863564176084
40,2015-03-31,2015Q1,56.0,15420900.463988436,863570425983
41,2015-06-30,2015Q2,62.0,15420605.886713052,956077564976
42,2015-09-30,2015Q3,57.0,15420652.45192643,878977189760
43,2015-12-31,2015Q4,55.5,15420785.249742704,855853581361
44,2016-03-31,2016Q1,68.0,15420747.634831091,1048610839169
45,2016-06-30,2016Q2,71.0,15420904.509457426,1094884220171
46,2016-09-30,2016Q3,82.4,15420884.389984015,1270680873735
47,2016-12-30,2016Q4,93.3,15420924.324988732,1438772239521
48,2017-03-31,2017Q1,118.0,15420681.645240098,1819640434138
49,2017-06-30,2017Q2,105.1,15420813.014710346,1620727447846
50,2017-09-29,2017Q3,114.0,15420657.71733396,1757954979776
51,2017-12-29,2017Q4,89.0,15420835.774631916,1372454383942
52,2018-03-30,2018Q1,83.0,15420904.893813482,1279935106187
53,2018-06-29,2018Q2,80.9,15420797.195054438,1247542493080
54,2018-09-28,2018Q3,79.7,15420914.374134116,1229046875618
55,2018-12-28,2018Q4,69.7,15420720.735870317,1074824235290
56,2019-03-29,2019Q1,62.9,15420723.411315748,969963502572
57,2019-06-28,2019Q2,67.3,15420846.485646764,1037822968484
58,2019-09-30,2019Q3,62.5,15420894.12069496,963805882543
59,2019-12-31,2019Q4,58.2,15420767.882942423,897488690787
60,2020-03-31,2020Q1,44.0,15420837.808807734,678516863588
61,2020-06-30,2020Q2,48.5,15420817.472332044,747909647408
62,2020-09-30,2020Q3,49.0,15420794.099641431,755618910882
63,2020-12-31,2020Q4,70.1,15420733.256188083,1080993401259
64,2021-03-31,2021Q1,61.1,15420833.391576622,942212920225
65,2021-06-30,2021Q2,66.5,15420778.2405725,1025481752998
66,2021-09-30,2021Q3,63.4,15420717.119633865,977673465385
67,2021-12-31,2021Q4,63.1,15420716.41094452,973047205531
68,2022-03-31,2022Q1,74.9,18752579.04889709,1404568170762
69,2022-06-30,2022Q2,80.9,18752726.960405394,1517095611097
