,quarter,roa
0,2005Q4,4.47
1,2006Q1,0.78
2,2006Q2,0.78
3,2006Q3,2.14
4,2006Q4,3.89
5,2007Q1,2.52
6,2007Q2,2.9
7,2007Q3,1.4
8,2007Q4,0.8
9,2008Q1,2.71
10,2008Q2,2.6
11,2008Q3,4.35
12,2008Q4,1.15
13,2009Q1,4.95
14,2009Q2,5.99
15,2009Q3,2.32
16,2009Q4,4.73
17,2010Q1,1.32
18,2010Q2,2.07
19,2010Q3,1.37
20,2010Q4,1.23
21,2011Q1,1.01
22,2011Q2,2.37
23,2011Q3,0.73
24,2011Q4,1.09
25,2012Q1,1.0
26,2012Q2,0.82
27,2012Q3,1.22
28,2012Q4,1.91
29,2013Q1,0.92
30,2013Q2,0.86
31,2013Q3,1.07
32,2013Q4,1.04
33,2014Q1,0.93
34,2014Q2,1.02
35,2014Q3,1.02
36,2014Q4,1.06
37,2015Q1,1.23
38,2015Q2,0.99
39,2015Q3,-0.19
40,2015Q4,0.97
41,2016Q1,1.47
42,2016Q2,0.98
43,2016Q3,0.58
44,2016Q4,0.91
45,2017Q1,0.78
46,2017Q2,0.82
47,2017Q3,0.01
48,2017Q4,-0.18
49,2018Q1,0.19
50,2018Q2,0.58
51,2018Q3,0.2
52,2018Q4,0.32
53,2019Q1,0.32
54,2019Q2,0.39
55,2019Q3,0.21
56,2019Q4,0.38
57,2020Q1,0.32
58,2020Q2,0.44
59,2020Q3,0.47
60,2020Q4,0.29
61,2021Q1,0.53
62,2021Q2,0.42
63,2021Q3,0.31
64,2021Q4,1.23
65,2022Q1,0.74
66,2022Q2,1.04
