,quarter,owner_equity,bvps,shares_est,shares_est_diff,shares_est_diff_perc,lev
1,2008Q1,2094442.0,27741.0,75499873.83295484,32098484.122724205,42.51461955253438,0.37022142828828347
2,2008Q2,2069154.0,27406.0,75500036.48836021,162.6554053723812,0.0002154375188910772,0.392077201802985
3,2008Q3,2094419.0,27741.0,75499044.73522945,-991.7531307637691,-0.0013135969259502381,0.39015527826820245
4,2008Q4,2196302.0,29090.0,75500240.63251977,1195.8972903192043,0.0015839648725624097,0.31918469618635137
5,2009Q1,2134128.0,28267.0,75498921.00329006,-1319.629229709506,-0.0017478782639185,0.3657023680810787
6,2009Q2,2094835.0,27746.0,75500432.49477403,1511.4914839714766,0.0020019640073930685,0.4247560030753247
7,2009Q3,2195438.0,29079.0,75499088.68943223,-1343.8053417950869,-0.0017798961088429431,0.41320429060076286
8,2009Q4,2256583.0,29889.0,75498778.81494865,-309.87448358535767,-0.0004104364182431027,0.37033162698340105
9,2010Q1,2295194.0,30400.0,75499802.63157895,1023.8166303038597,0.0013560520618839773,0.40990274763962264
10,2010Q2,2223908.0,29456.0,75499321.02118415,-481.6103948056698,-0.0006379002993557201,0.39678708934503043
11,2010Q3,2259732.0,29930.0,75500567.99198128,1246.970797136426,0.0016516045247088253,0.4176305986183386
12,2010Q4,2255623.0,29876.0,75499497.92475566,-1070.0672256201506,-0.0014173170087655436,0.3839305073708982
13,2011Q1,2331955.0,30887.0,75499562.92291255,64.9981568902731,8.609077241498507e-05,0.4155622787629857
14,2011Q2,2246944.0,29761.0,75499613.58825308,50.66534052789211,6.71067547500337e-05,0.4213387132903485
15,2011Q3,2274516.0,30126.0,75500099.58175662,485.9935035407543,0.0006436991556739441,0.4277481045358058
16,2011Q4,2300254.0,30467.0,75499852.29920898,-247.28254763782024,-0.000327527193904737,0.41795622449501846
17,2012Q1,2314560.0,30656.0,75501043.84133612,1191.5421271324158,0.0015781796734312932,0.4400780817885142
18,2012Q2,2235858.0,29614.0,75500033.76781252,-1010.0735235959291,-0.0013378451282581383,0.44406534263572534
19,2012Q3,2209513.0,29265.0,75500187.93780968,154.16999715566635,0.00020419816343061008,0.44368004940215566
20,2012Q4,2300627.0,30472.0,75499704.64688894,-483.2909207344055,-0.0006401229289501864,0.3970037489806158
21,2013Q1,2225743.0,29480.0,75500101.76390773,397.11701878905296,0.0005259820973895586,0.423689271606422
22,2013Q2,2120312.0,28084.0,75498931.77610028,-1169.9878074526787,-0.0015496746509240634,0.4316990067897812
23,2013Q3,2143305.0,28388.0,75500387.48767085,1455.7115705758333,0.0019280848999795527,0.4355002084796023
24,2013Q4,2162561.0,28643.0,75500506.23188911,118.74421826004982,0.0001572760557331149,0.43145257911062684
25,2014Q1,2202904.0,29178.0,75498800.4661046,-1705.7657845169306,-0.0022593283257298096,0.5339291133568699
26,2014Q2,2142858.0,28382.0,75500598.97117892,1798.5050743222237,0.002382107028063145,0.5616563944863185
27,2014Q3,2158503.0,28589.0,75501171.77935569,572.8081767708063,0.0007586745520252037,0.5664094810720495
