,date,quarter,price,shares_est,market_cap
0,2011-12-30,2011Q4,7.0,8250131.2680493565,57750918876
1,2012-03-30,2012Q1,10.3,8250097.898446678,84976008354
2,2012-06-29,2012Q2,11.2,8249775.439496985,92397484922
3,2012-09-28,2012Q3,11.3,8250139.241289684,93226573427
4,2012-12-28,2012Q4,11.3,8249911.084765856,93223995258
5,2013-03-29,2013Q1,12.0,8249811.452108836,98997737425
6,2013-06-28,2013Q2,10.9,8249876.421156698,89923652991
7,2013-09-30,2013Q3,11.0,8249954.243182234,90749496675
8,2013-12-31,2013Q4,10.5,12375070.14590348,129938236532
9,2014-03-31,2014Q1,11.3,12374597.299335117,139832949482
10,2014-06-30,2014Q2,10.7,12374861.26526082,132411015538
11,2014-09-30,2014Q3,10.0,12375194.112483963,123751941125
12,2014-12-31,2014Q4,10.7,12374826.101358064,132410639285
13,2015-03-31,2015Q1,9.9,12375358.352879854,122516047694
14,2015-06-30,2015Q2,9.3,12374654.719396347,115084288890
15,2015-09-30,2015Q3,9.1,12374835.309617918,112611001318
16,2015-12-31,2015Q4,10.2,12375032.42542153,126225330739
17,2016-03-31,2016Q1,9.2,12374629.033276504,113846587106
18,2016-06-30,2016Q2,9.5,12375139.903877806,117563829087
19,2016-09-30,2016Q3,11.9,12375227.805259047,147265210883
20,2016-12-30,2016Q4,10.4,12374817.170111287,128698098569
21,2017-03-31,2017Q1,11.1,12374774.101078084,137359992522
22,2017-06-30,2017Q2,10.6,12375180.849664606,131176917006
23,2017-09-29,2017Q3,11.0,12375153.27525008,136126686028
24,2017-12-29,2017Q4,9.61,12375158.267915929,118925270955
25,2018-03-30,2018Q1,9.9,12374660.242154682,122509136397
26,2018-06-29,2018Q2,9.5,12374926.962280076,117561806142
27,2018-09-28,2018Q3,9.84,12375308.95494011,121773040117
28,2018-12-28,2018Q4,9.11,12374705.0788526,112733563268
29,2019-03-29,2019Q1,9.75,12375045.53734062,120656693989
30,2019-06-28,2019Q2,10.6,12375238.458603589,131177527661
31,2019-09-30,2019Q3,10.25,12374806.369663548,126841765289
32,2019-12-31,2019Q4,10.3,12375257.857056182,127465155928
33,2020-03-31,2020Q1,10.5,12374802.652352383,129935427850
34,2020-06-30,2020Q2,10.75,12375304.326112742,133034521506
35,2020-09-30,2020Q3,10.5,12374893.668732531,129936383522
36,2020-12-31,2020Q4,11.8,12374633.211569555,146020671897
37,2021-03-31,2021Q1,13.8,12375328.0839895,170779527559
38,2021-06-30,2021Q2,13.4,12375259.875259874,165828482328
39,2021-09-30,2021Q3,15.45,12374731.439484363,191189600740
40,2021-12-31,2021Q4,16.6,12375256.2825845,205429254291
41,2022-03-31,2022Q1,16.9,12374663.53587996,209131813756
42,2022-06-30,2022Q2,13.2,12375023.229882922,163350306634
