,date,quarter,price,shares_est,market_cap
0,2009-12-31,2009Q4,18.8,3000000.0,56400000000
1,2010-03-31,2010Q1,20.5,2999923.159674197,61498424773
2,2010-06-30,2010Q2,33.3,3000074.560095437,99902482851
3,2010-09-30,2010Q3,25.7,3000000.0,77100000000
4,2010-12-31,2010Q4,12.1,2999923.6699488587,36299076406
5,2011-03-31,2011Q1,12.5,3012071.39154262,37650892394
6,2011-06-30,2011Q2,11.3,3012073.0061785383,34036424970
7,2011-09-30,2011Q3,13.4,3012094.2517550564,40362062974
8,2011-12-30,2011Q4,14.9,3011947.43130227,44878016726
9,2012-03-30,2012Q1,14.2,3012059.852601801,42771249907
10,2012-06-29,2012Q2,4.6,3011959.849078095,13855015306
11,2012-09-28,2012Q3,4.5,3011942.5652354,13553741544
12,2012-12-28,2012Q4,5.8,3012090.786961748,17470126564
13,2013-03-29,2013Q1,6.2,3011974.818667032,18674243876
14,2013-06-28,2013Q2,4.4,3012130.3521080585,13253373549
15,2013-08-14,2013Q3,4.5,3012023.2951343227,13554104828
16,2013-12-31,2013Q4,10.1,3011938.160329493,30420575419
17,2014-03-31,2014Q1,12.5,3012036.170876208,37650452136
18,2014-06-30,2014Q2,9.3,3012117.9236751674,28012696690
19,2014-09-30,2014Q3,11.0,3012096.536260105,33133061899
20,2014-12-31,2014Q4,11.5,3012094.20751114,34639083386
21,2015-03-31,2015Q1,8.1,3012035.077109162,24397484125
22,2015-06-30,2015Q2,14.9,3011965.9117441047,44878292085
23,2015-09-30,2015Q3,17.2,3011968.914856203,51805865336
24,2015-12-31,2015Q4,17.2,3012010.780407781,51806585423
25,2016-03-31,2016Q1,17.6,3011991.628485774,53011052661
26,2016-06-30,2016Q2,15.5,3012027.305233503,46686423231
27,2016-09-30,2016Q3,28.8,3012065.737466195,86747493239
28,2016-12-30,2016Q4,25.9,3012053.707659445,78012191028
29,2017-03-31,2017Q1,22.1,3012039.848702786,66566080656
30,2017-06-30,2017Q2,12.1,3012074.643249177,36446103183
31,2017-09-29,2017Q3,19.3,3011986.121333193,58131332142
32,2017-12-29,2017Q4,11.6,3012096.350057852,34940317661
33,2018-03-30,2018Q1,13.2,3012032.3665405638,39758827238
34,2018-06-29,2018Q2,10.3,3012074.643249177,31024368825
35,2018-09-28,2018Q3,8.6,3012085.728097975,25903937262
36,2018-12-28,2018Q4,12.1,3011990.407673861,36445083933
37,2019-03-29,2019Q1,14.0,3012067.704524083,42168947863
38,2019-06-28,2019Q2,18.5,3011971.868792613,55721479573
39,2019-09-30,2019Q3,14.9,3012029.757821981,44879243392
40,2019-12-31,2019Q4,9.6,3012084.118016321,28916007533
41,2020-03-31,2020Q1,14.5,3012044.4398297165,43674644378
42,2020-06-30,2020Q2,17.4,3012028.9546519057,52409303811
43,2020-09-30,2020Q3,18.0,3011971.9424081007,54215494963
44,2020-12-31,2020Q4,12.0,3011938.7490267325,36143264988
45,2021-03-31,2021Q1,12.0,3012023.2172470978,36144278607
46,2021-06-30,2021Q2,12.0,3012097.2176399427,36145166612
47,2021-09-30,2021Q3,12.0,3012072.6554354387,36144871865
48,2021-12-31,2021Q4,17.4,3012103.5283946614,52410601394
49,2022-03-31,2022Q1,12.3,3012043.6379347597,37048136747
50,2022-06-30,2022Q2,13.5,3012010.3575560576,40662139827
