quarter,quarter,change_perc_mean,change_perc_stdv
2009Q4,2009Q4,-0.8818518518518518,5.736862608830073
2010Q1,2010Q1,0.19827586206896539,4.3394999865297095
2010Q2,2010Q2,0.7853225806451613,4.4896345894398655
2010Q3,2010Q3,-0.5901562499999998,3.808908726851317
2010Q4,2010Q4,-1.025454545454546,4.1822982941176035
2011Q1,2011Q1,0.01912280701754384,1.7838324319743175
2011Q2,2011Q2,-0.10836065573770493,0.8463237763564425
2011Q3,2011Q3,0.2875384615384615,2.2658676806366795
2011Q4,2011Q4,0.17523076923076925,1.5670694262024454
2012Q1,2012Q1,0.034237288135593215,1.2582379625133557
2012Q2,2012Q2,-1.7553225806451613,3.029328074468073
2012Q3,2012Q3,0.026093749999999943,3.526067379627707
2012Q4,2012Q4,0.41830769230769227,2.3689083517194485
2013Q1,2013Q1,0.43465517241379314,4.740612964851342
2013Q2,2013Q2,-0.533,2.6922879816749146
2013Q3,2013Q3,0.11600000000000002,2.9349964459826925
2013Q4,2013Q4,1.7094230769230767,5.4431609953608575
2014Q1,2014Q1,0.5546428571428569,5.935798931992134
2014Q2,2014Q2,-0.11786885245901632,6.607799460928502
2014Q3,2014Q3,0.3990625000000002,5.283208115911368
2014Q4,2014Q4,0.1537878787878788,4.193062682813682
2015Q1,2015Q1,-0.5844642857142858,2.7817985808026875
2015Q2,2015Q2,1.2540983606557379,7.127253649910598
2015Q3,2015Q3,1.029076923076923,5.298631522347576
2015Q4,2015Q4,0.1349999999999999,5.237604340800212
2016Q1,2016Q1,0.056779661016949146,1.9012377462734784
2016Q2,2016Q2,0.17548387096774204,4.773192792477779
2016Q3,2016Q3,1.0529230769230769,4.441153328203765
2016Q4,2016Q4,-0.08292307692307702,3.9992244260125474
2017Q1,2017Q1,-0.12762711864406767,5.344058685855966
2017Q2,2017Q2,-0.7849999999999998,6.078264352673681
2017Q3,2017Q3,0.7801562499999999,3.1815547223627774
2017Q4,2017Q4,-0.6576923076923077,3.1986763713833493
2018Q1,2018Q1,0.3094915254237289,4.299073847224825
2018Q2,2018Q2,-0.3114516129032257,4.207244278105693
2018Q3,2018Q3,-0.14796875,1.1837500000000003
2018Q4,2018Q4,0.5529230769230769,2.373877842184678
2019Q1,2019Q1,0.30517241379310334,3.331623197128797
2019Q2,2019Q2,0.5175409836065574,3.5306706897026925
2019Q3,2019Q3,-0.24307692307692305,2.7874523107338325
2019Q4,2019Q4,-0.5887878787878787,3.8628560638078366
2020Q1,2020Q1,0.8571186440677967,5.64044173216573
2020Q2,2020Q2,0.30790322580645163,1.7003501443620508
2020Q3,2020Q3,0.05307692307692308,0.4279198343327692
2020Q4,2020Q4,-0.49712121212121224,2.113156417925575
2021Q1,2021Q1,0.0,0.0
2021Q2,2021Q2,0.0,0.0
2021Q3,2021Q3,0.0,0.0
2021Q4,2021Q4,0.7648484848484847,4.180549188222944
2022Q1,2022Q1,-0.5544827586206897,2.8640611409318355
2022Q2,2022Q2,0.16,1.249639948145065
2022Q3,2022Q3,0.13515625,3.185795852419557
