,quarter,price,price_diff,price_diff_perc
1,2015Q1,39.0,0.6000000000000014,1.5625000000000038
2,2015Q2,35.0,-4.0,-10.256410256410257
3,2015Q3,40.3,5.299999999999997,15.142857142857137
4,2015Q4,50.5,10.200000000000003,25.31017369727048
5,2016Q1,72.0,21.5,42.57425742574257
6,2016Q2,98.5,26.5,36.80555555555556
7,2016Q3,98.5,0.0,0.0
8,2016Q4,58.0,-40.5,-41.11675126903553
9,2017Q1,64.2,6.200000000000003,10.689655172413797
10,2017Q2,57.5,-6.700000000000003,-10.436137071651093
11,2017Q3,56.5,-1.0,-1.7391304347826086
12,2017Q4,52.0,-4.5,-7.964601769911504
13,2018Q1,50.8,-1.2000000000000028,-2.3076923076923133
14,2018Q2,50.0,-0.7999999999999972,-1.5748031496062938
15,2018Q3,58.2,8.200000000000003,16.400000000000006
16,2018Q4,57.0,-1.2000000000000028,-2.0618556701030974
17,2019Q1,57.0,0.0,0.0
18,2019Q2,51.0,-6.0,-10.526315789473685
19,2019Q3,52.2,1.2000000000000028,2.3529411764705936
20,2019Q4,56.2,4.0,7.662835249042145
21,2020Q1,58.3,2.0999999999999943,3.736654804270452
22,2020Q2,65.8,7.5,12.864493996569468
23,2020Q3,71.6,5.799999999999997,8.814589665653493
24,2020Q4,69.0,-2.5999999999999943,-3.6312849162011096
25,2021Q1,63.0,-6.0,-8.695652173913043
26,2021Q2,59.0,-4.0,-6.349206349206349
27,2021Q3,60.6,1.6000000000000014,2.7118644067796636
28,2021Q4,59.6,-1.0,-1.6501650165016502
29,2022Q1,59.5,-0.10000000000000142,-0.16778523489933123
30,2022Q2,56.0,-3.5,-5.882352941176471
