,date,quarter,price,shares_est,market_cap
0,2011-09-30,2011Q3,5.5,13439773.931472978,73918756623
1,2011-12-30,2011Q4,4.5,13439411.92585152,60477353666
2,2012-03-30,2012Q1,4.3,13439502.586911138,57789861124
3,2012-06-29,2012Q2,3.7,13439349.807385135,49725594287
4,2012-09-28,2012Q3,3.2,13439733.840304185,43007148289
5,2012-12-28,2012Q4,2.7,13439354.966363275,36286258409
6,2013-03-29,2013Q1,2.6,13439668.251239,34943137453
7,2013-06-28,2013Q2,2.4,13440540.81737171,32257297962
8,2013-09-30,2013Q3,2.0,13439255.659594642,26878511319
9,2013-12-31,2013Q4,3.1,13439602.44648318,41662767584
10,2014-03-31,2014Q1,5.6,13440462.942354774,75266592477
11,2014-06-30,2014Q2,3.5,13440509.915014165,47041784703
12,2014-09-30,2014Q3,3.4,13440058.674489932,45696199493
13,2014-12-31,2014Q4,2.9,13438728.463965056,38972312545
14,2015-03-31,2015Q1,2.3,13440779.220779222,30913792208
15,2015-06-30,2015Q2,1.9,13441510.430419857,25538869818
16,2015-09-30,2015Q3,2.0,13440057.430007178,26880114860
17,2015-12-31,2015Q4,2.1,13440286.186020914,28224600991
18,2016-03-31,2016Q1,1.9,13440138.80855986,25536263736
19,2016-06-30,2016Q2,3.3,13442008.48656294,44358628006
20,2016-09-30,2016Q3,3.08,13443859.649122806,41407087719
21,2016-12-30,2016Q4,3.0,31541407.08099073,94624221243
22,2017-03-31,2017Q1,2.25,31541858.32566697,70969181233
23,2017-06-30,2017Q2,3.3,31537885.731744576,104075022915
24,2017-09-29,2017Q3,2.8,31540282.203004096,88312790168
25,2017-12-29,2017Q4,2.43,31542106.85179596,76647319650
26,2018-03-30,2018Q1,2.45,31538813.4817752,77270093030
27,2018-06-29,2018Q2,3.16,31539225.42204568,99663952334
28,2018-09-28,2018Q3,4.25,31539761.141858432,134043984853
29,2018-12-28,2018Q4,3.55,31538439.13803145,111961458940
30,2019-03-29,2019Q1,3.94,31538315.85081585,124260964452
31,2019-06-28,2019Q2,2.7,31541222.391469914,85161300457
32,2019-09-30,2019Q3,1.65,31539664.37833715,52040446224
33,2019-12-31,2019Q4,2.34,31539077.392298896,73801441098
34,2020-03-31,2020Q1,1.74,31539866.79352997,54879368221
35,2020-06-30,2020Q2,1.98,31538747.775440868,62446720595
36,2020-09-30,2020Q3,1.73,31541184.365039423,54566248952
37,2020-12-31,2020Q4,1.95,31539960.62992126,61502923228
38,2021-03-31,2021Q1,7.01,31536728.896103896,221072469562
39,2021-06-30,2021Q2,6.1,31536728.896103896,192374046266
40,2021-09-30,2021Q3,7.08,31542315.631450552,223319594671
41,2021-12-31,2021Q4,13.7,31540155.2066414,432100126331
42,2022-03-31,2022Q1,15.95,31542757.736678265,503106985900
43,2022-06-30,2022Q2,6.14,31542338.336112656,193669957384
