,quarter,roa
0,2009Q3,0.0
1,2009Q4,1.61
2,2010Q1,0.28
3,2010Q2,0.44
4,2010Q3,0.29
5,2010Q4,0.63
6,2011Q1,0.16
7,2011Q2,0.78
8,2011Q3,0.48
9,2011Q4,0.93
10,2012Q1,0.1
11,2012Q2,0.05
12,2012Q3,0.42
13,2012Q4,2.09
14,2013Q1,0.74
15,2013Q2,-0.04
16,2013Q3,0.73
17,2013Q4,0.24
18,2014Q1,0.19
19,2014Q2,0.4
20,2014Q3,0.46
21,2014Q4,0.62
22,2015Q1,0.73
23,2015Q2,0.34
24,2015Q3,-0.02
25,2015Q4,1.04
26,2016Q1,0.39
27,2016Q2,0.05
28,2016Q3,0.8
29,2016Q4,0.78
30,2017Q1,0.22
31,2017Q2,0.43
32,2017Q3,1.34
33,2017Q4,0.36
34,2018Q1,0.36
35,2018Q2,0.46
36,2018Q3,0.38
37,2018Q4,1.06
38,2019Q1,0.56
39,2019Q2,0.7
40,2019Q3,0.75
41,2019Q4,0.79
42,2020Q1,0.39
43,2020Q2,0.66
44,2020Q3,0.34
45,2020Q4,-1.25
46,2021Q1,0.4
47,2021Q2,0.82
48,2021Q3,0.43
49,2021Q4,-0.29
50,2022Q1,0.16
51,2022Q2,0.76
