,date,quarter,price,shares_est,market_cap
0,2006-12-29,2006Q4,47.1,8400028.706760442,395641352088
1,2007-03-30,2007Q1,64.0,8400131.887456037,537608440797
2,2007-06-29,2007Q2,48.2,10079610.538373426,485837227950
3,2007-09-28,2007Q3,51.0,10079681.2749004,514063745020
4,2007-12-28,2007Q4,50.0,10080148.504040183,504007425202
5,2008-03-31,2008Q1,41.2,10080231.42339328,415305534644
6,2008-06-30,2008Q2,19.2,13104171.955657104,251600101549
7,2008-09-30,2008Q3,17.6,13104190.519807648,230633753149
8,2008-12-31,2008Q4,15.0,13104206.58059142,196563098709
9,2009-03-31,2009Q1,15.3,13103974.338914098,200490807385
10,2009-06-30,2009Q2,19.7,13104294.015545996,258154592106
11,2009-09-30,2009Q3,27.8,13104147.786685256,364295308470
12,2009-12-31,2009Q4,25.2,13103453.010228598,330207015858
13,2010-03-31,2010Q1,26.1,13103968.657041283,342013581949
14,2010-06-30,2010Q2,23.5,13103522.888633445,307932787883
15,2010-09-30,2010Q3,21.8,13103951.17250241,285666135561
16,2010-12-31,2010Q4,19.4,13104140.934798151,254220334135
17,2011-03-31,2011Q1,16.2,13104114.075185915,212286648018
18,2011-06-30,2011Q2,13.8,13103768.189616827,180832001017
19,2011-09-30,2011Q3,12.1,13103501.193588722,158552364442
20,2011-12-30,2011Q4,12.1,13103939.359136326,158557666246
21,2012-03-30,2012Q1,15.3,13104132.696092213,200493230250
22,2012-06-29,2012Q2,15.4,13103640.616565704,201796065495
23,2012-09-28,2012Q3,14.3,13103662.711090824,187382376769
24,2012-12-28,2012Q4,15.0,13103827.540695116,196557413110
25,2013-03-29,2013Q1,15.3,13104138.920192605,200493325479
26,2013-06-28,2013Q2,20.9,13104042.412193503,273874486415
27,2013-09-30,2013Q3,24.0,13104072.613220548,314497742717
28,2013-12-31,2013Q4,30.6,13103924.247420738,400980081971
29,2014-03-31,2014Q1,29.3,13103774.825726686,383940602394
30,2014-06-30,2014Q2,28.1,13103657.44069015,368212774083
31,2014-09-30,2014Q3,29.8,13103719.599427754,390490844063
32,2014-12-31,2014Q4,31.5,13103704.986149585,412766707064
33,2015-03-31,2015Q1,32.9,13103589.837157324,431108105642
34,2015-06-30,2015Q2,31.5,13103847.463398024,412771195097
35,2015-09-30,2015Q3,39.4,13103654.457267102,516283985616
36,2015-12-31,2015Q4,45.0,13103589.20406264,589661514183
37,2016-03-31,2016Q1,53.5,13103836.795807598,701055268576
38,2016-06-30,2016Q2,65.5,13103962.72221787,858309558305
39,2016-09-30,2016Q3,61.7,13103790.613718413,808503880866
40,2016-12-30,2016Q4,53.0,13103693.9679026,694495780299
41,2017-03-31,2017Q1,60.0,13103773.28246722,786226396948
42,2017-06-30,2017Q2,69.4,13103876.37852473,909409020670
43,2017-09-29,2017Q3,73.5,13103903.328491516,963136894644
44,2017-12-29,2017Q4,64.6,13103883.894470884,846510899583
45,2018-03-30,2018Q1,34.2,19655413.309072003,672215135170
46,2018-06-29,2018Q2,29.8,26207249.196796235,780976026065
47,2018-09-28,2018Q3,33.4,26207268.117473066,875322755124
48,2018-12-28,2018Q4,34.0,26207441.554165296,891053012842
49,2019-03-29,2019Q1,35.8,26207301.27576055,938221385672
50,2019-06-28,2019Q2,34.5,26208016.2986986,904176562305
51,2019-09-30,2019Q3,32.5,26207287.35543264,851736839052
52,2019-12-31,2019Q4,33.9,26207896.82689762,888447702432
53,2020-03-31,2020Q1,23.15,26207297.93833242,606698947272
54,2020-06-30,2020Q2,26.8,26207609.404364668,702363932037
55,2020-09-30,2020Q3,28.8,26207126.06257913,754765230602
56,2020-12-31,2020Q4,33.0,26207467.986656625,864846443560
57,2021-03-31,2021Q1,38.4,26207397.622192867,1006364068692
58,2021-06-30,2021Q2,33.5,26207397.622192867,877947820343
59,2021-09-30,2021Q3,35.75,26207948.7532718,936934167929
60,2021-12-31,2021Q4,37.0,26207666.000744928,969683642028
61,2022-03-31,2022Q1,40.9,26207505.08430099,1071886957948
62,2022-06-30,2022Q2,36.3,26207260.403200448,951323552636
