,quarter,owner_equity,bvps,shares_est,shares_est_diff,shares_est_diff_perc,lev
0,2009Q1,151788.0,10121.0,14997332.27941903,,,0.6279322856079982
1,2009Q2,158280.0,10554.0,14997157.475838544,-174.80358048528433,-0.001165578082159269,0.5992703449795932
2,2010Q2,175385.0,11694.0,14997862.1515307,704.6756921559572,0.00469850759419093,0.58731193182932
3,2012Q1,338088.0,14087.0,24000000.0,9002137.8484693,37.508907701955415,0.37204352133931
4,2012Q2,310835.0,12951.0,24000849.35526214,849.3552621416748,0.003538855019543111,0.36589983136188137
5,2012Q3,329542.0,13731.0,23999854.344184693,-995.0110774487257,-0.004145904650833111,0.3593475697010069
6,2012Q4,346346.0,14431.0,24000138.590534266,284.2463495731354,0.0011843529507168892,0.3043626709400348
7,2013Q1,345894.0,14412.0,24000416.319733556,277.7291992902756,0.0011571849237545177,0.29636274808502633
8,2013Q2,331962.0,13832.0,23999566.223250434,-850.0964831225574,-0.0035421327002943754,0.3090918923286021
9,2013Q3,357221.0,14884.0,24000335.93120129,769.7079508565366,0.0032070715720936595,0.2713894384778616
10,2013Q4,375537.0,15647.0,24000575.190132294,239.25893100351095,0.0009968883208344146,0.27041235558713417
11,2014Q1,391090.0,16295.0,24000613.6851795,38.49504720792174,0.00016039192877677385,0.2372755741792837
12,2014Q2,354451.0,14769.0,23999661.453043535,-952.2321359664202,-0.003967689868582134,0.32245738189161377
13,2014Q3,373271.0,15553.0,23999935.703722753,274.25067921727896,0.0011427142247499376,0.2734115708933049
14,2014Q4,390702.0,16279.0,24000368.57300817,432.86928541585803,0.0018035943243916728,0.2499870418504185
15,2015Q1,405232.0,16885.0,23999526.20669233,-842.3663158379495,-0.003509928940193217,0.23098294285018076
16,2015Q2,510882.0,15026.0,33999866.89737788,10000340.690685548,29.412881882360512,0.2404743742271426
17,2015Q3,533679.0,15696.0,34000955.657492355,1088.7601144760847,0.0032021456262690917,0.23602655153977906
18,2015Q4,556684.0,16373.0,34000122.15232395,-833.5051684081554,-0.0024514769819766204,0.22403970903225937
19,2016Q1,579241.0,17037.0,33999002.171743855,-1119.9805800914764,-0.003294157206243771,0.18031160645811053
20,2016Q2,539393.0,15865.0,33998928.45887173,-73.71287212520838,-0.000216809398020818,0.19648618906695695
21,2016Q3,560251.0,16478.0,33999939.313023426,1010.8541516959667,0.0029731057528939956,0.18174528847148808
22,2016Q4,576074.0,16943.0,34000708.257097326,768.9440739005804,0.002261553106735859,0.1450876391536169
23,2017Q1,595331.0,17510.0,33999486.007995434,-1222.2491018921137,-0.0035949046453369483,0.11437148624859755
24,2017Q2,549406.0,16159.0,34000000.0,513.9920045658946,0.00151174118989969,0.07280447412892083
25,2017Q3,572989.0,16853.0,33999228.62398386,-771.3760161399841,-0.002268804462216055,0.042786430288645635
26,2017Q4,594041.0,17472.0,33999599.35897436,370.7349904999137,0.0010904098797918816,0.03276013938892222
27,2018Q1,631767.0,18581.0,34000699.639416605,1100.2804422453046,0.003236052357492558,0.12805122086375298
28,2018Q2,585176.0,17211.0,34000116.20475277,-583.4346638321877,-0.0017159784405402446,0.1204300620917361
29,2018Q3,607502.0,17868.0,33999440.34027311,-675.8644796609879,-0.0019878694263693836,0.11683089421946877
30,2018Q4,624897.0,18379.0,34000598.50916807,1158.1688949614763,0.003406319140673899,0.11205051749325684
31,2019Q1,649586.0,19105.0,34000837.47710024,238.96793216466904,0.0007028295474357517,0.10665252888155528
32,2019Q2,600774.0,17670.0,33999660.44142614,-1177.0356740951538,-0.0034619042037873425,0.1152571724774502
33,2019Q3,622397.0,18306.0,33999617.61171201,-42.82971413433552,-0.0001259711642156286,0.11227291447702023
34,2019Q4,631157.0,18563.0,34000808.05904218,1190.4473301693797,0.003501232465128993,0.09553036586006367
35,2020Q1,652705.0,19197.0,34000364.64030838,-443.41873379796743,-0.0013041587597336594,0.07946937664819219
36,2020Q2,598608.0,17606.0,34000227.19527434,-137.44503404200077,-0.0004042473988559233,0.18263595673376085
37,2020Q3,626179.0,18417.0,34000054.29765977,-172.8976145684719,-0.0005085215836857428,0.16872037892293548
38,2020Q4,636623.0,18724.0,34000373.85174108,319.55408131331205,0.0009398546107367241,0.09467847728504583
39,2021Q1,649284.0,19097.0,33999266.9005603,-1106.9511807858944,-0.003255808967950577,0.05522815613949826
40,2021Q2,683841.0,20113.0,33999950.28091284,683.3803525418043,0.00200994515255349,0.04663512203309792
41,2021Q3,630685.0,18550.0,33999191.37466307,-758.906249769032,-0.0022321302921768467,0.14438511359958173
42,2021Q4,647178.0,19035.0,33999369.58234831,178.20768523961306,0.0005241499693339443,0.050032072709024156
43,2022Q1,672817.0,19789.0,33999545.20187983,175.61953151971102,0.0005165349432674207,0.030866580389564243
44,2022Q2,613230.0,18036.0,34000332.66799734,787.4661175087094,0.0023160541551109836,0.15363806605556565
