,quarter,owner_equity,bvps,shares_est,shares_est_diff,shares_est_diff_perc
0,2010Q1,,0.0,,,
1,2010Q2,,0.0,,,
2,2010Q3,158141.0,12165.0,12999671.18783395,,
3,2010Q4,162118.0,12471.0,12999599.069842033,-72.11799191683531,-0.0005547708935435011
4,2011Q1,168517.0,12963.0,12999845.71472653,246.64488449692726,0.0018972908595178337
5,2011Q2,162644.0,12511.0,13000079.929661898,234.21493536792696,0.0018016422717026968
6,2011Q3,167370.0,12875.0,12999611.650485437,-468.27917646057904,-0.0036022551215450526
7,2011Q4,177003.0,13616.0,12999632.784958871,21.134473433718085,0.00016257746494325264
8,2012Q1,183825.0,14140.0,13000353.60678925,720.8218303788453,0.005544632493706989
9,2012Q2,165672.0,12744.0,13000000.0,-353.6067892499268,-0.0027200522249994368
10,2012Q3,169683.0,13053.0,12999540.335555045,-459.66444495506585,-0.0035360053747272705
11,2012Q4,186214.0,14324.0,13000139.625802848,599.2902478035539,0.004609875470983979
12,2013Q1,191916.0,14763.0,12999796.789270474,-342.83653237484396,-0.0026372453195407475
13,2013Q2,170825.0,13140.0,13000380.517503805,583.7282333318144,0.004490085752073784
14,2013Q3,175945.0,13534.0,13000221.663957441,-158.8535463642329,-0.001221929521437681
15,2013Q4,193408.0,14878.0,12999596.719989246,-624.9439681954682,-0.0048074104270827344
16,2014Q1,203939.0,15688.0,12999681.285058644,84.56506939791143,0.0006505164822395101
17,2014Q2,184240.0,14172.0,13000282.246683601,600.9616249576211,0.004622681366098245
18,2014Q3,189769.0,14598.0,12999657.487327032,-624.7593565694988,-0.004805967827833599
19,2014Q4,195996.0,15077.0,12999668.369038934,10.881711902096868,8.370761155733508e-05
20,2015Q1,209118.0,16086.0,13000000.0,331.6309610661119,0.0025510073928162453
21,2015Q2,178519.0,13732.0,13000218.46781241,218.46781240962446,0.0016804933928651644
22,2015Q3,196759.0,15135.0,13000264.288074,45.82026159018278,0.0003524563853076182
23,2015Q4,211505.0,16270.0,12999692.685925016,-571.6021489836276,-0.004397043551671885
24,2016Q1,208511.0,16039.0,13000249.39210674,556.7061817236245,0.004282273092865706
25,2016Q2,188801.0,14523.0,13000137.712593816,-111.67951292358339,-0.0008590640760320134
26,2016Q3,204679.0,15745.0,12999618.926643379,-518.7859504371881,-0.003990778140226172
27,2016Q4,209461.0,16112.0,13000310.327706058,691.4010626785457,0.005318342756826678
28,2017Q1,206097.0,15854.0,12999684.622177368,-625.7055286895484,-0.004813236219762588
29,2017Q2,193119.0,14855.0,13000269.269606194,584.6474288254976,0.004497194763437449
30,2017Q3,185235.0,14249.0,12999859.639272932,-409.6303332615644,-0.0031510365852263507
31,2017Q4,208538.0,16041.0,13000311.701265506,452.06199257448316,0.003477316567190289
32,2018Q1,205730.0,15825.0,13000315.955766194,4.254500687122345,3.272613297706271e-05
33,2018Q2,190602.0,14662.0,12999727.185922794,-588.7698433995247,-0.004529093841577649
34,2018Q3,196150.0,15088.0,13000397.667020148,670.4810973536223,0.005157389139368572
35,2018Q4,210720.0,16209.0,13000185.082361652,-212.58465849608183,-0.0016352433226855497
36,2019Q1,214788.0,16522.0,13000121.050720252,-64.03164139948785,-0.0004925465012953882
37,2019Q2,211006.0,16231.0,13000184.831495287,63.78077503480017,0.0004906143709609402
38,2019Q3,225770.0,17367.0,12999942.419531295,-242.4119639918208,-0.0018647156746449715
39,2019Q4,216720.0,16671.0,12999820.046787836,-122.37274345941842,-0.0009413418264174807
40,2020Q1,224098.0,17238.0,13000232.045480914,411.99869307875633,0.0031691641475120715
41,2020Q2,205784.0,15830.0,12999620.972836386,-611.0726445280015,-0.004700695857247534
42,2020Q3,213290.0,16407.0,12999939.050405314,318.0775689277798,0.0024467620016869443
43,2020Q4,223883.0,17222.0,12999825.804203926,-113.24620138853788,-0.0008711362990103757
44,2021Q1,232247.0,17865.0,13000111.950741673,286.1465377472341,0.00220110825838626
45,2021Q2,211734.0,16287.0,13000184.195984527,72.24524285458028,0.0005557247633221632
46,2021Q3,213273.0,16406.0,12999695.233451176,-488.9625333510339,-0.003761338435787494
47,2021Q4,225889.0,17376.0,13000057.550644567,362.31719339080155,0.0027870429956122554
48,2022Q1,220224.0,16940.0,13000236.127508854,178.5768642872572,0.0013736432364438648
49,2022Q2,204693.0,15746.0,12999682.459037216,-553.6684716381133,-0.0042590922769287325
