,date,quarter,price,shares_est,market_cap
0,2009-09-30,2009Q3,130.0,25000505.20359705,3250065676468
1,2009-12-31,2009Q4,73.5,25000402.75664549,1837529602613
2,2010-03-31,2010Q1,62.5,24999872.117311053,1562492007332
3,2010-06-30,2010Q2,38.6,32499919.37651169,1254496887933
4,2010-09-30,2010Q3,30.5,42249617.96558368,1288613347950
5,2010-12-31,2010Q4,32.0,42250860.18142008,1352027525805
6,2011-03-31,2011Q1,20.0,42250479.66825525,845009593365
7,2011-06-30,2011Q2,13.7,42250178.24041066,578827441894
8,2011-09-30,2011Q3,13.0,42249273.30733782,549240552995
9,2011-12-30,2011Q4,8.9,42249163.76544474,376017557512
10,2012-03-30,2012Q1,13.6,42250466.56799022,574606345325
11,2012-06-29,2012Q2,25.3,42250656.70422042,1068941614617
12,2012-09-28,2012Q3,22.1,52248419.098451,1154690062076
13,2012-12-28,2012Q4,23.2,58517220.50723322,1357599515768
14,2013-03-29,2013Q1,29.9,58516163.67130101,1749633293772
15,2013-06-28,2013Q2,39.1,58519041.86584021,2288094536954
16,2013-09-30,2013Q3,35.0,67292086.67833646,2355223033742
17,2013-12-31,2013Q4,36.0,67292262.66084939,2422521455791
18,2014-03-31,2014Q1,42.4,67291792.0514683,2853171982982
19,2014-06-30,2014Q2,41.8,67291587.60278305,2812788361796
20,2014-09-30,2014Q3,46.6,67292607.20862931,3135835495922
21,2014-12-31,2014Q4,43.0,67291989.15454769,2893555533646
22,2015-03-31,2015Q1,40.3,67292684.08325826,2711895168555
23,2015-06-30,2015Q2,39.0,67294745.89997976,2624495090099
24,2015-09-30,2015Q3,28.6,74018792.1619017,2116937455830
25,2015-12-31,2015Q4,24.7,74021246.22563821,1828324781773
26,2016-03-31,2016Q1,29.2,74019108.61462544,2161357971547
27,2016-06-30,2016Q2,26.4,74020595.90126233,1954143731793
28,2016-09-30,2016Q3,23.2,103627482.43201956,2404157592423
29,2016-12-30,2016Q4,20.25,103623427.0622961,2098374398011
30,2017-03-31,2017Q1,19.6,103627832.69961976,2031105520913
31,2017-06-30,2017Q2,18.55,103623079.26365434,1922208120341
32,2017-09-29,2017Q3,14.8,103622074.4233036,1533606701465
33,2017-12-29,2017Q4,15.7,103624035.5585374,1626897358269
34,2018-03-30,2018Q1,14.3,103628602.63843374,1481889017730
35,2018-06-29,2018Q2,13.9,103622168.14901827,1440348137271
36,2018-09-28,2018Q3,14.8,103620913.89924563,1533589525709
37,2018-12-28,2018Q4,14.7,103621006.1477184,1523228790371
38,2019-03-29,2019Q1,15.15,103621142.7089636,1569860312041
39,2019-06-28,2019Q2,14.35,103625441.08787332,1487025079611
40,2019-09-30,2019Q3,14.8,103622887.86482334,1533618740399
41,2019-12-31,2019Q4,13.65,103627910.85885988,1414520983223
42,2020-03-31,2020Q1,13.9,103624152.75252108,1440375723260
43,2020-06-30,2020Q2,14.9,103626491.2567413,1544034719725
44,2020-09-30,2020Q3,15.8,103627413.448735,1637313132490
45,2020-12-31,2020Q4,17.6,103621648.05607627,1823741005787
46,2021-03-31,2021Q1,18.9,103625713.59652647,1958525986974
47,2021-06-30,2021Q2,17.9,103621856.09678446,1854831224132
48,2021-09-30,2021Q3,18.0,103622113.82113822,1865198048780
49,2021-12-31,2021Q4,18.9,103626929.47043458,1958548966991
50,2022-03-31,2022Q1,18.15,103623812.64330168,1880772199476
51,2022-06-30,2022Q2,17.75,103621630.58804014,1839283942938
