,quarter,roa
0,2009Q4,2.37
1,2010Q2,1.3
2,2010Q3,2.52
3,2010Q4,2.72
4,2011Q1,0.73
5,2011Q2,1.47
6,2011Q3,1.22
7,2011Q4,0.05
8,2012Q1,0.04
9,2012Q2,0.61
10,2012Q3,0.03
11,2012Q4,0.01
12,2013Q1,0.01
13,2013Q2,0.02
14,2013Q3,0.0
15,2013Q4,-2.64
16,2014Q1,-2.38
17,2014Q2,-7.37
18,2014Q3,-0.92
19,2014Q4,1.46
20,2015Q1,-1.97
21,2015Q2,-4.12
22,2015Q3,0.17
23,2015Q4,4.44
24,2016Q1,0.14
25,2016Q2,1.09
26,2016Q3,1.14
27,2016Q4,0.76
28,2017Q1,0.06
29,2017Q2,0.07
30,2017Q3,0.39
31,2017Q4,2.56
32,2018Q1,0.06
33,2018Q2,0.2
34,2018Q3,0.4
35,2018Q4,-16.43
36,2019Q1,0.23
37,2019Q2,0.17
38,2019Q3,2.0
39,2019Q4,3.01
40,2020Q1,0.42
41,2020Q2,0.42
42,2020Q3,3.5
43,2020Q4,0.64
44,2021Q1,2.01
45,2021Q2,0.52
46,2021Q3,0.53
47,2021Q4,0.5
48,2022Q1,0.28
49,2022Q2,0.51
