,quarter,roa
0,2009Q4,11.48
1,2010Q1,3.59
2,2010Q2,3.27
3,2010Q3,5.07
4,2010Q4,8.36
5,2011Q1,4.49
6,2011Q2,4.61
7,2011Q3,4.96
8,2011Q4,1.59
9,2012Q1,4.03
10,2012Q2,2.84
11,2012Q3,2.62
12,2012Q4,0.78
13,2013Q1,1.66
14,2013Q2,1.52
15,2013Q3,1.61
16,2013Q4,1.37
17,2014Q1,2.47
18,2014Q2,0.98
19,2014Q3,1.64
20,2014Q4,0.99
21,2015Q1,2.72
22,2015Q2,1.29
23,2015Q3,1.89
24,2015Q4,1.92
25,2016Q1,3.85
26,2016Q2,3.47
27,2016Q3,1.3
28,2016Q4,0.12
29,2017Q1,0.71
30,2017Q2,1.62
31,2017Q3,1.41
32,2017Q4,0.48
33,2018Q1,0.04
34,2018Q2,0.55
35,2018Q3,0.0
36,2018Q4,0.07
37,2019Q1,0.04
38,2019Q2,0.77
39,2019Q3,0.27
40,2019Q4,0.03
41,2020Q1,0.34
42,2020Q2,1.11
43,2020Q3,0.67
44,2020Q4,-0.71
45,2021Q1,0.9
46,2021Q2,0.85
47,2021Q3,0.88
48,2021Q4,0.01
49,2022Q1,0.77
50,2022Q2,0.24
