,quarter,roa
0,2010Q1,0.0
1,2010Q2,0.0
2,2010Q3,12.76
3,2010Q4,3.03
4,2011Q1,11.14
5,2011Q2,15.24
6,2011Q3,9.97
7,2011Q4,6.75
8,2012Q1,11.74
9,2012Q2,16.13
10,2012Q3,10.96
11,2012Q4,5.06
12,2013Q1,12.49
13,2013Q2,16.51
14,2013Q3,9.54
15,2013Q4,2.86
16,2014Q1,11.28
17,2014Q2,15.53
18,2014Q3,9.8
19,2014Q4,4.0
20,2015Q1,9.32
21,2015Q2,16.58
22,2015Q3,10.12
23,2015Q4,2.7
24,2016Q1,10.24
25,2016Q2,17.44
26,2016Q3,9.36
27,2016Q4,1.63
28,2017Q1,9.95
29,2017Q2,17.46
30,2017Q3,10.52
31,2017Q4,4.55
32,2018Q1,9.35
33,2018Q2,18.09
34,2018Q3,11.15
35,2018Q4,3.55
36,2019Q1,8.41
37,2019Q2,18.47
38,2019Q3,10.58
39,2019Q4,1.92
40,2020Q1,1.89
41,2020Q2,-2.21
42,2020Q3,10.69
43,2020Q4,7.79
44,2021Q1,0.33
45,2021Q2,1.83
46,2021Q3,6.46
47,2021Q4,3.63
48,2022Q1,4.27
49,2022Q2,20.48
