,quarter,roa
0,2010Q1,1.32
1,2010Q2,4.04
2,2010Q3,1.47
3,2010Q4,4.37
4,2011Q1,0.32
5,2011Q2,0.12
6,2011Q3,0.11
7,2011Q4,0.19
8,2012Q1,0.42
9,2012Q2,0.21
10,2012Q3,0.0
11,2012Q4,-0.41
12,2013Q1,0.01
13,2013Q2,-0.05
14,2013Q3,-3.44
15,2013Q4,0.04
16,2014Q1,0.0
17,2014Q2,-0.77
18,2014Q3,-0.42
19,2014Q4,1.53
20,2015Q1,-0.63
21,2015Q2,0.66
22,2015Q3,0.19
23,2015Q4,-0.15
24,2016Q1,0.03
25,2016Q2,0.01
26,2016Q3,-0.64
27,2016Q4,0.62
28,2017Q1,0.02
29,2017Q2,0.16
30,2017Q3,0.29
31,2017Q4,0.69
32,2018Q1,0.07
33,2018Q2,0.16
34,2018Q3,-0.21
35,2018Q4,1.07
36,2019Q1,-0.27
37,2019Q2,0.42
38,2019Q3,0.41
39,2019Q4,0.75
40,2020Q1,-0.31
41,2020Q2,-0.33
42,2020Q3,-0.43
43,2020Q4,0.28
44,2021Q1,0.28
45,2021Q2,0.48
46,2021Q3,-0.02
47,2021Q4,0.89
48,2022Q1,0.46
49,2022Q2,0.38
