,quarter,roa
0,2009Q3,9.5
1,2009Q4,4.4
2,2010Q1,3.74
3,2010Q2,6.57
4,2010Q3,9.48
5,2010Q4,8.15
6,2011Q1,6.69
7,2011Q2,7.08
8,2011Q3,7.36
9,2011Q4,4.38
10,2012Q1,6.22
11,2012Q2,7.76
12,2012Q3,6.72
13,2012Q4,4.71
14,2013Q1,5.86
15,2013Q2,6.92
16,2013Q3,5.77
17,2013Q4,4.68
18,2014Q1,4.89
19,2014Q2,6.15
20,2014Q3,6.63
21,2014Q4,5.7
22,2015Q1,6.48
23,2015Q2,6.57
24,2015Q3,8.75
25,2015Q4,4.76
26,2016Q1,5.46
27,2016Q2,7.29
28,2016Q3,7.22
29,2016Q4,6.15
30,2017Q1,6.06
31,2017Q2,7.25
32,2017Q3,6.73
33,2017Q4,5.7
34,2018Q1,5.01
35,2018Q2,6.76
36,2018Q3,7.71
37,2018Q4,5.21
38,2019Q1,3.92
39,2019Q2,7.66
40,2019Q3,4.4
41,2019Q4,3.97
42,2020Q1,3.43
43,2020Q2,7.14
44,2020Q3,3.78
45,2020Q4,3.37
46,2021Q1,3.74
47,2021Q2,5.78
48,2021Q3,5.92
49,2021Q4,3.98
50,2022Q1,3.67
51,2022Q2,5.74
