,quarter,price,price_diff,price_diff_perc
1,2010Q1,66.0,0.0,0.0
2,2010Q2,78.0,12.0,18.181818181818183
3,2010Q3,31.8,-46.2,-59.23076923076923
4,2010Q4,28.7,-3.1000000000000014,-9.748427672955978
5,2011Q1,22.9,-5.800000000000001,-20.20905923344948
6,2011Q2,19.9,-3.0,-13.100436681222709
7,2011Q3,15.5,-4.399999999999999,-22.11055276381909
8,2011Q4,7.0,-8.5,-54.83870967741935
9,2012Q1,8.6,1.5999999999999996,22.857142857142854
10,2012Q2,9.5,0.9000000000000004,10.465116279069772
11,2012Q3,7.6,-1.9000000000000004,-20.000000000000004
12,2012Q4,10.8,3.200000000000001,42.105263157894754
13,2013Q1,11.4,0.5999999999999996,5.555555555555552
14,2013Q2,9.4,-2.0,-17.543859649122805
15,2013Q3,8.8,-0.5999999999999996,-6.382978723404252
16,2013Q4,12.5,3.6999999999999993,42.04545454545453
17,2014Q1,16.3,3.8000000000000007,30.400000000000006
18,2014Q2,14.9,-1.4000000000000004,-8.588957055214726
19,2014Q3,15.4,0.5,3.3557046979865772
20,2014Q4,14.0,-1.4000000000000004,-9.090909090909092
21,2015Q1,17.0,3.0,21.428571428571427
22,2015Q2,16.3,-0.6999999999999993,-4.117647058823525
23,2015Q3,17.8,1.5,9.202453987730062
24,2015Q4,18.9,1.0999999999999979,6.179775280898864
25,2016Q1,16.3,-2.599999999999998,-13.756613756613746
26,2016Q2,15.3,-1.0,-6.134969325153374
27,2016Q3,14.5,-0.8000000000000007,-5.228758169934645
28,2016Q4,12.5,-2.0,-13.793103448275861
29,2017Q1,20.6,8.100000000000001,64.80000000000001
30,2017Q2,17.3,-3.3000000000000007,-16.019417475728158
31,2017Q3,21.0,3.6999999999999993,21.387283236994215
32,2017Q4,21.55,0.5500000000000007,2.6190476190476226
33,2018Q1,36.4,14.849999999999998,68.90951276102086
34,2018Q2,27.15,-9.25,-25.412087912087912
35,2018Q3,30.1,2.950000000000003,10.865561694290987
36,2018Q4,23.8,-6.300000000000001,-20.930232558139537
37,2019Q1,22.3,-1.5,-6.302521008403361
38,2019Q2,18.65,-3.650000000000002,-16.367713004484315
39,2019Q3,17.45,-1.1999999999999993,-6.434316353887396
40,2019Q4,14.5,-2.9499999999999993,-16.905444126074496
41,2020Q1,7.75,-6.75,-46.55172413793103
42,2020Q2,11.2,3.4499999999999993,44.51612903225806
43,2020Q3,10.1,-1.0999999999999996,-9.82142857142857
44,2020Q4,15.95,5.85,57.92079207920792
45,2021Q1,24.0,8.05,50.47021943573669
46,2021Q2,24.0,0.0,0.0
47,2021Q3,19.1,-4.899999999999999,-20.41666666666666
48,2021Q4,35.0,15.899999999999999,83.2460732984293
49,2022Q1,46.6,11.600000000000001,33.142857142857146
50,2022Q2,19.5,-27.1,-58.15450643776824
