,date,quarter,price,shares_est,market_cap
0,2009-06-30,2009Q2,12.6,1860046.403712297,23436584687
1,2009-09-30,2009Q3,11.5,1860060.06006006,21390690691
2,2009-12-31,2009Q4,11.7,1859931.1136624569,21761194030
3,2010-03-31,2010Q1,10.8,1860049.9821492324,20088539807
4,2010-06-30,2010Q2,12.5,1860054.8132922235,23250685166
5,2010-09-30,2010Q3,27.6,1860017.567675477,51336484868
6,2010-12-31,2010Q4,12.9,1860021.957340025,23994283250
7,2011-03-31,2011Q1,8.5,1860039.728521768,15810337692
8,2011-06-30,2011Q2,6.0,1859988.5236494795,11159931142
9,2011-09-30,2011Q3,7.1,1859964.508911349,13205748013
10,2011-12-30,2011Q4,5.3,1859962.0493358637,9857798861
11,2012-03-30,2012Q1,9.3,1860026.4983243707,17298246434
12,2012-06-29,2012Q2,9.5,1859923.095032567,17669269403
13,2012-09-28,2012Q3,8.1,1859971.202303816,15065766739
14,2012-12-28,2012Q4,9.6,1860041.4691943128,17856398104
15,2013-03-29,2013Q1,10.3,1859956.395348837,19157550872
16,2013-06-28,2013Q2,12.4,1859969.8859969885,23063626586
17,2013-09-30,2013Q3,11.5,1859943.437459828,21389349531
18,2013-12-31,2013Q4,17.0,1860012.9617628,31620220350
19,2014-03-31,2014Q1,19.5,1859987.1134020616,36269748711
20,2014-06-30,2014Q2,19.2,1859928.2686664488,35710622758
21,2014-09-30,2014Q3,20.2,1859984.7947288395,37571692854
22,2014-12-31,2014Q4,20.6,1860080.6176128988,38317660723
23,2015-03-31,2015Q1,19.0,1859974.1197303005,35339508275
24,2015-06-30,2015Q2,15.7,1859976.6627771296,29201633606
25,2015-09-30,2015Q3,15.5,1860012.476606363,28830193387
26,2015-12-31,2015Q4,13.5,1859960.430320267,25109465809
27,2016-03-31,2016Q1,12.9,1760031.1414540664,22704401725
28,2016-06-30,2016Q2,15.2,1859968.4044233807,28271519747
29,2016-09-30,2016Q3,15.0,1859937.4501747717,27899061753
30,2016-12-30,2016Q4,12.7,1760025.4614894972,22352323361
31,2017-03-31,2017Q1,14.0,1759956.4494871355,24639390293
32,2017-06-30,2017Q2,13.0,1760021.1901818824,22880275472
33,2017-09-29,2017Q3,14.3,1760009.1121362264,25168130304
34,2017-12-29,2017Q4,14.8,1759929.6413980934,26046958693
35,2018-03-30,2018Q1,12.6,1759973.1609125289,22175661827
36,2018-06-29,2018Q2,13.3,1760004.6465702504,23408061799
37,2018-09-28,2018Q3,9.0,1759968.76917071,15839718923
38,2018-12-28,2018Q4,18.7,1760033.0760749725,32912618523
39,2019-03-29,2019Q1,13.0,1759940.828402367,22879230769
40,2019-06-28,2019Q2,13.8,1760063.6174180105,24288877920
41,2019-09-30,2019Q3,18.0,1760019.1346869352,31680344424
42,2019-12-31,2019Q4,18.0,1760022.9693046566,31680413447
43,2020-03-31,2020Q1,18.1,1759970.707525913,31855469806
44,2020-06-30,2020Q2,15.9,1760010.6354692902,27984169104
45,2020-09-30,2020Q3,13.8,1759959.086993971,24287435401
46,2020-12-31,2020Q4,16.0,1760022.9095074455,28160366552
47,2021-03-31,2021Q1,15.2,1760028.987007609,26752440603
48,2021-06-30,2021Q2,38.7,1760015.807933607,68112611767
49,2021-09-30,2021Q3,48.0,1759974.9723251672,84478798672
50,2021-12-31,2021Q4,16.8,1760019.965061143,29568335413
51,2022-03-31,2022Q1,25.6,1759998.020194021,45055949317
52,2022-06-30,2022Q2,25.6,1759961.4550710672,45055013250
