,quarter,roa
0,2004Q1,4.12
1,2004Q2,3.69
2,2004Q3,1.84
3,2004Q4,2.29
4,2005Q1,1.69
5,2005Q2,3.19
6,2005Q3,1.07
7,2005Q4,3.05
8,2006Q1,1.56
9,2006Q2,2.29
10,2006Q3,2.0
11,2006Q4,2.41
12,2007Q1,4.69
13,2007Q2,4.26
14,2007Q3,4.72
15,2007Q4,13.32
16,2008Q1,2.07
17,2008Q2,0.89
18,2008Q3,1.14
19,2008Q4,-11.77
20,2009Q1,0.46
21,2009Q2,0.46
22,2009Q3,3.84
23,2009Q4,1.46
24,2010Q1,0.45
25,2010Q2,6.71
26,2010Q3,0.31
27,2010Q4,-0.14
28,2011Q1,0.11
29,2011Q2,-0.1
30,2011Q3,0.4
31,2011Q4,1.35
32,2012Q1,0.11
33,2012Q2,0.5
34,2012Q3,0.27
35,2012Q4,0.73
36,2013Q1,0.16
37,2013Q2,2.38
38,2013Q3,0.36
39,2013Q4,-0.15
40,2014Q1,0.16
41,2014Q2,0.01
42,2014Q3,1.72
43,2014Q4,0.22
44,2015Q1,1.4
45,2015Q2,1.39
46,2015Q3,0.45
47,2015Q4,0.11
48,2016Q1,0.49
49,2016Q2,0.99
50,2016Q3,0.35
51,2016Q4,-0.37
52,2017Q1,0.21
53,2017Q2,0.57
54,2017Q3,0.26
55,2017Q4,0.59
56,2018Q1,0.9
57,2018Q2,1.11
58,2018Q3,0.85
59,2018Q4,1.17
60,2019Q1,0.96
61,2019Q2,0.94
62,2019Q3,0.45
63,2019Q4,0.0
64,2020Q1,0.27
65,2020Q2,0.79
66,2020Q3,0.56
67,2020Q4,3.37
68,2021Q1,0.66
69,2021Q2,0.9
70,2021Q3,1.31
71,2021Q4,2.08
72,2022Q1,0.71
73,2022Q2,0.81
