,quarter,owner_equity,bvps,shares_est,shares_est_diff,shares_est_diff_perc
0,2006Q3,64069.0,11360.0,5639876.76056338,,
1,2006Q4,67928.0,12044.0,5639986.715376951,109.95481357071549,0.001949558024151598
2,2007Q1,71074.0,12602.0,5639898.428820822,-88.28655612841249,-0.0015653926616347104
3,2007Q2,78185.0,13863.0,5639832.648055976,-65.7807648461312,-0.0011663602264653282
4,2007Q3,264408.0,26441.0,9999924.359895617,4360091.7118396405,43.60124691868322
5,2007Q4,529508.0,39223.0,13499936.261887157,3500011.9019915406,25.926136494975374
6,2008Q1,527731.0,39091.0,13500063.953339644,127.69145248644054,0.0009458581302116887
7,2008Q2,531422.0,39365.0,13499860.281976376,-203.67136326804757,-0.0015086923791349798
8,2008Q3,536247.0,35467.0,15119604.139058843,1619743.8570824675,10.712872124066687
9,2008Q4,537447.0,35545.0,15120185.680123787,581.5410649441183,0.003846123832385088
10,2009Q1,540672.0,35758.0,15120308.74209967,123.06197588331997,0.0008138853378084598
11,2009Q2,535137.0,35393.0,15119854.208459299,-454.53364037163556,-0.003006203856895206
12,2009Q3,550352.0,36399.0,15119975.823511634,121.61505233496428,0.000804333642821388
13,2009Q4,573656.0,37941.0,15119685.8279961,-289.99551553465426,-0.0019179996121195136
14,2010Q1,571629.0,37807.0,15119660.380352845,-25.447643253952265,-0.00016830829935188265
15,2010Q2,631496.0,41249.0,15309365.075516982,189704.6951641366,1.2391414942969505
16,2010Q3,623042.0,37239.0,16730900.400118155,1421535.3246011734,8.49646636227142
17,2010Q4,663590.0,39662.0,16731128.031869296,227.63175114057958,0.0013605284156991014
18,2011Q1,694740.0,33420.0,20788150.80789946,4057022.776030164,19.516034944717173
19,2011Q2,725109.0,34881.0,20788079.470198676,-71.33770078420639,-0.00034316638478544645
20,2011Q3,715372.0,34412.0,20788445.890968267,366.42076959088445,0.0017626174246631844
21,2011Q4,724364.0,34845.0,20788176.20892524,-269.68204302713275,-0.0012972857277943743
22,2012Q1,690148.0,32954.0,20942768.707895856,154592.4989706166,0.7381664818383448
23,2012Q2,670234.0,16226.0,41306175.2742512,20363406.566355344,49.298697909339396
24,2012Q3,681818.0,16506.0,41307282.20041197,1106.9261607676744,0.0026797361186755462
25,2012Q4,770475.0,18653.0,41305688.09306814,-1594.1073438301682,-0.0038592925512786437
26,2013Q1,789480.0,18987.0,41580028.44051193,274340.34744378924,0.6597887440993092
27,2013Q2,942429.0,18271.0,51580592.19528214,10000563.754770212,19.388229815021244
28,2013Q3,953354.0,18483.0,51580046.52924309,-545.6660390496254,-0.0010579014091045117
29,2013Q4,977542.0,18844.0,51875504.139248565,295457.6100054756,0.5695513034675934
30,2014Q1,951926.0,18350.0,51876076.29427793,572.1550293639302,0.0011029265708498476
31,2014Q2,937142.0,18065.0,51876114.032659836,37.738381907343864,7.274712574574258e-05
32,2014Q3,939493.0,16580.0,56664234.016887814,4788119.984227978,8.449986251999736
33,2014Q4,997066.0,17380.0,57368584.57997698,704350.5630891696,1.227763536866142
34,2015Q1,1026029.0,17847.0,57490278.4781756,121693.89819861948,0.2116773503624909
35,2015Q2,1047677.0,18262.0,57369236.66630161,-121041.81187399477,-0.21098731464400694
36,2015Q3,1045859.0,14024.0,74576369.08157444,17207132.415272832,23.073169996317496
37,2015Q4,1072284.0,14191.0,75560848.42505814,984479.3434837013,1.302896095006286
38,2016Q1,1124122.0,14877.0,75561067.41950662,218.99444848299026,0.0002898244505562071
39,2016Q2,1294845.0,13710.0,94445295.404814,18884227.98530738,19.994884768336302
40,2016Q3,1452429.0,15378.0,94448497.85407725,3202.4492632448673,0.0033906831087908303
41,2016Q4,1837056.0,19451.0,94445324.14785872,-3173.7062185257673,-0.003360363519486869
42,2017Q1,1957495.0,20509.0,95445658.00380321,1000333.8559444845,1.048066383391295
43,2017Q2,2022313.0,21188.0,95446148.76345101,490.75964780151844,0.0005141743843617962
44,2017Q3,2235846.0,17352.0,128852351.31396957,33406202.550518557,25.925954947549965
45,2017Q4,2467729.0,19004.0,129853136.18185645,1000784.867886886,0.7707051961265755
46,2018Q1,2587701.0,19928.0,129852519.06864713,-617.1132093220949,-0.00047524161544825724
47,2018Q2,2619465.0,13449.0,194770243.14075395,64917724.07210682,33.33041178430575
48,2018Q3,2808223.0,14418.0,194772021.08475515,1777.944001197815,0.0009128333686203018
49,2018Q4,2929391.0,14940.0,196077041.49933067,1305020.4145755172,0.6655651291943693
50,2019Q1,3023863.0,15422.0,196074633.64025417,-2407.859076499939,-0.0012280319140709106
51,2019Q2,3568411.0,15456.0,230875452.89855072,34800819.25829655,15.073416780080306
52,2019Q3,3632567.0,15734.0,230873712.97826365,-1739.9202870726585,-0.0007536242496504871
53,2019Q4,3961497.0,17159.0,230869922.48965558,-3790.4886080622673,-0.0016418286830897624
54,2020Q1,3963283.0,17166.0,230879820.57555634,9898.085900753736,0.004287116074535647
55,2020Q2,3891983.0,16858.0,230868608.37584528,-11212.199711054564,-0.004856528477358658
56,2020Q3,4189698.0,18147.0,230875516.6143164,6908.238471120596,0.002992191884365543
57,2020Q4,4076624.0,17657.0,230878631.70414,3115.08982360363,0.0013492326252156023
58,2021Q1,4153775.0,17991.0,230880718.1368462,2086.432706207037,0.0009036842587133583
59,2021Q2,4212838.0,18247.0,230878390.96837837,-2327.168467849493,-0.0010079628752126168
60,2021Q3,4209970.0,18235.0,230873046.3394571,-5344.6289212703705,-0.002314964438686385
61,2021Q4,4226157.0,17434.0,242408913.61707008,11535867.277612984,4.758846160185359
62,2022Q1,4085311.0,16630.0,245659110.0420926,3250196.4250225127,1.3230514530747939
63,2022Q2,3823219.0,15563.0,245660798.0466491,1688.0045565068722,0.0006871281742666704
