,quarter,roa
0,2007Q4,2.36
1,2008Q1,3.71
2,2008Q2,4.31
3,2008Q3,3.2
4,2008Q4,3.87
5,2009Q1,3.1
6,2009Q2,3.6
7,2009Q3,4.91
8,2009Q4,4.9
9,2010Q1,3.38
10,2010Q2,4.43
11,2010Q3,3.17
12,2010Q4,1.94
13,2011Q1,2.15
14,2011Q2,3.68
15,2011Q3,5.35
16,2011Q4,3.36
17,2012Q1,1.83
18,2012Q2,3.69
19,2012Q3,4.94
20,2012Q4,2.74
21,2013Q1,0.07
22,2013Q2,1.08
23,2013Q3,0.92
24,2013Q4,0.89
25,2014Q1,0.06
26,2014Q2,3.41
27,2014Q3,4.77
28,2014Q4,2.67
29,2015Q1,3.59
30,2015Q2,5.02
31,2015Q3,5.13
32,2015Q4,0.13
33,2016Q1,4.06
34,2016Q2,5.06
35,2016Q3,3.87
36,2016Q4,2.25
37,2017Q1,4.31
38,2017Q2,5.18
39,2017Q3,2.51
40,2017Q4,0.38
41,2018Q1,2.34
42,2018Q2,3.29
43,2018Q3,3.83
44,2018Q4,0.53
45,2019Q1,0.93
46,2019Q2,2.29
47,2019Q3,1.94
48,2019Q4,1.01
49,2020Q1,0.2
50,2020Q2,0.3
51,2020Q3,-0.71
52,2020Q4,0.26
53,2021Q1,0.33
54,2021Q2,1.43
55,2021Q3,0.3
56,2021Q4,-0.38
57,2022Q1,0.52
58,2022Q2,2.13
