,date,quarter,price,shares_est,market_cap
0,2007-12-28,2007Q4,53.0,1622786.5398849854,86007686614
1,2008-03-31,2008Q1,18.1,1622832.786129831,29373273429
2,2008-06-30,2008Q2,13.0,1622839.239412273,21096910112
3,2008-09-30,2008Q3,19.0,1622798.459563543,30833170732
4,2008-12-31,2008Q4,12.5,1622795.1915515112,20284939894
5,2009-03-31,2009Q1,12.4,1622812.3784654704,20122873493
6,2009-06-30,2009Q2,16.5,1622755.7411273487,26775469729
7,2009-09-30,2009Q3,25.1,1622793.479309347,40732116331
8,2009-12-31,2009Q4,28.0,1622818.22051937,45438910175
9,2010-03-31,2010Q1,25.5,1947306.098283008,49656305506
10,2010-06-30,2010Q2,39.3,1947394.6398326196,76532609345
11,2010-09-30,2010Q3,42.5,1947368.421052632,82763157895
12,2010-12-31,2010Q4,38.5,1947363.500373972,74973494764
13,2011-03-31,2011Q1,31.3,2823624.80539699,88379456409
14,2011-06-30,2011Q2,34.2,2823561.411992263,96565800290
15,2011-09-30,2011Q3,15.8,3670602.375565611,57995517534
16,2011-12-30,2011Q4,6.7,3670578.874079968,24592878456
17,2012-03-30,2012Q1,9.7,3670413.976452716,35603015572
18,2012-06-29,2012Q2,12.3,3670422.313268201,45146194453
19,2012-09-28,2012Q3,9.5,3670506.083075373,34869807789
20,2012-12-28,2012Q4,11.0,3670623.8546729344,40376862401
21,2013-03-29,2013Q1,12.4,3670551.358302524,45514836843
22,2013-06-28,2013Q2,12.0,3670621.372482076,44047456470
23,2013-09-30,2013Q3,10.0,3670639.7470201897,36706397470
24,2013-12-31,2013Q4,8.7,3670665.666916604,31934791302
25,2014-03-31,2014Q1,11.1,3670563.498738436,40743254836
26,2014-06-30,2014Q2,11.2,3670443.349753695,41108965517
27,2014-09-30,2014Q3,10.1,3670380.617662454,37070844238
28,2014-12-31,2014Q4,11.4,3670402.156181289,41842584580
29,2015-03-31,2015Q1,15.0,3670571.1071404936,55058566607
30,2015-06-30,2015Q2,18.6,3670657.204566492,68274224005
31,2015-09-30,2015Q3,29.4,3670452.015141394,107911289245
32,2015-12-31,2015Q4,28.9,3670435.3800986954,106075582485
33,2016-03-31,2016Q1,25.5,3670609.17494402,93600533961
34,2016-06-30,2016Q2,32.0,3670462.856545816,117454811409
35,2016-09-30,2016Q3,32.7,4404631.979695432,144031465736
36,2016-12-30,2016Q4,30.5,4404578.3132530125,134339638554
37,2017-03-31,2017Q1,32.0,4404645.274918818,140948648797
38,2017-06-30,2017Q2,24.3,4404501.737247596,107029392215
39,2017-09-29,2017Q3,27.4,6518492.2771716025,178606688395
40,2017-12-29,2017Q4,17.6,6518643.590825946,114728127199
41,2018-03-30,2018Q1,16.9,6518478.554086863,110162287564
42,2018-06-29,2018Q2,16.4,6518397.225968022,106901714506
43,2018-09-28,2018Q3,13.7,6518737.789355278,89306707714
44,2018-12-28,2018Q4,14.5,6518329.070758739,94515771526
45,2019-03-29,2019Q1,14.2,6518575.205231668,92563767914
46,2019-06-28,2019Q2,15.7,6518570.756934649,102341560884
47,2019-09-30,2019Q3,12.5,6518605.931870034,81482574148
48,2019-12-31,2019Q4,11.1,6518529.909272644,72355681993
49,2020-03-31,2020Q1,9.5,6518762.444478481,61928243223
50,2020-06-30,2020Q2,11.5,6518640.687327401,74964367904
51,2020-09-30,2020Q3,13.5,6518763.1108693965,88003301997
52,2020-12-31,2020Q4,10.4,6518360.685465591,67790951129
53,2021-03-31,2021Q1,10.6,6518611.987381703,69097287066
54,2021-06-30,2021Q2,10.4,6518291.078164752,67790227213
55,2021-09-30,2021Q3,11.6,6518415.081165997,75613614942
56,2021-12-31,2021Q4,12.2,6518320.00702926,79523504086
57,2022-03-31,2022Q1,12.0,6518486.298390605,78221835581
58,2022-06-30,2022Q2,11.1,6518394.648829431,72354180602
