,date,quarter,price,shares_est,market_cap
0,2010-03-31,2010Q1,139.0,13500061.675095595,1876508572838
1,2010-06-30,2010Q2,98.5,20250051.248411298,1994630047969
2,2010-09-30,2010Q3,85.5,24198566.662547883,2068977449648
3,2010-12-31,2010Q4,75.0,20249859.518064324,1518739463855
4,2011-03-31,2011Q1,70.5,20250059.40862953,1427629188308
5,2011-06-30,2011Q2,27.5,40500984.18516256,1113777065092
6,2011-09-30,2011Q3,18.2,40500000.0,737100000000
7,2011-12-30,2011Q4,10.4,40500678.50277055,421207056429
8,2012-03-30,2012Q1,15.0,40500425.22172275,607506378326
9,2012-06-29,2012Q2,18.4,40500567.265778944,745210437690
10,2012-09-28,2012Q3,11.3,50624140.22631462,572052784557
11,2012-12-28,2012Q4,12.7,50624600.747536525,642932429494
12,2013-03-29,2013Q1,12.1,50623700.46118971,612546775580
13,2013-06-28,2013Q2,10.2,55686019.156444296,567997395396
14,2013-09-30,2013Q3,9.8,55687352.29092018,545736052451
15,2013-12-31,2013Q4,15.0,55686422.99667723,835296344950
16,2014-03-31,2014Q1,27.0,55687884.07556331,1503572870040
17,2014-06-30,2014Q2,27.4,55689244.85125858,1525885308924
18,2014-09-30,2014Q3,28.0,65154052.46835974,1824313469114
19,2014-12-31,2014Q4,33.5,65152049.023362696,2182593642283
20,2015-03-31,2015Q1,27.5,65153949.5209161,1791733611825
21,2015-06-30,2015Q2,29.5,65154766.4782394,1922065611108
22,2015-09-30,2015Q3,25.8,65153940.57177927,1680971666752
23,2015-12-31,2015Q4,28.4,68411080.50198959,1942874686257
24,2016-03-31,2016Q1,24.0,69064117.4606528,1657538819056
25,2016-06-30,2016Q2,26.3,69062046.31870031,1816331818182
26,2016-09-30,2016Q3,23.75,75969101.3982595,1804266158209
27,2016-12-30,2016Q4,23.85,75952059.38911498,1811456616430
28,2017-03-31,2017Q1,28.45,75951261.53846154,2160813390769
29,2017-06-30,2017Q2,30.0,75950470.57292797,2278514117188
30,2017-09-29,2017Q3,34.3,75951361.6265135,2605131703789
31,2017-12-29,2017Q4,34.3,75951851.04371227,2605148490799
32,2018-03-30,2018Q1,49.0,75951043.5168739,3721601132327
33,2018-06-29,2018Q2,34.5,75936686.72170141,2619815691899
34,2018-09-28,2018Q3,38.7,75935147.65489288,2938690214244
35,2018-12-28,2018Q4,34.5,94918717.69850735,3274695760599
36,2019-03-29,2019Q1,41.2,94918725.86872588,3910651505792
37,2019-06-28,2019Q2,33.35,94920220.55387685,3165589355472
38,2019-09-30,2019Q3,35.0,118649377.89884414,4152728226460
39,2019-12-31,2019Q4,30.0,118648625.49355584,3559458764807
40,2020-03-31,2020Q1,16.4,118646973.3153359,1945810362372
41,2020-06-30,2020Q2,19.25,118681463.89966965,2284618180069
42,2020-09-30,2020Q3,24.9,154241680.77816722,3840617851376
43,2020-12-31,2020Q4,39.1,154275987.25642735,6032191101726
44,2021-03-31,2021Q1,43.2,154272959.18367347,6664591836735
45,2021-06-30,2021Q2,43.7,154272959.18367347,6741728316327
46,2021-09-30,2021Q3,58.0,163633743.73316053,9490757136523
47,2021-12-31,2021Q4,66.5,196357320.0992556,13057761786600
48,2022-03-31,2022Q1,70.0,203836775.53062245,14268574287144
49,2022-06-30,2022Q2,56.5,203841535.56541616,11517046759446
