,date,quarter,price,shares_est,market_cap
0,2007-12-28,2007Q4,60.5,1000000.0,60500000000
1,2008-03-31,2008Q1,19.7,1000000.0,19700000000
2,2008-06-30,2008Q2,13.9,1000000.0,13900000000
3,2008-09-30,2008Q3,17.7,1240290.1104860029,21953134956
4,2008-12-31,2008Q4,12.8,1000000.0,12800000000
5,2009-03-31,2009Q1,14.6,1000000.0,14600000000
6,2009-06-30,2009Q2,15.0,1000000.0,15000000000
7,2009-09-30,2009Q3,15.0,1000000.0,15000000000
8,2009-12-31,2009Q4,14.6,1000000.0,14600000000
9,2010-03-31,2010Q1,15.7,1000000.0,15700000000
10,2010-06-30,2010Q2,16.8,1000000.0,16800000000
11,2010-09-30,2010Q3,15.2,1000000.0,15200000000
12,2010-12-31,2010Q4,11.9,1000000.0,11900000000
13,2011-03-31,2011Q1,10.8,1000000.0,10800000000
14,2011-06-30,2011Q2,9.0,1000000.0,9000000000
15,2011-09-30,2011Q3,8.2,1000000.0,8200000000
16,2011-12-30,2011Q4,7.8,1000000.0,7800000000
17,2012-03-30,2012Q1,10.1,1000000.0,10100000000
18,2012-06-29,2012Q2,11.0,1000000.0,11000000000
19,2012-09-28,2012Q3,9.9,1000000.0,9900000000
20,2012-12-28,2012Q4,12.5,1000000.0,12500000000
21,2013-03-29,2013Q1,14.0,1000000.0,14000000000
22,2013-06-28,2013Q2,10.8,1000000.0,10800000000
23,2013-09-17,2013Q3,11.7,1000000.0,11700000000
24,2013-12-31,2013Q4,12.5,1000000.0,12500000000
25,2014-03-31,2014Q1,15.5,1000000.0,15500000000
26,2014-06-30,2014Q2,13.1,1000000.0,13100000000
27,2014-09-30,2014Q3,13.7,1000000.0,13700000000
28,2014-12-31,2014Q4,13.5,1000000.0,13500000000
29,2015-03-31,2015Q1,12.3,1000000.0,12300000000
30,2015-06-30,2015Q2,11.5,1000000.0,11500000000
31,2015-09-30,2015Q3,12.7,1000000.0,12700000000
32,2015-12-31,2015Q4,12.5,1000000.0,12500000000
33,2016-03-31,2016Q1,11.8,1000000.0,11800000000
34,2016-06-30,2016Q2,11.7,1000000.0,11700000000
35,2016-09-30,2016Q3,12.6,1000000.0,12600000000
36,2016-12-30,2016Q4,14.5,1000000.0,14500000000
37,2017-03-31,2017Q1,12.3,1000000.0,12300000000
38,2017-06-30,2017Q2,12.2,1000000.0,12200000000
39,2017-09-29,2017Q3,12.0,1000000.0,12000000000
40,2017-12-29,2017Q4,12.9,1000000.0,12900000000
41,2018-03-30,2018Q1,11.5,1000000.0,11500000000
42,2018-06-29,2018Q2,11.9,1000000.0,11900000000
43,2018-09-28,2018Q3,12.2,1000000.0,12200000000
44,2018-12-28,2018Q4,11.6,1000000.0,11600000000
45,2019-03-29,2019Q1,13.3,1000000.0,13300000000
46,2019-06-28,2019Q2,11.3,1000000.0,11300000000
47,2019-09-30,2019Q3,13.2,1000000.0,13200000000
48,2019-12-31,2019Q4,11.9,1000000.0,11900000000
49,2020-03-31,2020Q1,13.9,1000000.0,13900000000
50,2020-06-30,2020Q2,11.5,1000000.0,11500000000
51,2020-09-30,2020Q3,12.9,1000000.0,12900000000
52,2020-12-31,2020Q4,14.1,1000000.0,14100000000
53,2021-03-31,2021Q1,14.0,1000000.0,14000000000
54,2021-06-30,2021Q2,13.8,1000000.0,13800000000
55,2021-09-30,2021Q3,15.1,1000000.0,15100000000
56,2021-12-31,2021Q4,28.4,1000000.0,28400000000
57,2022-03-31,2022Q1,43.0,1000000.0,43000000000
58,2022-06-30,2022Q2,45.8,1000000.0,45800000000
