,quarter,owner_equity,bvps,shares_est,shares_est_diff,shares_est_diff_perc,lev
0,2007Q1,1201812.0,10926.0,109995606.80944537,,,0.5197647586091126
1,2007Q2,2680670.0,20665.0,129720300.02419549,19724693.214750126,15.20555627073871,0.2607963096613522
2,2007Q3,3047441.0,23087.0,131998137.47996709,2277837.4557715952,1.7256587852364924,0.18628297408281952
3,2007Q4,3133143.0,23736.0,131999620.82912032,1483.3491532355547,0.0011237525864985776,0.3140164054475836
4,2008Q1,3581890.0,27136.0,131997715.21226415,-1905.6168561726809,-0.0014436741220166412,0.34066804845459914
5,2008Q2,4514528.0,32187.0,140259359.3686892,8261644.156425059,5.890262292378149,0.2524784087661276
6,2008Q3,4543744.0,23139.0,196367345.1748131,56107985.80612388,28.57297161917354,0.1798097502824907
7,2008Q4,4063416.0,20693.0,196366694.0511284,-651.1236847043037,-0.0003315856020546791,0.23468323753393494
8,2009Q1,4359232.0,22200.0,196361801.8018018,-4892.249326586723,-0.0024914465449470285,0.23240443223196416
9,2009Q2,4510549.0,22970.0,196366956.90030473,5155.098502933979,0.002625237251882055,0.3811983941396505
10,2009Q3,4865825.0,24780.0,196360976.59402743,-5980.306277304888,-0.0030455675975115245,0.394008437082919
11,2009Q4,4833170.0,24613.0,196366554.25994393,5577.665916502476,0.002840435805131527,0.5049143069901016
12,2010Q1,5096386.0,25954.0,196362256.299607,-4297.960336923599,-0.002188791480561227,0.5026346838153453
13,2010Q2,5478655.0,18600.0,294551344.0860215,98189087.78641447,33.335134861153136,0.5648350671086342
14,2010Q3,5819093.0,19756.0,294548137.27475196,-3206.8112695217133,-0.001088722305016795,0.5755175017883268
15,2010Q4,6403584.0,20147.0,317843053.5563607,23294916.28160876,7.329062573795733,0.5482288629331203
16,2011Q1,6876002.0,21633.0,317847825.08205056,4771.525689840317,0.0015011981562587616,0.5680079809685976
17,2011Q2,7184985.0,22605.0,317849369.6084937,1544.5264431238174,0.0004859303150502596,0.5612961786919045
18,2011Q3,7299169.0,22964.0,317852682.4595018,3312.851008117199,0.0010422598867131773,0.5471759799463368
19,2011Q4,7409645.0,23312.0,317846817.0899108,-5865.369590997696,-0.0018453447622030243,0.5438233572505596
20,2012Q1,7608571.0,21788.0,349209243.6203415,31362426.530430675,8.98098406711357,0.5160627669098152
21,2012Q2,8005760.0,22925.0,349215267.1755725,6023.555231034756,0.0017248831300397686,0.5333464133495186
22,2012Q3,8293950.0,23751.0,349204244.03183025,-11023.143742263317,-0.003156646555893103,0.4993446670998306
23,2012Q4,8085165.0,19294.0,419050741.1630559,69846497.13122565,16.66778990471892,0.5475161450688649
24,2013Q1,8516719.0,20324.0,419047382.40503836,-3358.758017539978,-0.0008015222522720606,0.5293862074302275
25,2013Q2,9028296.0,21545.0,419043676.0269204,-3706.378117978573,-0.0008844849188800229,0.5478821584118021
26,2013Q3,9105589.0,21729.0,419052372.405541,8696.378620624542,0.0020752486307865498,0.5715211207009067
27,2013Q4,9497763.0,22665.0,419049768.365321,-2604.0402200222015,-0.0006214155015955146,0.5825828569462641
28,2014Q1,10309475.0,24602.0,419050280.46500283,512.099681854248,0.00012220482976076097,0.5194679422271464
29,2014Q2,10698029.0,22199.0,481914906.0768503,62864625.61184746,13.044756412208283,0.4721731197618677
30,2014Q3,11475158.0,23812.0,481906517.7221569,-8388.35469341278,-0.0017406601456776904,0.44798781599255116
31,2014Q4,11796575.0,24479.0,481905919.35945094,-598.3627059459686,-0.00012416587593306843,0.4583145646338827
32,2015Q1,12359127.0,25293.0,488638239.82920176,6732320.469750822,1.3777719222515274,0.43024696656740385
33,2015Q2,13109319.0,17886.0,732937437.1016438,244299197.27244204,33.331521205753695,0.42344570466842546
34,2015Q3,14064344.0,19189.0,732937828.9645109,391.8628671169281,5.346468030863532e-05,0.4282069926074792
35,2015Q4,14467087.0,19738.0,732956074.5769582,18245.61244726181,0.0024893186754462292,0.4328710909498903
36,2016Q1,15451654.0,21081.0,732965893.4585646,9818.881606459618,0.0013396096181403957,0.39294913362117634
37,2016Q2,17525751.0,23911.0,732957676.3832545,-8217.075310111046,-0.0011210845557492243,0.3667383308563991
38,2016Q3,18067614.0,21436.0,842863127.4491509,109905451.06589639,13.039537202026539,0.3653485330584378
39,2016Q4,19853956.0,23558.0,842769165.4639612,-93961.98518967628,-0.011149195893747292,0.4024672313193559
