quarter,quarter,change_perc_mean,change_perc_stdv
2010Q2,2010Q2,0.392051282051282,4.829704240420164
2010Q3,2010Q3,-0.2762500000000001,3.014866076680266
2010Q4,2010Q4,-0.08681818181818181,3.9242034602200224
2011Q1,2011Q1,-1.2928070175438593,3.6988988488786205
2011Q2,2011Q2,-0.6021311475409836,3.783452177907587
2011Q3,2011Q3,0.1832307692307692,2.7698889348741873
2011Q4,2011Q4,-0.09046153846153834,3.0231897635037477
2012Q1,2012Q1,0.423050847457627,2.252741053914242
2012Q2,2012Q2,0.2653225806451614,2.6182541534901915
2012Q3,2012Q3,0.0875,3.1076163477944574
2012Q4,2012Q4,0.14523076923076922,3.052381809593692
2013Q1,2013Q1,0.2736206896551724,2.4255935777612683
2013Q2,2013Q2,0.23557377049180322,1.24195078349904
2013Q3,2013Q3,-0.15657142857142856,1.2919864843063382
2013Q4,2013Q4,0.28896551724137925,3.3369797720079277
2014Q1,2014Q1,0.35089285714285695,2.671895668067703
2014Q2,2014Q2,0.07262295081967211,2.8422695753214215
2014Q3,2014Q3,0.5509375,2.7452815039107166
2014Q4,2014Q4,0.17333333333333326,3.5922777575209137
2015Q1,2015Q1,0.23910714285714282,2.66453426036809
2015Q2,2015Q2,-0.2809836065573771,3.310256639052845
2015Q3,2015Q3,0.4401538461538462,2.599509263969171
2015Q4,2015Q4,0.016060606060606095,2.6849488628780986
2016Q1,2016Q1,0.03440677966101689,1.1234664201455347
2016Q2,2016Q2,0.9125806451612903,3.4775278271311802
2016Q3,2016Q3,-0.018307692307692233,2.772906062030619
2016Q4,2016Q4,-0.032153846153846165,2.6062218177778993
2017Q1,2017Q1,0.2159322033898305,2.198380374545415
2017Q2,2017Q2,-0.09516129032258067,1.8935964064731807
2017Q3,2017Q3,0.07640624999999998,1.4333736065078546
2017Q4,2017Q4,-0.11246153846153842,2.5991068362331404
2018Q1,2018Q1,0.003220338983050858,1.7674913458091466
2018Q2,2018Q2,0.11370967741935485,2.3762259882254315
2018Q3,2018Q3,-0.17453125000000003,2.126411336879841
2018Q4,2018Q4,-0.048461538461538466,0.633566863996095
2019Q1,2019Q1,0.4129310344827586,2.3623872913767885
2019Q2,2019Q2,-0.00459016393442625,2.6613508936694106
2019Q3,2019Q3,0.07246153846153845,1.7309589383211395
2019Q4,2019Q4,-0.14893939393939395,2.669303642287991
2020Q1,2020Q1,-0.062033898305084746,2.5899266263478546
2020Q2,2020Q2,0.053548387096774175,2.8772574013038894
2020Q3,2020Q3,0.3441538461538462,3.1631792216789636
2020Q4,2020Q4,0.08984848484848484,2.135920981269775
2021Q1,2021Q1,0.1810344827586207,2.677360371745572
2021Q2,2021Q2,0.04451612903225802,2.673915087129397
2021Q3,2021Q3,0.06875000000000003,2.1749055808734057
2021Q4,2021Q4,0.06833333333333329,2.0556934696169176
2022Q1,2022Q1,0.4577586206896551,3.0264848715227304
2022Q2,2022Q2,-0.06868852459016397,3.541935664487163
2022Q3,2022Q3,-0.10015625000000003,4.03182557106776
