,quarter,roa
0,2009Q1,1.5
1,2009Q2,0.0
2,2009Q3,4.99
3,2009Q4,1.86
4,2010Q1,3.05
5,2010Q2,1.52
6,2010Q3,2.04
7,2010Q4,4.96
8,2011Q1,0.88
9,2011Q2,0.73
10,2011Q3,1.74
11,2011Q4,4.29
12,2012Q1,1.22
13,2012Q2,1.3
14,2012Q3,1.39
15,2012Q4,0.32
16,2013Q1,0.35
17,2013Q2,0.31
18,2013Q3,0.3
19,2013Q4,2.52
20,2014Q1,0.39
21,2014Q2,0.26
22,2014Q3,0.35
23,2014Q4,2.89
24,2015Q1,0.5
25,2015Q2,0.36
26,2015Q3,0.35
27,2015Q4,0.57
28,2016Q1,0.24
29,2016Q2,0.13
30,2016Q3,0.81
31,2016Q4,0.5
32,2017Q1,0.19
33,2017Q2,1.2
34,2017Q3,0.42
35,2017Q4,0.56
36,2018Q1,0.67
37,2018Q2,0.93
38,2018Q3,0.88
39,2018Q4,0.42
40,2019Q1,0.85
41,2019Q2,1.42
42,2019Q3,0.8
43,2019Q4,0.45
44,2020Q1,1.64
45,2020Q2,0.61
46,2020Q3,0.98
47,2020Q4,2.21
48,2021Q1,4.41
49,2021Q2,2.63
50,2021Q3,1.23
51,2021Q4,0.99
52,2022Q1,2.57
53,2022Q2,2.89
