,date,quarter,price,shares_est,lev,market_cap
0,2007-12-28,2007Q4,194.9,88000649.1135543,0.2802946071465632,17151326512232
1,2008-03-31,2008Q1,176.0,87998625.06206317,0.3716738404742432,15487758010923
2,2008-06-30,2008Q2,103.0,90720850.04807214,0.3682886761208324,9344247554951
3,2008-09-30,2008Q3,78.4,134085127.9219584,0.3871763179223665,10512274029082
4,2008-12-31,2008Q4,59.9,134085127.9219584,0.3871763179223665,8031699162525
5,2009-03-31,2009Q1,40.7,134079802.75737144,0.4117097206993799,5457047972225
6,2009-06-30,2009Q2,30.9,199120140.370192,0.4904272246109735,6152812337439
7,2009-09-30,2009Q3,50.5,134085709.13027789,0.5378714243637849,6771328311079
8,2009-12-31,2009Q4,58.0,199126747.72036475,0.6243061531384912,11549351367781
9,2010-03-31,2010Q1,58.0,199122811.9389587,0.6127143309316612,11549123092460
10,2010-06-30,2010Q2,36.4,193170377.5411423,0.5819288253694714,7031401742498
11,2010-09-30,2010Q3,32.0,295717834.76613724,0.578133439362119,9462970712516
12,2010-12-31,2010Q4,34.0,295705547.3670106,0.5408999643401203,10053988610478
13,2011-03-31,2011Q1,27.8,295709306.98357594,0.5424241328472692,8220718734143
14,2011-06-30,2011Q2,16.7,295718884.9892009,0.5389580707417277,4938505379320
15,2011-09-30,2011Q3,15.8,295703111.23161393,0.5378433276771667,4672109157460
16,2011-12-30,2011Q4,10.1,295716121.260791,0.5544917181962011,2986732824734
17,2012-03-30,2012Q1,13.5,295718708.2999733,0.5389954810975115,3992202562050
18,2012-06-29,2012Q2,11.0,295719835.2779684,0.5523898319166793,3252918188058
19,2012-09-28,2012Q3,5.8,295706161.13744074,0.5697672585666425,1715095734597
20,2012-12-28,2012Q4,5.9,295716496.763152,0.5841053392817862,1744727330903
21,2013-03-29,2013Q1,8.0,295705417.0119792,0.5940109771269163,2365643336096
22,2013-06-28,2013Q2,7.4,295706357.5958925,0.5988278347088731,2188227046210
23,2013-09-30,2013Q3,8.5,295708150.87961894,0.6045247925865526,2513519282477
24,2013-12-31,2013Q4,9.8,295706049.9780798,0.6076970810234458,2897919289785
25,2014-03-31,2014Q1,13.0,295718308.83423084,0.6044965849400382,3844338014845
26,2014-06-30,2014Q2,11.2,395710544.71986943,0.5235696554945632,4431958100863
27,2014-09-30,2014Q3,15.0,395721927.1623672,0.5006808382957334,5935828907436
28,2014-12-31,2014Q4,15.9,395722455.2881431,0.521897838623343,6291987039081
29,2015-03-31,2015Q1,16.0,475714858.1804521,0.4376875865841177,7611437730887
30,2015-06-30,2015Q2,15.5,475701145.1562984,0.4379686061682128,7373367749923
31,2015-09-30,2015Q3,12.6,475709872.3975823,0.4203525740619437,5993944392210
32,2015-12-31,2015Q4,13.1,475705149.4035668,0.4108882246687074,6231737457187
33,2016-03-31,2016Q1,12.7,475700917.1096442,0.4089640800287229,6041401647292
34,2016-06-30,2016Q2,15.5,475721969.0576653,0.4253423615984569,7373690520394
35,2016-09-30,2016Q3,19.0,475717329.2334724,0.4097730323096227,9038629255436
36,2016-12-30,2016Q4,13.85,469765500.7082925,0.4117653921098013,6506252184810
37,2017-03-31,2017Q1,15.0,469749212.7875327,0.3935029774389586,7046238191813
38,2017-06-30,2017Q2,16.85,469747784.3426883,0.3801382102045087,7915250166174
39,2017-09-29,2017Q3,14.6,469766376.45107794,0.4031726500602303,6858589096186
40,2017-12-29,2017Q4,13.4,469756081.0810811,0.4272344181215317,6294731486486
41,2018-03-30,2018Q1,13.35,469750025.3421186,0.4246940095254808,6271162838317
42,2018-06-29,2018Q2,11.95,469763029.3569666,0.4229004322128182,5613668200816
43,2018-09-28,2018Q3,12.7,469756641.2963418,0.4210267861994451,5965909344464
44,2018-12-28,2018Q4,13.15,469760408.7089381,0.4203317990999586,6177349374523
45,2019-03-29,2019Q1,14.7,469761353.43320256,0.4009178763633741,6905491895468
46,2019-06-28,2019Q2,14.2,469759782.1152973,0.381266711436951,6670588906037
47,2019-09-30,2019Q3,15.0,469766159.3472082,0.4175360350877616,7046492390208
48,2019-12-31,2019Q4,15.45,469754737.3632804,0.3685103140065205,7257710692263
49,2020-03-31,2020Q1,11.1,469766940.2215346,0.4304285878878425,5214413036459
50,2020-06-30,2020Q2,13.85,475707645.5650281,0.4237562409024519,6588550891076
51,2020-09-30,2020Q3,14.2,469761012.5213945,0.4612954618643344,6670606377804
52,2020-12-31,2020Q4,24.4,469755545.735749,0.5489940452767544,11462035315952
53,2021-03-31,2021Q1,38.15,469752221.1661639,0.5503243410515791,17921047237489
54,2021-06-30,2021Q2,38.4,469763389.1992551,0.5451819980803904,18038914145251
55,2021-09-30,2021Q3,43.5,469767239.7855426,0.4951653901727929,20434874930671
56,2021-12-31,2021Q4,60.8,569761141.4479479,0.4715696169537842,34641477400035
57,2022-03-31,2022Q1,53.1,575705814.739689,0.4632289918983,30569978762677
58,2022-06-30,2022Q2,32.7,767608473.1643461,0.4270115853700912,25100797072474
