,quarter,owner_equity,bvps,shares_est,shares_est_diff,shares_est_diff_perc
0,2009Q4,52902.0,17657.0,2996092.201393215,,
1,2010Q2,49539.0,16535.0,2996008.4668884184,-83.73450479656458,-0.0027948687636229945
2,2010Q3,52138.0,17402.0,2996092.403172049,83.9362836307846,0.002801525198018554
3,2010Q4,56320.0,18798.0,2996063.4110011705,-28.99217087868601,-0.0009676754761675063
4,2011Q1,57157.0,19078.0,2995963.937519656,-99.47348151449114,-0.0033202496288004305
5,2011Q2,51262.0,17110.0,2996025.7159555815,61.77843592548743,0.0020620128724690608
6,2011Q3,46546.0,15536.0,2996009.2687950567,-16.447160524781793,-0.0005489689466613885
7,2011Q4,59722.0,17381.0,3436050.86013463,440041.59133957326,12.806608785829548
8,2012Q1,47991.0,16018.0,2996066.9247097014,-439983.93542492855,-14.685384087925872
9,2012Q2,48603.0,16223.0,2995931.7019047034,-135.22280499804765,-0.004513547652373983
10,2012Q3,48925.0,16330.0,2996019.595835885,87.89393118163571,0.0029336901301913357
11,2012Q4,54984.0,18353.0,2995913.474636299,-106.12119958596304,-0.003542198414086243
12,2013Q1,54567.0,18213.0,2996046.77977269,133.3051363909617,0.004449367656438113
13,2013Q2,51590.0,17220.0,2995934.9593495936,-111.82042309641838,-0.00373240489575562
14,2013Q3,49665.0,16577.0,2996018.5799601856,83.62061059195548,0.0027910578108987136
15,2013Q4,55893.0,18656.0,2995979.845626072,-38.73433411354199,-0.0012928769921497136
16,2014Q1,51159.0,17076.0,2995959.241040056,-20.604586015921086,-0.0006877458722959176
17,2014Q2,52535.0,17535.0,2996007.984031936,48.742991880048066,0.0016269313079216577
18,2014Q3,55215.0,18187.0,3035959.7514708308,39951.7674388946,1.3159518145633906
19,2014Q4,54859.0,18311.0,2995958.7133417074,-40001.03812912339,-1.3351665345383226
20,2015Q1,55675.0,18583.0,2996017.8657913147,59.15244960738346,0.0019743690544301875
21,2015Q2,50662.0,16910.0,2995978.710821999,-39.154969315975904,-0.001306917474898647
22,2015Q3,52402.0,17490.0,2996112.0640365924,133.3532145936042,0.004450875392622682
23,2015Q4,55821.0,18632.0,2995974.6672391584,-137.39679743396118,-0.004586046702476782
24,2016Q1,52462.0,21018.0,2496051.003901418,-499923.6633377406,-20.02858365299194
25,2016Q2,53700.0,17924.0,2995983.0395001117,499932.0355986939,16.68674451782307
26,2016Q3,56211.0,14074.0,3993960.4945289185,997977.4550288068,24.987163903996418
27,2016Q4,52944.0,17671.0,2996095.297379888,-997865.1971490304,-33.30552262545428
28,2017Q1,61312.0,20465.0,2995944.2951380406,-151.00224184757099,-0.005040221945802682
29,2017Q2,56995.0,19024.0,2995952.481076535,8.18593849427998,0.0002732332553999164
30,2017Q3,60301.0,20127.0,2996025.239727729,72.75865119416267,0.0024285059494617203
31,2017Q4,61213.0,20432.0,2995937.744714174,-87.49501355504617,-0.002920454996416943
32,2018Q1,62485.0,20856.0,2996020.3298810893,82.58516691531986,0.0027564955448282163
33,2018Q2,57935.0,19337.0,2996069.710916895,49.38103580567986,0.0016481938195813091
34,2018Q3,59370.0,19816.0,2996063.786838918,-5.924077976960689,-0.00019772870000244738
35,2018Q4,62048.0,20710.0,2996040.560115886,-23.226723032072186,-0.0007752472827395162
36,2019Q1,62605.0,20896.0,2996027.9479326187,-12.612183267250657,-0.0004209634718512415
37,2019Q2,61474.0,20518.0,2996100.9845014135,73.03656879486516,0.0024377205298712354
38,2019Q3,62317.0,20800.0,2996009.6153846155,-91.36911679804325,-0.0030496937102224104
39,2019Q4,66601.0,22230.0,2995996.401259559,-13.214125056285411,-0.00044105944355373746
40,2020Q1,68398.0,22830.0,2995970.214629873,-26.18662968603894,-0.0008740617499521463
41,2020Q2,63819.0,21301.0,2996056.5231679264,86.30853805318475,0.00288073797626238
42,2020Q3,65865.0,21984.0,2996042.576419214,-13.94674871256575,-0.00046550569148568356
43,2020Q4,68317.0,22803.0,2995965.443143446,-77.13327576778829,-0.0025745716107745896
44,2021Q1,69545.0,23213.0,2995950.544953259,-14.89819018682465,-0.0004972775739546489
45,2021Q2,65448.0,21845.0,2996017.3952849624,66.85033170320094,0.002231306527405611
46,2021Q3,64605.0,21564.0,2995965.4980523093,-51.897232653107494,-0.00173223732672643
47,2021Q4,66670.0,22253.0,2996000.5392531343,35.04120082501322,0.0011695992829743802
48,2022Q1,67942.0,11339.0,5991886.409736308,2995885.870483174,49.99904313297917
49,2022Q2,66230.0,11053.0,5992038.3606260745,151.95088976621628,0.002535879789500209
