,quarter,owner_equity,bvps,shares_est,shares_est_diff,shares_est_diff_perc
0,2010Q2,,0.0,,,
1,2010Q3,,0.0,,,
2,2011Q2,694219.0,16049.0,43256215.34051966,,
3,2011Q3,860078.0,15906.0,54072551.238526344,10816335.898006685,20.003376297695596
4,2011Q4,864142.0,15984.0,54062937.93793794,-9613.300588406622,-0.017781683635917644
5,2012Q1,1004749.0,18584.0,54065271.201033145,2333.2630952075124,0.004315641156282456
6,2012Q2,1102890.0,20405.0,54049987.74810096,-15283.452932186425,-0.028276515072333957
7,2012Q3,1101849.0,16987.0,64864249.13168894,10814261.383587979,16.67214456091615
8,2012Q4,1196918.0,18450.0,64873604.33604336,9355.204354420304,0.014420663766361155
9,2013Q1,1344964.0,20734.0,64867560.528600365,-6043.807442992926,-0.009317149271134048
10,2013Q2,1231856.0,15826.0,77837482.6235309,12969922.09493053,16.662823176927382
11,2013Q3,1283148.0,16485.0,77837306.64240219,-175.98112870752811,-0.000226088409656844
12,2013Q4,1404979.0,18051.0,77833859.61996566,-3447.022436529398,-0.004428692670978866
13,2014Q1,1447863.0,18602.0,77833727.55617675,-132.06378890573978,-0.00016967424412562317
14,2014Q2,1496815.0,19231.0,77833445.99864802,-281.55752873420715,-0.0003617436246354785
15,2014Q3,1279551.0,16439.0,77836303.91143014,2857.9127821177244,0.0036716964173552497
16,2014Q4,1496083.0,19221.0,77835856.6151605,-447.2962696403265,-0.0005746660846194173
17,2015Q1,1559251.0,20033.0,77834123.69590177,-1732.9192587286234,-0.0022264261180599217
18,2015Q2,1332656.0,17121.0,77837509.49126804,3385.7953662723303,0.004349824895993307
19,2015Q3,1356141.0,17423.0,77836250.9326752,-1258.5585928410292,-0.001616931157089805
20,2015Q4,1459883.0,18756.0,77835519.30049051,-731.6321846842766,-0.0009399721248852333
21,2016Q1,1358607.0,17455.0,77834832.4262389,-686.8742516189814,-0.0008824766884028509
22,2016Q2,1265418.0,16257.0,77838346.55840561,3514.132166713476,0.004514654180220369
23,2016Q3,1292240.0,11450.0,112859388.64628822,35021042.08788261,31.030685623897718
24,2016Q4,1282290.0,11362.0,112857771.51909874,-1617.1271894723177,-0.0014328895278591016
25,2017Q1,1326386.0,11752.0,112864703.88019061,6932.361091867089,0.006142186931377595
26,2017Q2,1316068.0,11661.0,112860646.59977703,-4057.280413582921,-0.003594946986234028
27,2017Q3,1349818.0,11960.0,112861036.78929766,390.1895206272602,0.00034572562128390883
28,2017Q4,1313678.0,11640.0,112858934.70790379,-2102.081393867731,-0.0018625741943322784
29,2018Q1,1347135.0,11937.0,112853732.09349082,-5202.61441296339,-0.004610050829912666
30,2018Q2,1309820.0,11606.0,112857142.85714285,3410.7636520266533,0.0030221956410362754
31,2018Q3,1329679.0,11782.0,112856815.48124257,-327.37590028345585,-0.0002900807531095608
32,2018Q4,1276329.0,11309.0,112859580.86479795,2765.38355538249,0.0024502869266325986
33,2019Q1,1274784.0,11296.0,112852691.2181303,-6889.6466676443815,-0.006104991022613316
34,2019Q2,1248514.0,11063.0,112854921.81144355,2230.5933132469654,0.0019765139857823924
35,2019Q3,1250075.0,11077.0,112853209.35271282,-1712.4587307274342,-0.0015174213835384108
36,2019Q4,1238582.0,10975.0,112854851.93621868,1642.5835058540106,0.0014554832846551756
37,2020Q1,1242523.0,11010.0,112854041.78019983,-810.1560188531876,-0.00071787948935944
38,2020Q2,1225237.0,10857.0,112852261.21396334,-1780.5662364810705,-0.0015777851656026533
39,2020Q3,1233516.0,10930.0,112855992.68069534,3731.466731995344,0.0033063966240169653
40,2020Q4,1245740.0,11038.0,112859213.62565683,3220.944961488247,0.0028539494986840968
41,2021Q1,1282303.0,11362.0,112858915.68385847,-297.94179835915565,-0.00026399491484904323
42,2021Q2,1309076.0,11599.0,112861108.71626864,2193.0324101746082,0.0019431249924080252
43,2021Q3,1315135.0,11653.0,112858062.30155325,-3046.4147153943777,-0.0026993328197098157
44,2021Q4,1332422.0,11806.0,112859732.3394884,1670.0379351526499,0.0014797464964112108
45,2022Q1,1363185.0,12079.0,112855782.7634738,-3949.5760146081448,-0.0034996664928422616
46,2022Q2,1313751.0,11641.0,112855510.69495748,-272.0685163140297,-0.00024107685538672243
