quarter,s,ln_s
2010Q4,0.31818766196615533,0.03957017655903594
2011Q1,0.0,0.0
2011Q2,0.0,0.0
2011Q3,0.12065770381971924,0.01943758750048403
2011Q4,0.0036962394081741148,0.0005501995168061687
2012Q1,0.019794184198089378,0.003055801467593146
2012Q2,0.0,0.0
2012Q3,0.0,0.0
2012Q4,0.0,0.0
2013Q1,0.0,0.0
2013Q2,0.0,0.0
2013Q3,0.0,0.0
2013Q4,0.013349638620152458,0.0018195480107196882
2014Q1,0.032704847795118806,0.003702489040348919
2014Q2,0.05240086419426265,0.007152364748944261
2014Q3,0.04598011069842138,0.004920209409445184
2014Q4,0.10579300220996006,0.017286384014561118
2015Q1,0.032036953812407586,0.0036663464222033725
2015Q2,0.011380019807343246,0.0006404715050101213
2015Q3,0.0,0.0
2015Q4,0.0,0.0
2016Q1,0.0,0.0
2016Q2,0.0,0.0
2016Q3,0.0,0.0
2016Q4,0.0,0.0
2017Q1,0.0,0.0
2017Q2,0.0,0.0
2017Q3,0.0,0.0
2017Q4,0.0,0.0
2018Q1,0.0,0.0
2018Q2,0.0,0.0
2018Q3,0.0,0.0
2018Q4,0.0,0.0
2019Q1,0.0,0.0
2019Q2,0.0,0.0
2019Q3,0.0,0.0
2019Q4,0.0,0.0
2020Q1,0.0,0.0
2020Q2,0.0,0.0
2020Q3,0.0,0.0
2020Q4,0.0,0.0
2021Q1,0.0,0.0
2021Q2,0.0,0.0
2021Q3,0.0,0.0
2021Q4,0.10864285578374429,0.020443456301325682
2022Q1,0.03446397916561144,0.007793294521568116
2022Q2,0.06553796899797253,0.014205228640286895
2022Q3,0.0,0.0
