quarter,quarter,change_perc_mean,change_perc_stdv
2008Q4,2008Q4,-0.8253125000000004,5.5192805657721085
2009Q1,2009Q1,-0.44482758620689644,3.3633855340198098
2009Q2,2009Q2,1.492096774193548,3.9185800109167905
2009Q3,2009Q3,0.8112307692307693,3.0000487015277706
2009Q4,2009Q4,-0.03121212121212122,3.413832277053285
2010Q1,2010Q1,0.009999999999999978,2.5759011368192426
2010Q2,2010Q2,-0.3248387096774191,1.8708538788088305
2010Q3,2010Q3,-0.18453124999999998,2.314908842997687
2010Q4,2010Q4,-0.0021212121212122108,2.911142263337413
2011Q1,2011Q1,-0.52,2.590616997661258
2011Q2,2011Q2,-0.14196721311475402,2.9238666292383737
2011Q3,2011Q3,-0.015538461538461638,2.893856656117204
2011Q4,2011Q4,-0.6592307692307693,2.650021997368788
2012Q1,2012Q1,0.33457627118644073,3.3624356535486024
2012Q2,2012Q2,0.31225806451612914,3.353976069278753
2012Q3,2012Q3,-0.7003125000000002,2.826067416685383
2012Q4,2012Q4,0.23661538461538462,2.4116334434122892
2013Q1,2013Q1,-0.1218965517241379,3.567406771988584
2013Q2,2013Q2,-0.14131147540983613,3.347663600886363
2013Q3,2013Q3,-0.268,2.345867510112197
2013Q4,2013Q4,0.36439393939393944,3.176204376677332
2014Q1,2014Q1,0.44535714285714273,3.0818978593691932
2014Q2,2014Q2,-0.08474576271186447,3.8624203399584625
2014Q3,2014Q3,0.4104687499999998,2.2106153920812073
2014Q4,2014Q4,-0.06772727272727275,2.6840479162606643
2015Q1,2015Q1,-0.33625,1.4220491776434327
2015Q2,2015Q2,0.2585245901639344,2.8565292670567746
2015Q3,2015Q3,-0.22876923076923084,2.043948008521367
2015Q4,2015Q4,0.057878787878787884,1.6928951216108732
2016Q1,2016Q1,-0.28305084745762715,2.685226025442697
2016Q2,2016Q2,-0.15354838709677418,2.131726843121764
2016Q3,2016Q3,0.015846153846153888,2.6213843505792007
2016Q4,2016Q4,-0.3756923076923077,2.0628961507662367
2017Q1,2017Q1,1.1733898305084747,2.9412714879965938
2017Q2,2017Q2,0.3883870967741936,2.5239522699160504
2017Q3,2017Q3,0.38468749999999985,2.251632895132873
2017Q4,2017Q4,-0.01984615384615393,2.41723466247312
2018Q1,2018Q1,-0.18561403508771937,1.8463390587320352
2018Q2,2018Q2,-0.05209677419354838,2.2697303494762737
2018Q3,2018Q3,0.17000000000000004,1.3610930142897608
2018Q4,2018Q4,-0.24123076923076922,1.6221865141032519
2019Q1,2019Q1,0.5862068965517243,2.6257742902065093
2019Q2,2019Q2,-0.149344262295082,2.449032372763073
2019Q3,2019Q3,0.003999999999999979,1.6367696844699928
2019Q4,2019Q4,-0.2674242424242424,1.8615752722284677
2020Q1,2020Q1,-1.2761016949152542,3.0556155296996885
2020Q2,2020Q2,1.0699999999999996,3.513841016398521
2020Q3,2020Q3,0.4478461538461536,2.8984939474598765
2020Q4,2020Q4,0.8151515151515153,2.8455894305853766
2021Q1,2021Q1,0.1332758620689656,3.335039592037817
2021Q2,2021Q2,-0.20951612903225805,2.8809734394388267
2021Q3,2021Q3,0.5951562499999999,3.340641508675262
2021Q4,2021Q4,0.5904545454545453,3.335789806981795
2022Q1,2022Q1,-0.11465517241379307,3.711806301433136
2022Q2,2022Q2,-1.2191935483870968,4.171009351596474
2022Q3,2022Q3,0.034062499999999926,2.5753604887132586
