,date,quarter,price,shares_est,market_cap
0,2006-12-29,2006Q4,44.6,1000000.0,44600000000
1,2007-03-30,2007Q1,73.5,1000000.0,73500000000
2,2007-06-29,2007Q2,114.0,2600000.0,296400000000
3,2007-09-28,2007Q3,74.5,2599941.2973290286,193695626651
4,2007-12-28,2007Q4,69.0,4599902.98065003,317393305665
5,2008-03-31,2008Q1,46.1,4599966.714745368,212058465550
6,2008-06-30,2008Q2,44.3,4599922.626284956,203776572344
7,2008-09-30,2008Q3,25.1,7499906.942117997,188247664247
8,2008-12-31,2008Q4,22.9,7530540.729958489,172449382716
9,2009-03-31,2009Q1,22.5,7530482.503803521,169435856336
10,2009-06-30,2009Q2,22.4,7530547.931279861,168684273661
11,2009-09-30,2009Q3,32.2,8283347.99937885,266723805580
12,2009-12-31,2009Q4,32.5,8283421.90805428,269211212012
13,2010-03-31,2010Q1,29.3,8283447.290539851,242705005613
14,2010-06-30,2010Q2,31.7,8283616.359722555,262590638603
15,2010-09-30,2010Q3,31.4,8283386.004514673,260098320542
16,2010-12-31,2010Q4,29.8,8283501.477631713,246848344033
17,2011-03-31,2011Q1,29.0,8283643.160234391,240225651647
18,2011-06-30,2011Q2,18.1,8283694.254919411,149934866014
19,2011-09-30,2011Q3,30.9,8283546.40382551,255961583878
20,2011-12-30,2011Q4,25.4,8283691.930290796,210405775029
21,2012-03-30,2012Q1,14.3,8283624.980756402,118455837225
22,2012-06-29,2012Q2,16.8,8283736.339811106,139166770509
23,2012-09-28,2012Q3,15.6,8283701.221915648,129225739062
24,2012-12-28,2012Q4,11.0,8283348.007924279,91116828087
25,2013-03-29,2013Q1,19.0,8283458.106860835,157385704030
26,2013-06-28,2013Q2,15.1,8283599.511858651,125082352629
27,2013-09-30,2013Q3,13.0,8283725.625630944,107688433133
28,2013-12-31,2013Q4,12.8,15150383.266207611,193924905807
29,2014-03-31,2014Q1,16.9,15151006.928705562,256052017095
30,2014-06-30,2014Q2,23.3,15150672.529746508,353010669943
31,2014-09-30,2014Q3,25.9,22517945.30953285,583214783517
32,2014-12-31,2014Q4,37.2,22517347.04476992,837645310065
33,2015-03-31,2015Q1,23.7,72853823.86168279,1726635625522
34,2015-06-30,2015Q2,24.1,72856053.66018434,1755830893210
35,2015-09-30,2015Q3,22.4,192859193.7765205,4320045940594
36,2015-12-31,2015Q4,23.6,192848154.3624161,4551216442953
37,2016-03-31,2016Q1,21.4,192850079.17086512,4126991694257
38,2016-06-30,2016Q2,23.0,192853088.2456511,4435621029650
39,2016-09-30,2016Q3,23.4,192852726.06382975,4512753789894
40,2016-12-30,2016Q4,24.3,192857733.4470766,4686442922764
41,2017-03-31,2017Q1,24.0,192853402.47912976,4628481659499
42,2017-06-30,2017Q2,23.7,192848933.5006273,4570519723965
43,2017-09-29,2017Q3,22.95,192854065.3659137,4426000800148
44,2017-12-29,2017Q4,23.45,192854250.0,4522432162500
45,2018-03-30,2018Q1,18.4,192856106.25999263,3548552355184
46,2018-06-29,2018Q2,25.05,192851184.7195358,4830922177224
47,2018-09-28,2018Q3,27.8,192849322.86332083,5361211175600
48,2018-12-28,2018Q4,35.3,192854154.0160088,6807751636765
49,2019-03-29,2019Q1,28.5,192859632.24289075,5496499518922
50,2019-06-28,2019Q2,34.1,192852882.50038365,6576283293263
51,2019-09-30,2019Q3,36.7,192850518.82299864,7077614040804
52,2019-12-31,2019Q4,39.5,192854656.8627451,7617758946078
53,2020-03-31,2020Q1,44.4,192850111.63964665,8562544956800
54,2020-06-30,2020Q2,42.5,192855673.975304,8196366143950
55,2020-09-30,2020Q3,55.9,192855993.00087488,10780650008749
56,2020-12-31,2020Q4,69.0,192858392.9649108,13307229114579
57,2021-03-31,2021Q1,67.0,192857045.66714856,12921422059699
58,2021-06-30,2021Q2,55.8,192854779.25777,10761296682584
59,2021-09-30,2021Q3,50.0,192853402.0445785,9642670102229
60,2021-12-31,2021Q4,48.1,192857789.29614547,9276459665145
61,2022-03-31,2022Q1,45.8,192851470.10512483,8832597330815
62,2022-06-30,2022Q2,41.95,192853091.11506715,8090187172277
