,date,quarter,price,shares_est,market_cap
0,2016-03-31,2016Q1,6.8,122126399.55584344,830459516980
1,2016-06-30,2016Q2,5.9,122120763.10427856,720512502315
2,2016-09-30,2016Q3,5.2,122120745.31869754,635027875657
3,2016-12-30,2016Q4,5.0,122122752.00590242,610613760030
4,2017-03-31,2017Q1,6.1,122122628.5400055,744948034094
5,2017-06-30,2017Q2,10.0,122124645.3738446,1221246453738
6,2017-09-29,2017Q3,11.8,122128638.22883862,1441117931100
7,2017-12-29,2017Q4,14.4,122119307.91900373,1758518034034
8,2018-03-30,2018Q1,18.6,122124526.94179133,2271516201117
9,2018-06-29,2018Q2,15.2,122117611.37112153,1856187692841
10,2018-09-28,2018Q3,18.5,122118173.45487998,2259186208915
11,2018-12-28,2018Q4,13.8,122113043.47826087,1685160000000
12,2019-03-29,2019Q1,16.1,122115992.82686664,1966067484513
13,2019-06-28,2019Q2,14.8,122119032.76131046,1807361684867
14,2019-09-30,2019Q3,15.2,122115440.00606382,1856154688092
15,2019-12-31,2019Q4,14.4,122117595.436595,1758493374287
16,2020-03-31,2020Q1,8.4,164324086.26934475,1380322324662
17,2020-06-30,2020Q2,9.5,164326064.38213915,1561097611630
18,2020-09-30,2020Q3,10.3,164328728.12526166,1692585899690
19,2020-12-31,2020Q4,16.5,164316771.67238218,2711226732594
20,2021-03-31,2021Q1,22.5,164320681.52430212,3697215334297
21,2021-06-30,2021Q2,31.4,267595798.6870897,8402508078775
22,2021-09-30,2021Q3,32.5,267590702.66699696,8696697836677
23,2021-12-31,2021Q4,40.4,267593222.9978822,10810766209114
24,2022-03-31,2022Q1,33.9,267588352.96732607,9071245165592
25,2022-06-30,2022Q2,16.6,267595512.1245024,4442085501267
