,date,quarter,price,shares_est,market_cap
0,2013-03-29,2013Q1,2.9,4118901.221751976,11944813543
1,2013-06-28,2013Q2,2.6,4104081.7956705806,10670612669
2,2013-09-30,2013Q3,2.6,4103944.647685701,10670256084
3,2013-12-31,2013Q4,3.4,4103879.65162312,13953190816
4,2014-03-31,2014Q1,5.2,4103963.510537905,21340610255
5,2014-06-30,2014Q2,4.4,4104003.139717425,18057613815
6,2014-09-30,2014Q3,4.2,4103858.495734523,17236205682
7,2014-12-31,2014Q4,4.1,4103995.621237001,16826382047
8,2015-03-31,2015Q1,3.2,4119015.734851021,13180850352
9,2015-06-30,2015Q2,3.8,4103836.760419129,15594579690
10,2015-09-30,2015Q3,2.0,4103989.2778303376,8207978556
11,2015-12-31,2015Q4,2.2,4103905.325443787,9028591716
12,2016-03-31,2016Q1,2.6,4103986.135181976,10670363951
13,2016-06-30,2016Q2,2.3,4104007.558459964,9439217384
14,2016-09-30,2016Q3,1.9,4104012.588512982,7797623918
15,2016-12-30,2016Q4,1.6,4103830.724455282,6566129159
16,2017-03-31,2017Q1,1.8,4103825.56675063,7386886020
17,2017-06-30,2017Q2,2.1,4103933.910306845,8618261212
18,2017-09-29,2017Q3,1.9,4104053.522235341,7797701692
19,2017-12-29,2017Q4,1.9,4103914.478855526,7797437510
20,2018-03-30,2018Q1,1.8,4103947.161503381,7387104891
21,2018-06-29,2018Q2,1.5,4103873.654435452,6155810482
22,2018-09-28,2018Q3,1.4,4104030.800660014,5745643121
23,2018-12-28,2018Q4,1.5,4103981.779627739,6155972669
24,2019-03-29,2019Q1,1.6,4104063.507034504,6566501611
25,2019-06-28,2019Q2,1.7,4103962.338171832,6976735975
26,2019-09-30,2019Q3,2.3,4104038.975326104,9439289643
27,2019-12-31,2019Q4,1.7,4103934.786016617,6976689136
28,2020-03-31,2020Q1,1.9,4103908.334641344,7797425836
29,2020-06-30,2020Q2,2.2,4103764.705882353,9028282353
30,2020-09-30,2020Q3,2.0,4103769.887922251,8207539776
31,2020-12-31,2020Q4,2.1,4104039.45514326,8618482856
32,2021-03-31,2021Q1,3.9,4103956.130043087,16005428907
33,2021-06-30,2021Q2,3.5,4104010.025062657,14364035088
34,2021-09-30,2021Q3,4.2,4104006.8868367504,17236828925
35,2021-12-31,2021Q4,8.5,4104049.405878674,34884419950
36,2022-03-31,2022Q1,7.6,4103777.273793697,31188707281
37,2022-06-30,2022Q2,4.1,4103963.10482295,16826248730
