,quarter,roa
0,2009Q2,1.32
1,2009Q3,0.24
2,2009Q4,4.54
3,2010Q1,1.31
4,2010Q2,3.0
5,2010Q3,0.46
6,2010Q4,0.46
7,2011Q1,1.59
8,2011Q2,0.76
9,2011Q3,0.37
10,2011Q4,6.26
11,2012Q1,0.95
12,2012Q2,0.82
13,2012Q3,0.1
14,2012Q4,1.38
15,2013Q1,0.11
16,2013Q2,-1.16
17,2013Q3,-3.1
18,2013Q4,5.63
19,2014Q1,0.16
20,2014Q2,0.09
21,2014Q3,0.21
22,2014Q4,2.33
23,2015Q1,-0.83
24,2015Q2,0.85
25,2015Q3,-12.6
26,2015Q4,3.51
27,2016Q1,0.45
28,2016Q2,-0.46
29,2016Q3,-0.11
30,2016Q4,1.76
31,2017Q1,0.18
32,2017Q2,0.05
33,2017Q3,-0.02
34,2017Q4,0.64
35,2018Q1,0.48
36,2018Q2,0.25
37,2018Q3,0.36
38,2018Q4,0.6
39,2019Q1,0.37
40,2019Q2,-0.33
41,2019Q3,0.5
42,2019Q4,1.19
43,2020Q1,0.42
44,2020Q2,0.38
45,2020Q3,0.39
46,2020Q4,0.91
47,2021Q1,0.61
48,2021Q2,0.52
49,2021Q3,0.45
50,2021Q4,1.38
51,2022Q1,0.49
52,2022Q2,0.46
