,date,quarter,price,shares_est,market_cap
0,2009-09-30,2009Q3,19.5,12036729.154296378,234716218509
1,2009-12-31,2009Q4,17.5,12036357.42937612,210636255014
2,2010-03-31,2010Q1,17.6,12084598.52236746,212688933994
3,2010-06-30,2010Q2,18.8,12043667.804984378,226420954734
4,2010-09-30,2010Q3,16.7,12044058.840331336,201135782634
5,2011-03-31,2011Q1,13.7,12085098.06476836,165565843487
6,2011-06-30,2011Q2,10.2,12085196.41278262,123269003410
7,2011-09-30,2011Q3,9.8,15083786.805814387,147821110697
8,2011-12-30,2011Q4,8.9,15083690.825619029,134244848348
9,2012-03-30,2012Q1,12.5,15084312.871861847,188553910898
10,2012-06-29,2012Q2,11.0,15084454.723857583,165929001962
11,2012-09-28,2012Q3,10.0,15083863.747639364,150838637476
12,2012-12-28,2012Q4,9.9,15544801.54028436,153893535249
13,2013-03-29,2013Q1,10.0,15539371.80423667,155393718042
14,2013-06-28,2013Q2,10.3,15566436.81723096,160334299217
15,2013-09-30,2013Q3,8.2,15623570.190641249,128113275563
16,2013-12-31,2013Q4,9.1,15486960.239418557,140931338179
17,2014-03-31,2014Q1,12.9,15489747.6340694,199817744479
18,2014-06-30,2014Q2,9.5,15488041.693438996,147136396088
19,2014-09-30,2014Q3,10.0,15470242.97024297,154702429702
20,2014-12-31,2014Q4,10.2,15443582.510578278,157524541608
21,2015-03-31,2015Q1,13.2,15454353.523587652,203997466511
22,2015-06-30,2015Q2,10.1,15440783.490731023,155951913256
23,2015-09-30,2015Q3,9.2,16044624.364526454,147610544154
24,2015-12-31,2015Q4,9.2,16176455.026455026,148823386243
25,2016-03-31,2016Q1,7.7,15648789.164044328,120495676563
26,2016-06-30,2016Q2,9.9,15661766.764664706,155051490970
27,2016-09-30,2016Q3,7.0,22238591.26984127,155670138889
28,2016-12-30,2016Q4,5.8,22144429.16093535,128437689133
29,2017-03-31,2017Q1,5.3,22077761.88773686,117012138005
30,2017-06-30,2017Q2,5.3,22134238.60329777,117311464597
31,2017-09-29,2017Q3,5.7,22130594.13580247,126144386574
32,2017-12-29,2017Q4,4.6,22025144.347178247,101315663997
33,2018-03-30,2018Q1,4.5,22009452.82675877,99042537720
34,2018-06-29,2018Q2,4.6,22017221.908526257,101279220779
35,2018-09-28,2018Q3,4.5,22005523.84459584,99024857301
36,2018-12-28,2018Q4,5.3,21918082.3623588,116165836521
37,2019-03-29,2019Q1,7.1,21418793.50348028,152073433875
38,2019-06-28,2019Q2,7.8,21417523.25012237,167056681351
39,2019-09-30,2019Q3,7.7,21418722.026473667,164924159604
40,2019-12-31,2019Q4,7.1,21419094.576423127,152075571493
41,2020-03-31,2020Q1,4.9,21419087.85240107,104953530477
42,2020-06-30,2020Q2,7.9,21418637.387387387,169207235360
43,2020-09-30,2020Q3,7.9,21417392.899733968,169197403908
44,2020-12-31,2020Q4,6.8,21417806.429131456,145641083718
45,2021-03-31,2021Q1,7.4,21419037.199124727,158500875274
46,2021-06-30,2021Q2,11.1,21417812.989726625,237737724186
47,2021-09-30,2021Q3,16.7,21418810.70028966,357694138695
48,2021-12-31,2021Q4,13.0,21417773.156294998,278431051032
49,2022-03-31,2022Q1,14.6,21418873.61716393,312715554811
50,2022-06-30,2022Q2,12.2,21418739.10250528,261308617051
