,quarter,owner_equity,bvps,shares_est,shares_est_diff,shares_est_diff_perc
0,2009Q3,82286.0,45715.0,1799978.1253417914,,
1,2016Q1,640151.0,28223.0,22681890.65655671,20881912.53121492,92.06425005482747
2,2016Q2,637491.0,28107.0,22680862.41861458,-1028.2379421293736,-0.004533504604681525
3,2016Q3,684235.0,30167.0,22681572.579308517,710.1606939360499,0.003131002894322684
4,2016Q4,651650.0,28730.0,22681865.64566655,293.06635803356767,0.001292073423817141
5,2017Q1,696201.0,30694.0,22681989.965465564,124.31979901343584,0.0005480991712046376
6,2017Q2,738639.0,32565.0,22681989.866421003,-0.0990445613861084,-4.366661036769816e-07
7,2017Q3,798027.0,33508.0,23816014.086188372,1134024.2197673693,4.761603749743431
8,2017Q4,745339.0,31296.0,23815791.155419223,-222.93076914921403,-0.0009360628319856874
9,2018Q1,803813.0,33749.0,23817387.181842424,1596.026423200965,0.006701097861891929
10,2018Q2,894808.0,18786.0,47631640.58341318,23814253.40157076,49.9967104006567
11,2018Q3,1027832.0,21577.0,47635537.84121982,3897.257806636393,0.008181408215914026
12,2018Q4,934619.0,19620.0,47636034.65851172,496.81729190051556,0.0010429442657476592
13,2019Q1,1020239.0,21415.0,47641326.17324305,5291.51473133266,0.011106984537102474
14,2019Q2,1231400.0,24618.0,50020310.34202616,2378984.168783106,4.756036403045518
15,2019Q3,1368720.0,27366.0,50015347.51151063,-4962.830515526235,-0.009922615282007347
16,2019Q4,1235413.0,24706.0,50004573.78774387,-10773.723766766489,-0.021545476644792703
17,2020Q1,1299297.0,25978.0,50015282.16182924,10708.374085374177,0.021410204286614252
18,2020Q2,1332508.0,26640.0,50019069.06906907,3786.907239831984,0.007570927069040039
19,2020Q3,1375601.0,27505.0,50012761.31612434,-6307.752944730222,-0.012612286901856335
20,2020Q4,1442200.0,28836.0,50013871.549452074,1110.2333277314901,0.002219850800059995
21,2021Q1,1534319.0,30677.0,50015288.326759465,1416.7773073911667,0.002832688473442538
22,2021Q2,1494446.0,29880.0,50014926.37215529,-361.95460417866707,-0.0007236931660868692
23,2021Q3,1612804.0,32250.0,50009426.356589146,-5500.015566140413,-0.010997957718856621
24,2021Q4,1495401.0,29902.0,50010066.216306604,639.8597174584866,0.0012794618481225882
25,2022Q1,1588209.0,31758.0,50009729.83185339,-336.384453214705,-0.0006726380133340512
26,2022Q2,1737747.0,23166.0,75012820.51282051,25003090.680967122,33.33175650513477
