quarter,quarter,change_perc_mean,change_perc_stdv
2010Q3,2010Q3,-0.15375000000000003,5.725814451793181
2010Q4,2010Q4,0.3130303030303031,4.497269930728734
2011Q1,2011Q1,1.1675438596491228,5.121242622890099
2011Q2,2011Q2,-2.2849180327868854,4.9135016783521515
2011Q3,2011Q3,-0.3666153846153846,4.225410585420618
2011Q4,2011Q4,-1.7513846153846155,3.9616075007987126
2012Q1,2012Q1,1.1064406779661018,4.501418076451734
2012Q2,2012Q2,1.0632258064516127,4.58159030811947
2012Q3,2012Q3,-0.3234374999999998,2.9825243482820456
2012Q4,2012Q4,-0.27584615384615396,2.9566650830727412
2013Q1,2013Q1,0.253103448275862,4.303342318700398
2013Q2,2013Q2,-0.30967213114754094,4.779479737102883
2013Q3,2013Q3,0.6094736842105263,5.490857798277265
2013Q4,2013Q4,0.11688524590163936,5.660298443540355
2014Q1,2014Q1,1.3883928571428572,4.944363835092057
2014Q2,2014Q2,-0.9485245901639343,4.910202587831985
2014Q3,2014Q3,0.8012500000000002,6.674229876505937
2014Q4,2014Q4,0.37863636363636355,4.852054564460658
2015Q1,2015Q1,0.7737499999999999,4.728489884826772
2015Q2,2015Q2,-0.008688524590163931,3.888074277158225
2015Q3,2015Q3,0.5720000000000001,3.6499320199148917
2015Q4,2015Q4,-0.5246969696969699,3.378526405992807
2016Q1,2016Q1,0.2010169491525421,4.989161941550718
2016Q2,2016Q2,1.1304838709677423,4.817666746131863
2016Q3,2016Q3,-0.1709230769230769,3.554215245256734
2016Q4,2016Q4,-0.05753846153846152,2.8855458922279937
2017Q1,2017Q1,-0.03627118644067799,3.1520168137488516
2017Q2,2017Q2,0.43935483870967734,4.508555026768825
2017Q3,2017Q3,0.19468750000000012,3.2801524203600123
2017Q4,2017Q4,-0.2429230769230768,2.749713464093192
2018Q1,2018Q1,0.11355932203389826,2.9012385956107787
2018Q2,2018Q2,-0.12483870967741947,3.621186175526088
2018Q3,2018Q3,-0.25484375000000004,2.95768516960477
2018Q4,2018Q4,-0.11692307692307692,3.3185331487895957
2019Q1,2019Q1,0.28,2.96747278620076
2019Q2,2019Q2,0.10459016393442624,2.934380442143618
2019Q3,2019Q3,-0.020307692307692304,2.766538885294431
2019Q4,2019Q4,0.04924242424242431,2.9277648658246296
2020Q1,2020Q1,0.49508474576271155,4.855675091698642
2020Q2,2020Q2,0.35737704918032775,2.9206106106083047
2020Q3,2020Q3,0.7364615384615384,3.876413625524738
2020Q4,2020Q4,0.9180303030303031,3.1647351181889403
2021Q1,2021Q1,1.299423076923077,3.888114323675015
2021Q2,2021Q2,-0.5148387096774193,3.769799204086702
2021Q3,2021Q3,0.11562499999999999,4.012241535956821
2021Q4,2021Q4,1.3865151515151515,4.0034075840941155
2022Q1,2022Q1,0.30568965517241387,4.80780619339262
2022Q2,2022Q2,-1.680322580645161,4.790614104767074
2022Q3,2022Q3,0.07281249999999996,3.173027930857212
