,quarter,price,price_diff,price_diff_perc
1,2007Q1,73.0,21.0,40.38461538461539
2,2007Q2,59.0,-14.0,-19.17808219178082
3,2007Q3,60.0,1.0,1.694915254237288
4,2007Q4,51.5,-8.5,-14.166666666666666
5,2008Q1,24.1,-27.4,-53.20388349514563
6,2008Q2,21.4,-2.700000000000003,-11.2033195020747
7,2008Q3,28.0,6.600000000000001,30.84112149532711
8,2008Q4,22.5,-5.5,-19.642857142857142
9,2009Q1,28.1,5.600000000000001,24.888888888888893
10,2009Q2,48.0,19.9,70.81850533807828
11,2009Q3,54.5,6.5,13.541666666666666
12,2009Q4,37.5,-17.0,-31.192660550458715
13,2010Q1,37.3,-0.20000000000000284,-0.5333333333333409
14,2010Q2,36.0,-1.2999999999999972,-3.4852546916890006
15,2010Q3,37.3,1.2999999999999972,3.611111111111103
16,2010Q4,34.9,-2.3999999999999986,-6.434316353887396
17,2011Q1,34.8,-0.10000000000000142,-0.28653295128940237
18,2011Q2,32.4,-2.3999999999999986,-6.896551724137928
19,2011Q3,31.5,-0.8999999999999986,-2.7777777777777737
20,2011Q4,42.1,10.600000000000001,33.65079365079366
21,2012Q1,44.1,2.0,4.750593824228028
22,2012Q2,39.0,-5.100000000000001,-11.56462585034014
23,2012Q3,42.1,3.1000000000000014,7.948717948717952
24,2012Q4,45.5,3.3999999999999986,8.076009501187645
25,2013Q1,78.0,32.5,71.42857142857143
26,2013Q2,80.0,2.0,2.5641025641025643
27,2013Q3,79.0,-1.0,-1.25
28,2013Q4,77.0,-2.0,-2.5316455696202533
29,2014Q1,81.0,4.0,5.194805194805195
30,2014Q2,78.5,-2.5,-3.0864197530864197
31,2014Q3,78.5,0.0,0.0
32,2014Q4,80.0,1.5,1.910828025477707
33,2015Q1,76.5,-3.5,-4.375
34,2015Q2,97.0,20.5,26.797385620915033
35,2015Q3,102.0,5.0,5.154639175257732
36,2015Q4,95.0,-7.0,-6.862745098039215
37,2016Q1,94.0,-1.0,-1.0526315789473684
38,2016Q2,100.0,6.0,6.382978723404255
39,2016Q3,100.0,0.0,0.0
40,2016Q4,92.5,-7.5,-7.5
41,2017Q1,101.5,9.0,9.72972972972973
42,2017Q2,109.0,7.5,7.389162561576355
43,2017Q3,116.0,7.0,6.422018348623853
44,2017Q4,108.3,-7.700000000000003,-6.637931034482761
45,2018Q1,108.4,0.10000000000000853,0.0923361034164437
46,2018Q2,110.9,2.5,2.3062730627306274
47,2018Q3,116.9,6.0,5.410279531109107
48,2018Q4,90.0,-26.900000000000006,-23.01112061591104
49,2019Q1,94.9,4.900000000000006,5.444444444444451
50,2019Q2,87.9,-7.0,-7.376185458377239
51,2019Q3,82.0,-5.900000000000006,-6.712172923777025
52,2019Q4,90.0,8.0,9.75609756097561
53,2020Q1,73.5,-16.5,-18.333333333333332
54,2020Q2,63.0,-10.5,-14.285714285714286
55,2020Q3,73.0,10.0,15.873015873015873
56,2020Q4,80.4,7.400000000000006,10.136986301369872
57,2021Q1,73.6,-6.800000000000011,-8.457711442786083
58,2021Q2,80.7,7.1000000000000085,9.646739130434796
59,2021Q3,83.0,2.299999999999997,2.850061957868646
60,2021Q4,81.0,-2.0,-2.4096385542168677
61,2022Q1,92.8,11.799999999999997,14.567901234567898
62,2022Q2,93.5,0.7000000000000028,0.7543103448275893
