quarter,quarter,change_perc_mean,change_perc_stdv
2015Q3,2015Q3,0.0348979591836735,2.7294635633284092
2015Q4,2015Q4,0.07484848484848486,3.856142449660618
2016Q1,2016Q1,-0.0015254237288135192,3.448657316715535
2016Q2,2016Q2,0.6148387096774194,4.475637784731506
2016Q3,2016Q3,0.23199999999999998,2.8813284696472907
2016Q4,2016Q4,0.14446153846153845,4.141793856066938
2017Q1,2017Q1,0.05084745762711863,2.87983074702352
2017Q2,2017Q2,-0.10870967741935482,2.347145097997214
2017Q3,2017Q3,-0.03718749999999993,5.647932749709232
2017Q4,2017Q4,0.10092307692307696,5.765214307344992
2018Q1,2018Q1,0.0683050847457627,4.831438049841524
2018Q2,2018Q2,-0.40838709677419355,3.680348430381437
2018Q3,2018Q3,0.09312499999999999,3.1932726284119677
2018Q4,2018Q4,-0.214,1.314851227325738
2019Q1,2019Q1,1.0074137931034484,5.831940052258746
2019Q2,2019Q2,-0.07327868852459012,4.650169072665163
2019Q3,2019Q3,0.16307692307692315,3.341987583701559
2019Q4,2019Q4,-0.07803030303030296,3.100059165538108
2020Q1,2020Q1,-0.35728813559322053,3.700401576766982
2020Q2,2020Q2,1.574032258064516,4.100890930660296
2020Q3,2020Q3,-0.6189230769230768,4.266597049712497
2020Q4,2020Q4,0.16863636363636364,3.422659283864899
2021Q1,2021Q1,0.24775862068965515,3.6670845263192384
2021Q2,2021Q2,0.48145161290322586,2.6866072496763924
2021Q3,2021Q3,0.6544262295081968,4.2490561793533095
2021Q4,2021Q4,0.38696969696969674,4.397174956613349
2022Q1,2022Q1,0.5479310344827586,3.7483894827590363
2022Q2,2022Q2,-0.21633333333333343,3.3445771776377264
2022Q3,2022Q3,0.17296874999999984,3.503147192593567
