,date,quarter,price,shares_est,market_cap
0,2009-09-30,2009Q3,44.1,81318743.89847055,3586156605923
1,2009-12-31,2009Q4,39.1,81303253.22870688,3178957201242
2,2010-03-31,2010Q1,39.0,81301830.4071722,3170771385880
3,2010-06-30,2010Q2,38.4,81297766.38593921,3121834229220
4,2010-09-30,2010Q3,37.5,81300333.70411569,3048762513904
5,2010-12-31,2010Q4,39.0,81298392.732355,3170637316562
6,2011-03-31,2011Q1,33.7,81300227.04472253,2739817651407
7,2011-06-30,2011Q2,31.0,81301384.33312948,2520342914327
8,2011-09-30,2011Q3,30.0,81298797.4557742,2438963923673
9,2011-12-30,2011Q4,26.2,81301870.27823843,2130109001290
10,2012-03-30,2012Q1,25.5,81298676.15273775,2073116241895
11,2012-06-29,2012Q2,30.1,81299507.5168481,2447115176257
12,2012-09-28,2012Q3,27.0,81300644.79268691,2195117409403
13,2012-12-28,2012Q4,28.1,81298799.51980792,2284496266507
14,2013-03-29,2013Q1,31.2,81300917.43119267,2536588623853
15,2013-06-28,2013Q2,28.5,81298877.02868934,2317017995318
16,2013-09-30,2013Q3,29.8,81299852.91840842,2422735616969
17,2013-12-31,2013Q4,30.2,81300258.26252948,2455267799528
18,2014-03-31,2014Q1,31.1,81299767.4504448,2528422767709
19,2014-06-30,2014Q2,27.2,81298799.20724362,2211327338437
20,2014-09-30,2014Q3,29.0,81299177.66303308,2357676152228
21,2014-12-31,2014Q4,26.8,81300544.87063833,2178854602533
22,2015-03-31,2015Q1,21.0,81299124.7578736,1707281619915
23,2015-06-30,2015Q2,20.0,81299616.54443245,1625992330889
24,2015-09-30,2015Q3,18.2,81301109.0639789,1479680184964
25,2015-12-31,2015Q4,16.3,81298847.16610447,1325171208808
26,2016-03-31,2016Q1,17.1,81301364.35129303,1390253330407
27,2016-06-30,2016Q2,20.8,81298856.0014527,1691016204830
28,2016-09-30,2016Q3,17.7,81299902.69919637,1439008277776
29,2016-12-30,2016Q4,25.25,78491132.93772595,1981901106678
30,2017-03-31,2017Q1,26.7,78489640.72821009,2095673407443
31,2017-06-30,2017Q2,34.9,78417379.0640986,2736766529337
32,2017-09-29,2017Q3,42.0,78419466.17579383,3293617579383
33,2017-12-29,2017Q4,43.35,78490029.3255132,3402542771261
34,2018-03-30,2018Q1,46.2,78489049.27047208,3626194076296
35,2018-06-29,2018Q2,20.8,81197990.65719588,1688918205670
36,2018-09-28,2018Q3,26.6,135338849.09854284,3600013386021
37,2018-12-28,2018Q4,33.45,135503315.61629966,4532585907365
38,2019-03-29,2019Q1,52.6,135456120.8190135,7124991955080
39,2019-06-28,2019Q2,61.2,135367154.70961446,8284469868228
40,2019-09-30,2019Q3,61.0,135416514.54043728,8260407386967
41,2019-12-31,2019Q4,38.2,135502102.99548626,5176180334428
42,2020-03-31,2020Q1,33.0,135596118.1187054,4474671897917
43,2020-06-30,2020Q2,49.7,135501656.43358806,6734432324749
44,2020-09-30,2020Q3,58.3,135451277.59141922,7896809483580
45,2020-12-31,2020Q4,63.0,135630689.74001476,8544733453621
46,2021-03-31,2021Q1,58.4,135625061.3246116,7920503581357
47,2021-06-30,2021Q2,56.6,135548755.59223387,7672059566520
48,2021-09-30,2021Q3,52.5,135472826.31122848,7112323381339
49,2021-12-31,2021Q4,71.3,135522529.19644412,9662756331706
50,2022-03-31,2022Q1,80.8,135511104.8973396,10949297275705
51,2022-06-30,2022Q2,65.0,135440125.09401846,8803608131111
