,quarter,owner_equity,bvps,shares_est,shares_est_diff,shares_est_diff_perc,lev
0,2008Q1,76039.0,10000.0,7603900.0,,,0.5370758164772748
1,2008Q2,79485.0,10000.0,7948500.0,344600.0,4.335409196703781,0.5610842956636648
2,2008Q3,79520.0,10005.0,7948025.987006497,-474.01299350336194,-0.005963908450705655,0.5698529182068574
3,2008Q4,78886.0,9870.0,7992502.532928064,44476.54592156783,0.556478346279282,0.6190903837339129
4,2009Q1,79936.0,9872.0,8097244.732576986,104742.19964892138,1.2935535865369192,0.6292014925957126
5,2009Q2,94775.0,9892.0,9580974.524868581,1483729.7922915956,15.486209554575007,0.6382564528397242
6,2009Q3,102969.0,9913.0,10387269.242408957,806294.7175403759,7.762335785506071,0.5497382861739484
7,2009Q4,116463.0,9767.0,11924132.28217467,1536863.0397657119,12.88867821487658,0.5645624404043847
8,2010Q1,116381.0,9760.0,11924282.786885247,150.50471057742834,0.001262169920550348,0.5661246045790849
9,2010Q2,119403.0,10014.0,11923606.950269623,-675.8366156239063,-0.005668055131661513,0.5976614866810611
10,2010Q3,111183.0,9324.0,11924388.674388675,781.7241190522909,0.0065556745959756075,0.6190549589734328
11,2010Q4,161151.0,9847.0,16365492.028028842,4441103.353640167,27.136998667892055,0.5104991525027591
12,2011Q1,174486.0,10027.0,17401615.637778,1036123.609749157,5.954180527351649,0.4633033011392931
13,2011Q2,173008.0,9902.0,17472025.853362955,70410.21558495611,0.4029882749481154,0.513947378066984
14,2011Q3,175006.0,9474.0,18472239.814228415,1000213.9608654603,5.414686962298076,0.4300499896433864
15,2011Q4,161151.0,9847.0,16365492.028028842,-2106747.7861995734,-12.87310997183213,0.5104991525027591
16,2012Q1,202127.0,10010.0,20192507.49250749,3827015.464478649,18.952650956790176,0.3312987139515307
17,2012Q2,196465.0,9730.0,20191675.231243577,-832.2612639144063,-0.004121803933467627,0.3503881801426147
18,2012Q3,196784.0,9746.0,20191257.9519803,-417.2792632766068,-0.0020666333136300763,0.36325542599263083
19,2012Q4,216898.0,9742.0,22264216.79326627,2072958.84128597,9.310719800001808,0.3169771620848696
20,2013Q1,223284.0,10029.0,22263834.87885133,-381.91441493853927,-0.0017154026564458762,0.3007932000137998
21,2013Q2,218793.0,9827.0,22264475.424849905,640.5459985733032,0.0028769867079750495,0.2844687459015271
22,2013Q3,220456.0,9902.0,22263785.09392042,-690.3309294842184,-0.003100689871789713,0.3391666131924275
23,2013Q4,252077.0,10354.0,24345856.673749276,2082071.5798288547,8.552057164099844,0.23702737315814323
24,2014Q1,256449.0,10533.0,24347194.531472515,1337.8577232398093,0.00549491532385968,0.2248314837686078
25,2014Q2,258568.0,10620.0,24347269.303201508,74.77172899246216,0.00030710519549980976,0.20281177677566894
26,2014Q3,280195.0,10321.0,27148047.66979944,2800778.366597932,10.316684281181768,0.16948499394002225
27,2014Q4,288496.0,10627.0,27147454.596781783,-593.0730176568031,-0.002184635821168698,0.1719925832123328
28,2015Q1,298995.0,11014.0,27146813.14690394,-641.4498778432608,-0.002362892006410032,0.17003422566478865
29,2015Q2,308089.0,10570.0,29147492.904446546,2000679.7575426064,6.86398574347846,0.17388902696181138
30,2015Q3,310077.0,10639.0,29145314.40924899,-2178.495197556913,-0.007474598376147859,0.17660382923126156
31,2015Q4,317086.0,10879.0,29146612.740141556,1298.3308925665915,0.004454482941609516,0.23513931346407382
32,2016Q1,324214.0,11124.0,29145451.27651924,-1161.463622316718,-0.003985059662646021,0.29272841836573565
33,2016Q2,305736.0,10490.0,29145471.87797903,20.60145979002118,7.068494164812851e-05,0.36581267776039655
34,2016Q3,308209.0,10574.0,29147815.396254964,2343.518275935203,0.008040116365757922,0.37508439687858625
