,date,quarter,price,shares_est,market_cap
0,2017-09-29,2017Q3,27.5,14999448.818897638,412484842520
1,2017-12-29,2017Q4,20.7,15000512.970833944,310510618496
2,2018-03-30,2018Q1,20.7,15000135.89726167,310502813073
3,2018-06-29,2018Q2,13.3,14999547.540559758,199493982289
4,2018-09-28,2018Q3,15.85,15000373.412994772,237755918596
5,2018-12-28,2018Q4,13.9,14999881.663806876,208498355127
6,2019-03-29,2019Q1,11.8,15000111.16669446,177001311767
7,2019-06-28,2019Q2,11.2,25000718.20318621,280008043876
8,2019-09-30,2019Q3,11.9,24999350.058494736,297492265696
9,2019-12-31,2019Q4,9.4,25000122.144863807,235001148162
10,2020-03-31,2020Q1,5.91,24999526.20669233,147747199882
11,2020-06-30,2020Q2,10.9,24999711.94838115,272496860237
12,2020-09-30,2020Q3,7.82,39998817.751909785,312790754820
13,2020-12-31,2020Q4,9.73,40001324.26944469,389212885142
14,2021-03-31,2021Q1,10.75,39999293.41105812,429992404169
15,2021-06-30,2021Q2,10.9,40001036.26943005,436011295337
16,2021-09-30,2021Q3,13.95,40000901.23522239,558012572231
17,2021-12-31,2021Q4,17.85,39999439.66175946,713989997962
18,2022-03-31,2022Q1,17.8,59998268.184067294,1067969173676
19,2022-06-30,2022Q2,7.35,60000604.814322,441004445385
