,date,quarter,price,shares_est,lev,market_cap
0,2006-12-29,2006Q4,49.0,5000084.663251916,0.6760295651996611,245004148499
1,2007-03-30,2007Q1,91.8,5000084.663251916,0.6760295651996611,459007772087
2,2007-06-29,2007Q2,64.5,5000042.267213322,0.7438322183136842,322502726235
3,2007-09-28,2007Q3,52.0,6805231.116121759,0.7057817710769406,353872018038
4,2007-12-28,2007Q4,59.0,9999922.054639695,0.5462008896961899,589995401224
5,2008-03-31,2008Q1,30.0,10000161.21231662,0.5097032212806886,300004836369
6,2008-06-30,2008Q2,13.6,10000123.931094311,0.4291485076755228,136001685463
7,2008-09-30,2008Q3,12.2,10000123.91061914,0.4198190286748356,122001511710
8,2008-12-31,2008Q4,8.2,10000082.819164354,0.5082440564626934,82000679117
9,2009-03-31,2009Q1,7.5,9999877.99422506,0.4564964148606104,74999084957
10,2009-06-30,2009Q2,13.4,10000082.723249368,0.41185614308755,134001108492
11,2009-09-30,2009Q3,14.1,10000082.18277449,0.438687980610138,141001158777
12,2009-12-31,2009Q4,10.6,10000123.248839406,0.415749969599014,106001306438
13,2010-03-31,2010Q1,10.6,9999874.953107417,0.3682471585133482,105998674503
14,2010-06-30,2010Q2,17.6,10000169.764875649,0.3888406738840784,176002987862
15,2010-09-30,2010Q3,12.6,9999787.532401308,0.3614139654685779,125997322908
16,2010-12-31,2010Q4,14.4,10000082.877507044,0.4247801952464925,144001193436
17,2011-03-31,2011Q1,13.4,9999957.884097034,0.4194062315398094,133999435647
18,2011-06-30,2011Q2,11.9,9999957.330602491,0.413207679440925,118999492234
19,2011-09-30,2011Q3,15.5,10000206.134564644,0.4008228462795687,155003195086
20,2011-12-30,2011Q4,3.8,9999838.285829796,0.4213982355055943,37999385486
21,2012-03-30,2012Q1,10.5,9999916.576290982,0.3937213710537525,104999124051
22,2012-06-29,2012Q2,9.5,10000138.946783382,0.4184812354733994,95001319994
23,2012-09-28,2012Q3,4.9,9999860.504045382,0.4143653308961755,48999316470
24,2012-12-28,2012Q4,7.8,10000053.69992482,0.469979553914467,78000418859
25,2013-03-29,2013Q1,5.2,9999891.215664944,0.4456314100765493,51999434321
26,2013-06-28,2013Q2,5.8,10000055.193729991,0.4052517591785446,58000320124
27,2013-09-30,2013Q3,5.3,9999832.167832168,0.4209639875869759,52999110490
28,2013-12-31,2013Q4,5.8,10000208.997335283,0.4116724736772766,58001212185
29,2014-03-31,2014Q1,6.8,9999891.51659796,0.3793316941471255,67999262313
30,2014-06-30,2014Q2,5.6,9999944.681086464,0.3925821987501776,55999690214
31,2014-09-30,2014Q3,6.7,9999942.469221031,0.3900024417864347,66999614544
32,2014-12-31,2014Q4,8.9,10000153.499795334,0.3890063542768041,89001366148
33,2015-03-31,2015Q1,11.5,9999948.689004054,0.332891763083139,114999409924
34,2015-06-30,2015Q2,13.6,9999844.155844156,0.3151327762454717,135997880519
35,2015-09-30,2015Q3,9.3,10000198.31432821,0.3594624279625071,93001844323
36,2015-12-31,2015Q4,9.5,17999841.433441687,0.6445620715842506,170998493618
37,2016-03-31,2016Q1,8.6,18000421.703682877,0.5772227531823059,154803626652
38,2016-06-30,2016Q2,8.8,18000553.212087683,0.5144541222613752,158404868266
39,2016-09-30,2016Q3,6.4,17999442.93572871,0.5130813806926353,115196434789
40,2016-12-30,2016Q4,6.74,17999616.152310763,0.5658414181063598,121317412867
41,2017-03-31,2017Q1,5.4,18000457.282219343,0.6572219737380836,97202469324
42,2017-06-30,2017Q2,5.67,18000299.85007496,0.6324752956561313,102061700150
43,2017-09-29,2017Q3,6.8,18000511.39684395,0.5809508573832332,122403477499
44,2017-12-29,2017Q4,6.0,16209669.63238844,0.601664363445566,97258017794
45,2018-03-30,2018Q1,6.09,16209717.75634155,0.5711909409184818,98717181136
46,2018-06-29,2018Q2,6.4,16209995.550941717,0.5583988999598031,103743971526
47,2018-09-28,2018Q3,6.2,16210015.790660951,0.5694375916102523,100502097902
48,2018-12-28,2018Q4,6.18,16210407.903746454,0.6557755007877043,100180320845
49,2019-03-29,2019Q1,5.5,16209506.564056134,0.6923456286035828,89152286102
50,2019-06-28,2019Q2,7.17,16210478.322142089,0.6412337114465103,116229129570
51,2019-09-30,2019Q3,6.09,16209554.904051172,0.1566812603115001,98716189366
52,2019-12-31,2019Q4,6.19,16209569.915105592,0.2058715349591428,100337237775
53,2020-03-31,2020Q1,4.6,16210417.500333467,0.1688983560871167,74567920502
54,2020-06-30,2020Q2,9.2,18000436.99927167,0.164835684160393,165604020393
55,2020-09-30,2020Q3,9.3,16210210.790949523,0.1538130212639082,150754960356
56,2020-12-31,2020Q4,8.4,16184594.29141219,0.1440972904090129,135950592048
57,2021-03-31,2021Q1,9.81,16184227.499267075,0.1396010681200813,158767271768
58,2021-06-30,2021Q2,10.85,16184705.95092382,0.1768127279289798,175604059568
59,2021-09-30,2021Q3,11.0,16183855.981416956,0.1062141598369034,178022415796
60,2021-12-31,2021Q4,38.8,16184637.627087023,0.3775675281099696,627963939931
61,2022-03-31,2022Q1,47.3,17884085.00229323,0.5418388979817543,845917220608
62,2022-06-30,2022Q2,8.86,32190764.925373133,0.5706509563333207,285210177239
