,date,quarter,price,shares_est,market_cap
0,2010-12-31,2010Q4,11.3,37348905.5244954,422042632427
1,2011-03-31,2011Q1,8.3,37349354.44350202,309999641881
2,2011-06-30,2011Q2,5.2,37350657.833348885,194223420733
3,2011-09-30,2011Q3,6.0,37350642.15097477,224103852906
4,2011-12-30,2011Q4,4.9,37349336.24295326,183011747590
5,2012-03-30,2012Q1,5.6,37350867.77598855,209164859546
6,2012-06-29,2012Q2,6.5,37349008.34604684,242768554249
7,2012-09-28,2012Q3,4.2,37348670.16113376,156864414677
8,2012-12-28,2012Q4,4.4,37348767.397434734,164334576549
9,2013-03-29,2013Q1,3.7,37348565.16176202,138189691099
10,2013-06-28,2013Q2,3.0,37350388.53567464,112051165607
11,2013-09-30,2013Q3,1.9,37347908.95840341,70961027021
12,2013-12-31,2013Q4,3.0,37350252.30038587,112050756901
13,2014-03-31,2014Q1,4.8,37351318.39658589,179286328304
14,2014-06-30,2014Q2,3.1,37349464.012251146,115783338438
15,2014-09-30,2014Q3,3.5,37350084.26535928,130725294929
16,2014-12-31,2014Q4,2.9,37347796.61016949,108308610169
17,2015-03-31,2015Q1,2.4,37349301.05693829,89638322537
18,2015-06-30,2015Q2,2.2,37350186.63047167,82170410587
19,2015-09-30,2015Q3,1.8,37352671.75572519,67234809160
20,2015-12-31,2015Q4,2.1,37348069.10569106,78430945122
21,2016-03-31,2016Q1,2.4,37350421.5851602,89641011804
22,2016-06-30,2016Q2,1.9,37348141.89189189,70961469595
23,2016-09-30,2016Q3,1.8,37347313.45797541,67225164224
24,2016-12-30,2016Q4,1.7,36870577.45187901,62679981668
25,2017-03-31,2017Q1,1.8,36867921.08147607,66362257947
26,2017-06-30,2017Q2,2.1,36871080.139372826,77429268293
27,2017-09-29,2017Q3,2.7,36867896.94865704,99543321761
28,2017-12-29,2017Q4,2.6,36869183.96564066,95859878311
29,2018-03-30,2018Q1,2.9,36869236.06331728,106920784584
30,2018-06-29,2018Q2,3.1,36869766.643788606,114296276596
31,2018-09-28,2018Q3,3.1,36868085.10638298,114291063830
32,2018-12-28,2018Q4,3.1,36870764.11960133,114299368771
33,2019-03-29,2019Q1,3.2,36865831.84257603,117970661896
34,2019-06-28,2019Q2,3.4,36867803.15213895,125350530717
35,2019-09-30,2019Q3,3.2,36871648.42138664,117989274948
36,2019-12-31,2019Q4,3.1,36866990.44336519,114287670374
37,2020-03-31,2020Q1,2.7,36867120.68419386,99541225847
38,2020-06-30,2020Q2,2.3,36867918.6228482,84796212833
39,2020-09-30,2020Q3,2.9,36866209.26243568,106912006861
40,2020-12-31,2020Q4,2.7,36869912.33562931,99548763306
41,2021-03-31,2021Q1,4.0,36866932.907348245,147467731629
42,2021-06-30,2021Q2,3.5,36870993.33544906,129048476674
43,2021-09-30,2021Q3,4.4,36867765.92305205,162218170061
44,2021-12-31,2021Q4,9.7,36871422.01132711,357652793510
45,2022-03-31,2022Q1,7.3,36870556.06198724,269155059253
46,2022-06-30,2022Q2,3.5,36870299.30928626,129046047583
