,quarter,roa
0,2007Q1,3.24
1,2007Q2,4.24
2,2007Q3,2.12
3,2007Q4,5.57
4,2008Q1,5.3
5,2008Q2,2.27
6,2008Q3,2.43
7,2008Q4,6.89
8,2009Q1,3.81
9,2009Q2,3.0
10,2009Q3,1.83
11,2009Q4,11.86
12,2010Q1,3.25
13,2010Q2,3.37
14,2010Q3,1.29
15,2010Q4,5.83
16,2011Q1,1.55
17,2011Q2,2.21
18,2011Q3,2.18
19,2011Q4,3.65
20,2012Q1,1.22
21,2012Q2,1.07
22,2012Q3,1.69
23,2012Q4,6.24
24,2013Q1,2.55
25,2013Q2,2.33
26,2013Q3,1.25
27,2013Q4,4.83
28,2014Q1,1.08
29,2014Q2,1.92
30,2014Q3,1.53
31,2014Q4,3.23
32,2015Q1,0.33
33,2015Q2,1.08
34,2015Q3,0.15
35,2015Q4,8.28
36,2016Q1,2.75
37,2016Q2,2.27
38,2016Q3,0.97
39,2016Q4,5.15
40,2017Q1,1.12
41,2017Q2,0.27
42,2017Q3,-2.43
43,2017Q4,-0.01
44,2018Q1,-0.18
45,2018Q2,0.45
46,2018Q3,0.88
47,2018Q4,1.16
48,2019Q1,2.02
49,2019Q2,1.63
50,2019Q3,2.39
51,2019Q4,1.0
52,2020Q1,0.21
53,2020Q2,0.48
54,2020Q3,0.64
55,2020Q4,0.13
56,2021Q1,-0.06
57,2021Q2,-3.56
58,2021Q3,-5.02
59,2021Q4,-0.94
60,2022Q1,-0.89
61,2022Q2,-2.12
