,quarter,roa
0,2007Q1,0.81
1,2007Q2,4.81
2,2007Q3,2.63
3,2007Q4,2.99
4,2008Q1,1.36
5,2008Q2,2.06
6,2008Q3,2.16
7,2008Q4,1.16
8,2009Q1,1.2
9,2009Q2,2.27
10,2009Q3,1.51
11,2009Q4,1.38
12,2010Q1,1.33
13,2010Q2,1.37
14,2010Q3,1.24
15,2010Q4,1.16
16,2011Q1,0.54
17,2011Q2,0.84
18,2011Q3,0.56
19,2011Q4,1.0
20,2012Q1,0.36
21,2012Q2,0.37
22,2012Q3,0.69
23,2012Q4,0.6
24,2013Q1,0.68
25,2013Q2,0.07
26,2013Q3,0.42
27,2013Q4,1.16
28,2014Q1,0.73
29,2014Q2,1.38
30,2014Q3,0.83
31,2014Q4,1.61
32,2015Q1,0.92
33,2015Q2,1.69
34,2015Q3,1.38
35,2015Q4,1.51
36,2016Q1,0.49
37,2016Q2,0.75
38,2016Q3,1.02
39,2016Q4,0.54
40,2017Q1,0.44
41,2017Q2,0.72
42,2017Q3,0.93
43,2017Q4,0.73
44,2018Q1,0.52
45,2018Q2,1.06
46,2018Q3,0.23
47,2018Q4,1.38
48,2019Q1,0.5
49,2019Q2,0.51
50,2019Q3,0.05
51,2019Q4,0.71
52,2020Q1,0.37
53,2020Q2,-0.13
54,2020Q3,0.88
55,2020Q4,0.24
56,2021Q1,0.36
57,2021Q2,0.79
58,2021Q3,0.19
59,2021Q4,1.25
60,2022Q1,0.28
61,2022Q2,0.45
