,date,quarter,price,shares_est,market_cap
0,2008-03-31,2008Q1,56.5,44999007.79588944,2542443940468
1,2008-06-30,2008Q2,32.3,58501415.95868732,1889595735466
2,2008-09-30,2008Q3,37.2,58500904.0169798,2176233629432
3,2008-12-31,2008Q4,27.8,58499869.59923498,1626296374859
4,2009-03-31,2009Q1,17.4,58502281.53250108,1017939698666
5,2009-06-30,2009Q2,25.0,58499789.18964499,1462494729741
6,2009-09-30,2009Q3,28.0,67275130.30528668,1883703648548
7,2009-12-31,2009Q4,25.9,67273367.65104307,1742380222162
8,2010-03-31,2010Q1,26.3,67272448.33498782,1769265391210
9,2010-06-30,2010Q2,24.5,67274861.51411237,1648234107096
10,2010-09-30,2010Q3,15.9,74000000.0,1176600000000
11,2010-12-31,2010Q4,12.2,74000955.38358651,902811655680
12,2011-03-31,2011Q1,8.1,73998742.86819457,599389817232
13,2011-06-30,2011Q2,8.9,74001723.9630869,658615343271
14,2011-09-30,2011Q3,8.5,74000420.12393656,629003571053
15,2011-12-30,2011Q4,7.7,74004206.45748067,569832389723
16,2012-03-30,2012Q1,4.8,74004344.67776974,355220854453
17,2012-06-29,2012Q2,6.1,74005626.40660165,451434321080
18,2012-09-28,2012Q3,4.5,74000171.32088402,333000770944
19,2012-12-28,2012Q4,4.5,74002722.94077604,333012253233
20,2013-03-29,2013Q1,2.4,74008501.20125669,177620402883
21,2013-07-22,2013Q2,2.2,74003332.16415294,162807330761
22,2013-12-31,2013Q4,4.4,73995478.38668837,325580104901
23,2014-03-31,2014Q1,4.1,73995478.38668837,303381461385
24,2014-06-30,2014Q2,4.1,73995478.38668837,303381461385
25,2014-09-30,2014Q3,4.6,73995478.38668837,340379200579
26,2014-12-31,2014Q4,5.9,74007448.78957169,436643947858
27,2015-03-31,2015Q1,5.0,73997680.9673679,369988404837
28,2015-06-30,2015Q2,4.7,73999835.87723617,347799228623
29,2015-09-30,2015Q3,3.4,73997894.39585358,251592840946
30,2015-12-31,2015Q4,5.5,73999065.56611119,406994860614
31,2016-03-31,2016Q1,4.6,73999680.66421843,340398531055
32,2016-06-30,2016Q2,3.6,73997854.40613027,266392275862
33,2016-09-30,2016Q3,4.5,73998735.9772476,332994311898
34,2016-12-30,2016Q4,5.3,74004055.37687036,392221493497
35,2017-03-31,2017Q1,4.95,74001529.24684593,366307569772
36,2017-06-30,2017Q2,10.2,74000362.93249455,754803701911
37,2017-09-29,2017Q3,8.12,74002909.79631425,600903627546
38,2017-12-29,2017Q4,7.0,74002810.56773469,518019673974
39,2018-03-30,2018Q1,6.75,73999193.08357349,499494553314
40,2018-06-29,2018Q2,5.7,74003405.22133939,421819409762
41,2018-09-27,2018Q3,5.49,74004839.41926968,406286568412
42,2018-12-28,2018Q4,5.7,73998148.86983632,421789448558
43,2019-03-29,2019Q1,5.3,74004791.1077041,392225392871
44,2019-06-28,2019Q2,7.05,74002653.77689318,521718709127
45,2019-09-30,2019Q3,7.21,73999715.77451445,533537950734
46,2019-12-31,2019Q4,4.89,73998841.13954611,361854333172
47,2020-03-31,2020Q1,3.4,73999615.68024597,251598693313
48,2020-06-30,2020Q2,5.72,74000759.80624941,423284346092
49,2020-09-30,2020Q3,5.54,74004124.7744264,409982851250
50,2020-12-31,2020Q4,6.57,74000772.73117541,486185076844
51,2021-03-31,2021Q1,15.9,74004059.84512442,1176664551537
52,2021-06-30,2021Q2,20.35,74001701.56099726,1505934626766
53,2021-09-30,2021Q3,30.0,74000517.67490016,2220015530247
54,2021-12-31,2021Q4,35.0,73999786.6590812,2589992533068
55,2022-03-31,2022Q1,33.7,74002223.95864639,2493874947406
56,2022-06-30,2022Q2,26.0,74000316.03564882,1924008216927
