,date,quarter,price,shares_est,market_cap
0,2009-12-31,2009Q4,28.9,14999485.747869529,433485138113
1,2010-03-31,2010Q1,33.7,15000131.130343562,505504419093
2,2010-06-30,2010Q2,33.0,18000672.796591163,594022202288
3,2010-09-30,2010Q3,26.7,24999264.16482708,667480353201
4,2010-12-31,2010Q4,18.0,24999558.610252853,449992054985
5,2011-03-31,2011Q1,17.8,24999361.389616195,444988632735
6,2011-06-30,2011Q2,11.2,24999494.406876065,279994337357
7,2011-09-30,2011Q3,8.9,24999469.56637051,222495279141
8,2011-12-30,2011Q4,4.6,26709819.813300528,122865171141
9,2012-03-30,2012Q1,6.9,26710771.22862708,184304321478
10,2012-06-29,2012Q2,5.5,26710554.71616663,146908050939
11,2012-09-28,2012Q3,4.9,26710800.08981364,130882920440
12,2012-12-28,2012Q4,6.0,26711274.7957993,160267648775
13,2013-03-29,2013Q1,4.1,26710276.33851468,109512132988
14,2013-06-28,2013Q2,5.3,26710588.91371729,141566121243
15,2013-09-30,2013Q3,4.2,26711290.08852126,112187418372
16,2013-12-31,2013Q4,4.7,26710306.81076376,125538442011
17,2014-03-31,2014Q1,6.5,26711241.30355181,173623068473
18,2014-06-30,2014Q2,5.6,26710902.84733152,149581055945
19,2014-09-30,2014Q3,8.0,33711957.38591191,269695659087
20,2014-12-31,2014Q4,7.5,33710364.668377265,252827735013
21,2015-03-31,2015Q1,8.0,36710768.98404298,293686151872
22,2015-06-30,2015Q2,11.9,36710798.26269282,436858499326
23,2015-09-30,2015Q3,13.0,36710617.06654927,477238021865
24,2015-12-31,2015Q4,11.7,54710813.61064627,640116519245
25,2016-03-31,2016Q1,10.4,54710133.66490519,568985390115
26,2016-06-30,2016Q2,9.5,54711141.06019767,519755840072
27,2016-09-30,2016Q3,7.6,61188524.59016393,465032786885
28,2016-12-30,2016Q4,8.35,60475448.16835542,504969992206
29,2017-03-31,2017Q1,8.4,60473055.13334254,507973663120
30,2017-06-30,2017Q2,8.72,60472006.710002095,527315898511
31,2017-09-29,2017Q3,7.75,60473742.32282106,468671503002
32,2017-12-29,2017Q4,7.3,63913359.18223476,466567522030
33,2018-03-30,2018Q1,6.15,63914295.34726905,393072916386
34,2018-06-29,2018Q2,6.99,67106083.13858792,469071521139
35,2018-09-28,2018Q3,6.27,67110032.58684047,420779904319
36,2018-12-28,2018Q4,6.6,85071122.33961108,561469407441
37,2019-03-29,2019Q1,7.77,85066970.38724373,660970359909
38,2019-06-28,2019Q2,8.3,86767549.18630071,720170658246
39,2019-09-30,2019Q3,8.37,86772492.48323183,726285762085
40,2019-12-31,2019Q4,8.8,86772169.90718786,763595095183
41,2020-03-31,2020Q1,8.01,86768459.98655011,695015364492
42,2020-06-30,2020Q2,8.79,87085984.27468802,765485801775
43,2020-09-30,2020Q3,9.12,86770633.8028169,791348180282
44,2020-12-31,2020Q4,9.2,91104849.7513872,838164617713
45,2021-03-31,2021Q1,14.6,91104441.61586387,1330124847592
46,2021-06-30,2021Q2,25.65,91109133.0244871,2336949262078
47,2021-09-30,2021Q3,16.2,100217525.31924264,1623523910172
48,2021-12-31,2021Q4,15.7,100214201.27087335,1573362959953
49,2022-03-31,2022Q1,16.5,149874211.32497403,2472924486862
50,2022-06-30,2022Q2,14.55,149872668.60785395,2180647328244
