,quarter,owner_equity,bvps,shares_est,shares_est_diff,shares_est_diff_perc
0,2012Q3,168867.0,24833.0,6800104.699391938,,
1,2012Q4,157386.0,23145.0,6800000.0,-104.69939193781465,-0.0015396969402619802
2,2013Q1,171045.0,25154.0,6799912.538761231,-87.46123876888305,-0.001286211230958218
3,2013Q2,199626.0,29357.0,6799945.498518241,32.95975700952113,0.0004847061938467493
4,2013Q3,190442.0,28006.0,6800042.847961151,97.34944291040301,0.0014316004338059602
5,2013Q4,179946.0,26463.0,6799909.3073347695,-133.5406263815239,-0.001963858933198997
6,2014Q1,189347.0,27845.0,6800035.913090321,126.60575555171818,0.001861839513347237
7,2014Q2,180054.0,26479.0,6799879.14951471,-156.76357561163604,-0.00230538767182096
8,2014Q3,183415.0,26973.0,6799948.096244393,68.94672968331724,0.0010139302345762975
9,2014Q4,165586.0,24351.0,6799967.147139748,19.05089535471052,0.00028016157935003915
10,2015Q1,177546.0,26110.0,6799923.400995787,-43.746143960393965,-0.0006433328933380005
11,2015Q2,201454.0,29626.0,6799905.488422331,-17.9125734558329,-0.00026342385914526664
12,2015Q3,219400.0,32265.0,6799938.013327135,32.52490480337292,0.0004783117837196113
13,2015Q4,198133.0,29137.0,6800048.048872568,110.03554543294013,0.0016181583518543486
14,2016Q1,245828.0,36151.0,6800033.194102515,-14.854770053178072,-0.0002184514344144851
15,2016Q2,269424.0,39621.0,6800030.286969031,-2.907133483327925,-4.2751772575173606e-05
16,2017Q1,290268.0,35572.0,8160013.493759137,1359983.2067901054,16.666433307129147
17,2017Q2,288866.0,35400.0,8160056.497175141,43.00341600459069,0.0005269989983461226
18,2017Q3,382022.0,46817.0,8159899.181921097,-157.31525404378772,-0.0019279068348335984
19,2017Q4,420359.0,51515.0,8159933.999805882,34.81788478419185,0.0004266932157174327
20,2018Q1,392682.0,48123.0,8159965.0894582635,31.089652381837368,0.00038100227195826637
21,2018Q2,419904.0,51459.0,8159972.01655687,6.927098606713116,8.489120541906014e-05
22,2018Q3,462869.0,47270.0,9792024.539877301,1632052.523320431,16.66716128696386
23,2018Q4,478203.0,48836.0,9792018.183307396,-6.356569904834032,-6.491583027970858e-05
24,2019Q1,499454.0,51007.0,9791871.70388378,-146.47942361608148,-0.0014959287462680184
25,2019Q2,477140.0,48728.0,9791906.090953866,34.38707008585334,0.0003511785117876224
26,2019Q3,482383.0,49263.0,9791993.991433734,87.90047986805439,0.0008976770200732537
27,2019Q4,503870.0,51458.0,9791869.097127754,-124.894305979833,-0.0012754899472304855
28,2020Q1,514414.0,52534.0,9792020.405832414,151.30870465934277,0.0015452245643730366
29,2020Q2,487317.0,49767.0,9791970.58291639,-49.82291602343321,-0.0005088139879663958
30,2020Q3,513255.0,52416.0,9791952.83882784,-17.744088551029563,-0.0001812109274124491
31,2020Q4,571209.0,58335.0,9791874.517870918,-78.32095692120492,-0.0007998566237574144
32,2021Q1,578062.0,59034.0,9792018.159027,143.64115608297288,0.0014669208507395784
33,2021Q2,534421.0,54578.0,9791875.847411044,-142.3116159569472,-0.001453364178372157
34,2021Q3,580841.0,59318.0,9791985.569304427,109.72189338319004,0.0011205275233160308
35,2021Q4,656783.0,67074.0,9791916.390851894,-69.17845253273845,-0.0007064853269924616
36,2022Q1,685317.0,69988.0,9791921.472252386,5.081400491297245,5.189380353689046e-05
37,2022Q2,640353.0,65396.0,9791929.169979814,7.697727428749204,7.861298111049421e-05
38,2022Q3,697418.0,71224.0,9791895.990115691,-33.17986412346363,-0.0003388502508294271
39,2022Q4,760078.0,77623.0,9791917.34408616,21.353970469906926,0.00021807751964740267
