,date,quarter,price,shares_est,market_cap
0,2010-09-30,2010Q3,14.5,2499920.153305653,36248842223
1,2010-12-31,2010Q4,10.1,2499958.1484891605,25249577300
2,2011-03-31,2011Q1,6.8,2765665.6830411386,18806526645
3,2011-06-30,2011Q2,4.8,2765830.854228644,13275988100
4,2011-09-30,2011Q3,4.3,2765764.236612068,11892786217
5,2011-12-30,2011Q4,2.7,2931783.364873389,7915815085
6,2012-03-30,2012Q1,3.8,2931556.902236877,11139916229
7,2012-06-29,2012Q2,4.8,2931867.946774465,14072966145
8,2012-09-28,2012Q3,4.6,2931786.731786732,13486218966
9,2012-12-28,2012Q4,5.2,2931807.602792863,15245399535
10,2013-03-29,2013Q1,7.8,2931839.923469388,22868351403
11,2013-06-28,2013Q2,9.7,2931792.934903355,28438391469
12,2013-09-30,2013Q3,9.4,3078129.853991923,28934420628
13,2013-12-31,2013Q4,15.5,3078258.95801275,47713013849
14,2014-03-31,2014Q1,20.4,3078241.2626832016,62796121759
15,2014-06-30,2014Q2,24.5,3078204.7646057857,75416016733
16,2014-09-30,2014Q3,19.9,3078227.029879296,61256717895
17,2014-12-31,2014Q4,30.0,3078197.175663192,92345915270
18,2015-03-31,2015Q1,32.8,4001467.812958692,131248144265
19,2015-06-30,2015Q2,23.8,4481462.062766834,106658797094
20,2015-09-30,2015Q3,23.9,4481637.010676157,107111124555
21,2015-12-31,2015Q4,27.0,4481627.735760659,121003948866
22,2016-03-31,2016Q1,25.0,4481516.651970427,112037916299
23,2016-06-30,2016Q2,24.4,4481640.499839795,109352028196
24,2016-09-30,2016Q3,25.5,4481556.95944569,114279702466
25,2016-12-30,2016Q4,21.7,5467569.352708058,118646254954
26,2017-03-31,2017Q1,19.3,5467543.027510502,105523580431
27,2017-06-30,2017Q2,20.0,5467531.61653889,109350632331
28,2017-09-29,2017Q3,22.9,5467338.914256723,125202061136
29,2017-12-29,2017Q4,20.0,5467595.279551171,109351905591
30,2018-03-30,2018Q1,21.3,5467463.739709917,116456977656
31,2018-06-29,2018Q2,31.5,5467598.715284338,172229359531
32,2018-09-28,2018Q3,24.8,5467501.203659124,135594029851
33,2018-12-28,2018Q4,23.7,5467366.700201207,129576590795
34,2019-03-29,2019Q1,27.6,5467552.264808362,150904442509
35,2019-06-28,2019Q2,34.2,5467497.556207234,186988416422
36,2019-09-30,2019Q3,30.8,5467551.150895141,168400575448
37,2019-12-31,2019Q4,25.1,5467463.972663795,137233345714
38,2020-03-31,2020Q1,15.5,5467541.709496323,84746896497
39,2020-06-30,2020Q2,9.5,5467257.508616445,51938946332
40,2020-09-30,2020Q3,7.1,5467457.157694305,38818945820
41,2020-12-31,2020Q4,10.5,5467446.270543615,57408185841
42,2021-03-31,2021Q1,10.2,5467288.177543107,55766339411
43,2021-06-30,2021Q2,8.5,5467277.0430654455,46471854866
44,2021-09-30,2021Q3,25.8,5467411.3892155215,141059213842
45,2021-12-31,2021Q4,15.5,5467345.207803223,84743850721
46,2022-03-31,2022Q1,20.3,5467314.215232809,110986478569
47,2022-06-30,2022Q2,12.8,5467366.841710428,69982295574
