,quarter,price,price_diff,price_diff_perc
1,2008Q2,14.5,-7.300000000000001,-33.48623853211009
2,2008Q3,15.7,1.1999999999999993,8.275862068965512
3,2008Q4,18.5,2.8000000000000007,17.834394904458602
4,2009Q1,12.1,-6.4,-34.5945945945946
5,2009Q2,9.6,-2.5,-20.66115702479339
6,2009Q3,10.4,0.8000000000000007,8.333333333333341
7,2009Q4,10.7,0.29999999999999893,2.8846153846153744
8,2010Q1,9.3,-1.3999999999999986,-13.084112149532698
9,2010Q2,42.5,33.2,356.98924731182797
10,2010Q3,31.5,-11.0,-25.88235294117647
11,2010Q4,19.9,-11.600000000000001,-36.82539682539683
12,2011Q1,15.8,-4.099999999999998,-20.603015075376874
13,2011Q2,8.8,-7.0,-44.303797468354425
14,2011Q3,8.2,-0.6000000000000014,-6.818181818181833
15,2011Q4,6.9,-1.299999999999999,-15.853658536585353
16,2012Q1,4.9,-2.0,-28.98550724637681
17,2012Q2,5.3,0.39999999999999947,8.163265306122437
18,2012Q3,3.2,-2.0999999999999996,-39.62264150943396
19,2012Q4,3.1,-0.10000000000000009,-3.1250000000000027
20,2013Q1,2.5,-0.6000000000000001,-19.35483870967742
21,2013Q2,2.3,-0.20000000000000018,-8.000000000000007
22,2013Q3,2.1,-0.19999999999999973,-8.695652173913032
23,2013Q4,3.2,1.1,52.38095238095239
24,2014Q1,4.5,1.2999999999999998,40.624999999999986
25,2014Q2,2.7,-1.7999999999999998,-39.99999999999999
26,2014Q3,2.6,-0.10000000000000009,-3.703703703703707
27,2014Q4,2.3,-0.30000000000000027,-11.538461538461549
28,2015Q1,1.9,-0.3999999999999999,-17.391304347826086
29,2015Q2,1.8,-0.09999999999999987,-5.2631578947368345
30,2015Q3,1.9,0.09999999999999987,5.555555555555547
31,2015Q4,1.9,0.0,0.0
32,2016Q1,1.8,-0.09999999999999987,-5.2631578947368345
33,2016Q2,1.3,-0.5,-27.77777777777778
34,2016Q3,2.0,0.7,53.84615384615385
35,2016Q4,5.0,3.0,150.0
36,2017Q1,10.0,5.0,100.0
37,2017Q2,11.4,1.4000000000000004,14.000000000000004
38,2017Q3,9.2,-2.200000000000001,-19.298245614035096
39,2017Q4,8.5,-0.6999999999999993,-7.608695652173906
40,2018Q1,10.0,1.5,17.647058823529413
41,2018Q2,10.5,0.5,5.0
42,2018Q3,29.2,18.7,178.0952380952381
43,2018Q4,42.5,13.3,45.54794520547945
44,2019Q1,19.9,-22.6,-53.1764705882353
45,2019Q2,12.8,-7.099999999999998,-35.67839195979899
46,2019Q3,9.2,-3.6000000000000014,-28.125000000000007
47,2019Q4,8.8,-0.3999999999999986,-4.347826086956506
48,2020Q1,6.1,-2.700000000000001,-30.68181818181819
49,2020Q2,12.7,6.6,108.19672131147541
50,2020Q3,14.9,2.200000000000001,17.3228346456693
51,2020Q4,10.1,-4.800000000000001,-32.214765100671144
52,2021Q1,9.3,-0.7999999999999989,-7.92079207920791
53,2021Q2,8.1,-1.200000000000001,-12.903225806451625
54,2021Q3,8.8,0.7000000000000011,8.64197530864199
55,2021Q4,11.7,2.8999999999999986,32.95454545454544
56,2022Q1,11.1,-0.5999999999999996,-5.128205128205125
57,2022Q2,6.9,-4.199999999999999,-37.83783783783783
