,quarter,roa
0,2007Q1,1.79
1,2007Q2,4.76
2,2007Q3,2.88
3,2007Q4,3.74
4,2008Q1,2.38
5,2008Q2,2.27
6,2008Q3,5.33
7,2008Q4,2.48
8,2009Q1,2.62
9,2009Q2,6.0
10,2009Q3,4.66
11,2009Q4,5.1
12,2010Q1,4.28
13,2010Q2,8.83
14,2010Q3,3.97
15,2010Q4,3.64
16,2011Q1,2.99
17,2011Q2,2.02
18,2011Q3,2.74
19,2011Q4,0.66
20,2012Q1,2.41
21,2012Q2,1.89
22,2012Q3,0.44
23,2012Q4,0.03
24,2013Q1,0.44
25,2013Q2,0.85
26,2013Q3,0.83
27,2013Q4,1.98
28,2014Q1,-0.46
29,2014Q2,1.18
30,2014Q3,-0.87
31,2014Q4,-6.25
32,2015Q1,1.76
33,2015Q2,-0.67
34,2015Q3,-0.06
35,2015Q4,2.44
36,2016Q1,1.51
37,2016Q2,0.64
38,2016Q3,1.25
39,2016Q4,-0.56
40,2017Q1,0.56
41,2017Q2,-2.05
42,2017Q3,1.61
43,2017Q4,2.03
44,2018Q1,1.1
45,2018Q2,1.46
46,2018Q3,0.75
47,2018Q4,-0.1
48,2019Q1,0.43
49,2019Q2,0.22
50,2019Q3,1.84
51,2019Q4,1.47
52,2020Q1,1.49
53,2020Q2,1.69
54,2020Q3,1.78
55,2020Q4,-0.94
56,2021Q1,1.58
57,2021Q2,1.14
58,2021Q3,0.54
59,2021Q4,0.4
60,2022Q1,1.88
61,2022Q2,-0.78
