,quarter,owner_equity,bvps,shares_est,shares_est_diff,shares_est_diff_perc,lev
0,2010Q1,347465.0,11582.0,30000431.70436885,,,0.25346341870103856
1,2010Q2,339847.0,11328.0,30000617.93785311,186.2334842607379,0.0006207654943858968,0.21117659161482494
2,2011Q1,363176.0,12106.0,29999669.58532959,-948.3525235205889,-0.0031612098954061528,0.2696236256380182
3,2011Q2,354664.0,11822.0,30000338.352224667,668.7668950781226,0.002229197841792109,0.2573160639158277
4,2011Q3,371903.0,12397.0,29999435.347261433,-903.004963234067,-0.0030100731989827264,0.2633483601990501
5,2011Q4,361802.0,12060.0,30000165.83747927,730.4902178384364,0.0024349539325740437,0.26485869177906324
6,2012Q1,378027.0,12601.0,29999761.92365685,-403.9138224199414,-0.00134639009285413,0.27660804000825134
7,2012Q2,363978.0,12133.0,29999010.961839613,-750.9618172384799,-0.002503288585726191,0.2776417208248821
8,2012Q3,380006.0,12667.0,29999684.218836345,673.2569967322052,0.0022442136117868778,0.26404347446553267
9,2012Q4,399943.0,13331.0,30000975.170654863,1290.9518185183406,0.004303032855348887,0.22987620376937629
10,2013Q1,415208.0,13840.0,30000578.03468208,-397.1359727829695,-0.001323761069949591,0.28033472754757854
11,2013Q2,382165.0,12739.0,29999607.5045137,-970.5301683805883,-0.0032351428872346537,0.3255177763600431
12,2013Q3,397318.0,13244.0,29999848.988221083,241.48370738327503,0.0008049497431740053,0.26245581940647217
13,2013Q4,415319.0,13844.0,29999927.766541462,78.77832037955523,0.0002625950335367663,0.2549623547082281
14,2014Q1,432415.0,14414.0,29999653.11502706,-274.651514403522,-0.0009155156339656039,0.27415483218492154
15,2014Q2,396742.0,13225.0,29999395.085066162,-258.02996089681983,-0.0008601172129142975,0.30256163193749974
16,2014Q3,417610.0,13920.0,30000718.390804596,1323.3057384341955,0.004410913502790642,0.30695418919738354
17,2014Q4,441404.0,14713.0,30000951.539454903,233.1486503072083,0.0007771375184570044,0.2592918879464429
18,2015Q1,464101.0,15470.0,30000064.64124111,-886.8982137925923,-0.002956321009300002,0.2969679246329306
19,2015Q2,425960.0,14199.0,29999295.72505106,-768.9161900505424,-0.0025631141380710984,0.3510832285710406
20,2015Q3,450041.0,15001.0,30000733.284447704,1437.5593966431916,0.004791747531679228,0.30278627651643913
21,2015Q4,463386.0,15446.0,30000388.450084165,-344.83436353877187,-0.0011494329952177818,0.2881972708406467
22,2016Q1,488984.0,16299.0,30000858.94840174,470.4983175769448,0.0015682828227890123,0.35010140809022117
23,2016Q2,429831.0,14328.0,29999371.859296482,-1487.089105259627,-0.004957067475393803,0.43972966046034573
24,2016Q3,464312.0,15477.0,30000129.22400982,757.3647133372724,0.0025245381700927318,0.3718518994503989
25,2016Q4,417693.0,13923.0,30000215.470803708,86.24679388850927,0.0002874872481247506,0.4527076156379822
26,2017Q1,445965.0,14865.0,30001009.081735622,793.6109319142997,0.0026452807962297634,0.46298263050427885
27,2017Q2,484930.0,16164.0,30000618.658747833,-390.42298778891563,-0.001301383122227957,0.4351683494457813
28,2017Q3,493848.0,16462.0,29999271.048475277,-1347.6102725565434,-0.0044921433936810145,0.4287822719616006
29,2017Q4,512901.0,17097.0,29999473.59185822,202.54338294267654,0.0006751564567374485,0.4276782680771653
30,2018Q1,502486.0,16750.0,29999164.179104477,-309.4127537421882,-0.0010314045814573247,0.4207420467445464
31,2018Q2,474720.0,15824.0,30000000.0,835.8208955228329,0.002786069651742776,0.44859500393924345
32,2018Q3,503393.0,16780.0,29999582.83671037,-417.16328962892294,-0.001390563635166426,0.4406924660864345
33,2018Q4,483553.0,16118.0,30000806.55168135,1223.7149709798396,0.004078940240729156,0.4457610231657262
34,2019Q1,503440.0,16781.0,30000595.91204338,-210.63963796943426,-0.000702118179875472,0.454426445043384
35,2019Q2,532774.0,17759.0,30000225.23790754,-370.67413584142923,-0.0012355711762225524,0.43935699649964377
36,2019Q3,512192.0,17073.0,30000117.14402858,-108.09387895837426,-0.00036031152291646955,0.47338182113478444
37,2019Q4,531915.0,17731.0,29999154.024025716,-963.1200028657913,-0.003210490542814801,0.45657637399182244
38,2020Q1,552850.0,18428.0,30000542.65248535,1388.6284596323967,0.004628677806657467,0.5049699986792903
39,2020Q2,506355.0,16878.0,30000888.730892286,346.07840693742037,0.001153560516295836,0.548812184803125
40,2020Q3,537512.0,17917.0,30000111.62583022,-777.1050620675087,-0.0025903405685944784,0.5222225970580034
41,2020Q4,566398.0,18880.0,29999894.06779661,-217.55803360790014,-0.0007251960060800275,0.5261659541622787
42,2021Q1,590031.0,19668.0,29999542.40390482,-351.6638917885721,-0.001172230852903938,0.5251614965437907
43,2021Q2,541250.0,18042.0,29999445.73772309,-96.66618173196912,-0.0003222265590407736,0.5643151351373181
44,2021Q3,561303.0,18710.0,30000160.34206307,714.604339979589,0.002382001735429547,0.529899740512493
45,2021Q4,585348.0,19512.0,29999384.993849937,-775.3482131324708,-0.0025845470275188045,0.5113022434911997
46,2022Q1,610652.0,20355.0,30000098.25595677,713.2621068321168,0.0023775325692158115,0.5165867506144387
47,2022Q2,640909.0,21364.0,29999485.115146976,-613.1408097930253,-0.002043837777347204,0.49758162087222996
