,date,quarter,price,shares_est,market_cap
0,2009-12-31,2009Q4,41.3,17000465.522257783,702119226069
1,2010-03-31,2010Q1,44.0,16999558.665910095,747980581300
2,2010-06-30,2010Q2,43.0,17000000.0,731000000000
3,2010-09-30,2010Q3,38.3,16999673.398290783,651087491155
4,2010-12-31,2010Q4,31.1,18700000.0,581570000000
5,2011-03-31,2011Q1,26.0,18700294.94973816,486207668693
6,2011-06-30,2011Q2,18.5,18699749.652294856,345945368567
7,2011-09-30,2011Q3,18.1,18699760.8291257,338465671007
8,2011-12-30,2011Q4,16.6,20944399.473843973,347677031266
9,2012-03-30,2012Q1,16.8,20943428.51031975,351849598973
10,2012-06-29,2012Q2,16.4,20943987.24411069,343481390803
11,2012-09-28,2012Q3,14.1,20944288.269869667,295314464605
12,2012-12-28,2012Q4,15.1,20943839.015968926,316251969141
13,2013-03-29,2013Q1,20.1,20943995.28832253,420974305295
14,2013-06-28,2013Q2,19.0,20943938.860676754,397934838353
15,2013-09-30,2013Q3,19.9,20943582.6452198,416777294640
16,2013-12-31,2013Q4,25.0,20943456.67870036,523586416968
17,2014-03-31,2014Q1,26.9,20944070.429829106,563395494562
18,2014-06-30,2014Q2,23.0,20944112.76204157,481714593527
19,2014-09-30,2014Q3,28.0,20943717.77938733,586424097823
20,2014-12-31,2014Q4,32.1,20944279.13422737,672311360209
21,2015-03-31,2015Q1,31.5,20943545.85427136,659721694410
22,2015-06-30,2015Q2,28.5,20944090.112267356,596906568200
23,2015-09-30,2015Q3,26.6,20943554.66349896,557098554049
24,2015-12-31,2015Q4,30.7,20943871.932032727,642976868313
25,2016-03-31,2016Q1,30.0,20943916.541991837,628317496260
26,2016-06-30,2016Q2,29.4,20943957.493018925,615752350295
27,2016-09-30,2016Q3,29.9,20943821.48463781,626220262391
28,2016-12-30,2016Q4,28.9,20944171.12299465,605286545455
29,2017-03-31,2017Q1,30.0,20944216.456840787,628326493705
30,2017-06-30,2017Q2,30.9,20944251.73439049,647177378593
31,2017-09-29,2017Q3,27.9,20943865.603258103,584333850331
32,2017-12-29,2017Q4,27.4,20944188.327611573,573870760177
33,2018-03-30,2018Q1,29.0,20943685.30020704,607366873706
34,2018-06-29,2018Q2,25.0,20944174.51984217,523604362996
35,2018-09-28,2018Q3,25.6,20943708.609271523,536158940397
36,2018-12-28,2018Q4,25.0,20943786.89176377,523594672294
37,2019-03-29,2019Q1,24.3,20944089.552238807,508941376119
38,2019-06-28,2019Q2,26.0,20943597.18449,544533526797
39,2019-09-30,2019Q3,28.15,20943976.083707027,589572926756
40,2019-12-31,2019Q4,20.5,20943667.25316565,429345178690
41,2020-03-31,2020Q1,14.9,30158747.712019525,449365340909
42,2020-06-30,2020Q2,23.5,30158091.97930669,708715161514
43,2020-09-30,2020Q3,29.1,30158940.72887465,877625175210
44,2020-12-31,2020Q4,28.3,30157984.79087453,853470969582
45,2021-03-31,2021Q1,30.6,30159117.09137828,922868982996
46,2021-06-30,2021Q2,40.4,30159029.80058257,1218424803944
47,2021-09-30,2021Q3,38.45,30158135.775862068,1159580320582
48,2021-12-31,2021Q4,40.0,30158919.369111445,1206356774764
49,2022-03-31,2022Q1,41.85,30158976.171243943,1262153152767
50,2022-06-30,2022Q2,35.45,30157720.89182494,1069091205615
